feature,src,gain,gain_frac,cum_gain,split
mordred:SLogP,mordred,11015.524762779474,0.2636061399203182,0.2636061399203182,134
mordred:ATS7m,mordred,1881.086156129837,0.045015182767363396,0.3086213226876816,10
mordred:ABCGG,mordred,1861.4654850959778,0.04454565185846306,0.35316697454614465,26
mordred:MINdO,mordred,1329.301993355155,0.03181075571095351,0.38497773025709814,39
mordred:VR3_Dt,mordred,929.7749862670898,0.022249906418665377,0.4072276366757635,5
mordred:ATS4Z,mordred,450.26642021536827,0.010775064785816356,0.41800270146157986,12
mordred:Xpc-6dv,mordred,311.44251081347466,0.007452950254356901,0.42545565171593674,16
mordred:ETA_shape_x,mordred,299.6489157676697,0.007170724565362707,0.43262637628129946,8
jazzy:dgtot,jazzy,287.0431582927704,0.006869063487902477,0.4394954397692019,49
mordred:ATS6Z,mordred,276.3135388493538,0.006612299182505975,0.4461077389517079,17
mordred:ATSC0d,mordred,257.2970939874649,0.006157227659995481,0.4522649666117034,12
mordred:ATSC1se,mordred,237.80275264382362,0.00569071987370735,0.45795568648541074,22
jazzy:sa,jazzy,220.90624365210533,0.005286379308064433,0.46324206579347516,28
mordred:MID_N,mordred,220.14341861009598,0.005268124584019139,0.4685101903774943,27
mordred:SMR_VSA5,mordred,215.22863192856312,0.0051505116719200005,0.4736607020494143,23
mordred:ATSC2s,mordred,214.768561065197,0.005139501982686535,0.47880020403210083,11
mordred:PEOE_VSA2,mordred,199.82405179738998,0.004781873591309199,0.48358207762341004,48
mordred:JGI3,mordred,184.72999247908592,0.004420666404333345,0.4880027440277434,24
mordred:GATS4d,mordred,183.7310241162777,0.004396760671316232,0.49239950469905963,27
mordred:GATS5c,mordred,176.20786038041115,0.004216728199408838,0.49661623289846846,48
mordred:FilterItLogS,mordred,176.13903871178627,0.004215081267937141,0.5008313141664056,26
mordred:MINdssC,mordred,175.5596325993538,0.004201215836009591,0.5050325300024152,43
rdkit:qed,rdkit,171.71085757017136,0.004109113031039953,0.5091416430334552,31
mordred:ETA_eta,mordred,169.86371475458145,0.004064910126685867,0.5132065531601411,9
mordred:AATS6s,mordred,166.55705708265305,0.003985780418051359,0.5171923335781924,18
mordred:PEOE_VSA10,mordred,158.19280007481575,0.0037856202304416384,0.520977953808634,36
mordred:SpMAD_D,mordred,150.89798265695572,0.0036110521819503762,0.5245890059905843,23
mordred:BCUTd-1l,mordred,149.8676680624485,0.0035863963204267094,0.528175402311011,29
mordred:GATS7se,mordred,142.29634183645248,0.0034052112998767957,0.5315806136108878,17
mordred:VSA_EState2,mordred,141.47246411442757,0.00338549555952431,0.5349661091704121,39
mordred:PEOE_VSA6,mordred,140.1398988366127,0.00335360671204393,0.538319715882456,22
mordred:Vabc,mordred,139.9600796699524,0.0033493035637665847,0.5416690194462226,3
mordred:BalabanJ,mordred,137.3047953248024,0.0032857614927632216,0.5449547809389859,19
mordred:AETA_beta_s,mordred,136.36877939105034,0.0032633622378467416,0.5482181431768326,20
mordred:VSA_EState1,mordred,135.93386539816856,0.0032529545631031585,0.5514710977399357,15
mordred:BIC1,mordred,134.71834921836853,0.003223866749760807,0.5546949644896966,13
mordred:TopoPSA(NO),mordred,133.57126235961914,0.0031964164788477077,0.5578913809685443,23
mordred:ATS5p,mordred,132.159537255764,0.003162633303441186,0.5610540142719854,14
mordred:MAXdO,mordred,124.10904482007027,0.002969981633989945,0.5640239959059754,16
mordred:VR2_A,mordred,121.4507927596569,0.0029063685443123195,0.5669303644502878,10
mordred:ATSC2dv,mordred,120.02382504940033,0.002872220606924654,0.5698025850572124,18
mordred:Xpc-5dv,mordred,119.51017022132874,0.002859928630882178,0.5726625136880945,13
mordred:SlogP_VSA5,mordred,119.20448663830757,0.002852613494191687,0.5755151271822861,16
mordred:GATS7s,mordred,110.4622492492199,0.002643408077106954,0.5781585352593931,38
rdkit:BCUT2D_CHGLO,rdkit,108.40037727355957,0.002594066613652556,0.5807526018730457,25
mordred:SdsCH,mordred,107.88379281759262,0.002581704530382551,0.5833343064034282,20
mordred:PEOE_VSA8,mordred,105.10184043645859,0.002515131240010514,0.5858494376434387,30
mordred:ATS4m,mordred,103.83549442887306,0.002484827047513842,0.5883342646909525,9
mordred:AATS5s,mordred,101.48445701599121,0.0024285657335442966,0.5907628304244968,24
mordred:MAXsssN,mordred,99.5834513604641,0.0023830738687796306,0.5931459042932765,16
mordred:JGI7,mordred,99.16011881828308,0.0023729433430216516,0.5955188476362981,26
mordred:GGI3,mordred,98.88593205809593,0.002366381938546904,0.597885229574845,22
mordred:MAXdssC,mordred,97.7712729126215,0.0023397076764492663,0.6002249372512943,28
mordred:SaaaC,mordred,97.2223719060421,0.0023265722445330603,0.6025515094958274,21
mordred:GATS6s,mordred,95.07457157969475,0.0022751744795113634,0.6048266839753387,24
mordred:Xc-4dv,mordred,94.87707728147507,0.0022704483579028974,0.6070971323332416,5
mordred:AATS1s,mordred,93.52062472701073,0.002237987877847004,0.6093351202110886,19
mordred:GATS7dv,mordred,91.60090786218643,0.0021920482459752513,0.6115271684570639,21
mordred:Xch-6dv,mordred,90.10822236537933,0.0021563276543192004,0.6136834961113831,19
mordred:NdsCH,mordred,88.89323949813843,0.0021272526033706625,0.6158107487147537,7
mordred:Xc-5d,mordred,88.24992048740387,0.0021118577089095196,0.6179226064236633,8
mordred:ZMIC2,mordred,88.06284564733505,0.002107380929316288,0.6200299873529795,20
rdkit:MaxEStateIndex,rdkit,86.03152424097061,0.002058770553832539,0.6220887579068121,15
mordred:Xc-5dv,mordred,85.67026817798615,0.00205012554432669,0.6241388834511388,16
mordred:SpMAD_Dzp,mordred,85.5959005355835,0.0020483458953702485,0.6261872293465091,4
mordred:PEOE_VSA1,mordred,85.34674829244614,0.002042383577416241,0.6282296129239253,12
mordred:AMID_N,mordred,83.81688010692596,0.0020057731883828898,0.6302353861123082,25
mordred:Xp-4dv,mordred,82.89920008182526,0.001983812719471217,0.6322191988317795,3
mordred:GATS1pe,mordred,81.54419177770615,0.0019513868009334346,0.6341705856327129,9
mordred:GATS6c,mordred,78.72904923558235,0.0018840192560514893,0.6360546048887644,30
mordred:Xc-3dv,mordred,75.63940060138702,0.001810082664948515,0.637864687553713,11
mordred:ATS6i,mordred,74.15089923143387,0.0017744622012076255,0.6396391497549205,7
mordred:GATS1se,mordred,73.7039857506752,0.0017637673736730162,0.6414029171285935,16
rdkit:BCUT2D_CHGHI,rdkit,71.8832955956459,0.0017201974926102552,0.6431231146212038,11
mordred:AATSC2pe,mordred,71.31247735023499,0.0017065375719519775,0.6448296521931557,5
mordred:MAXaaaC,mordred,71.28340283036232,0.0017058418064647475,0.6465354939996204,21
mordred:SlogP_VSA2,mordred,70.6351347565651,0.0016903284788432908,0.6482258224784637,12
mordred:AATSC3se,mordred,69.6597957611084,0.0016669882065237336,0.6498928106849875,11
mordred:SaasC,mordred,69.5857985317707,0.0016652174217077057,0.6515580281066952,11
rdkit:fr_piperzine,rdkit,68.21968066692352,0.0016325256467098084,0.653190553753405,9
mordred:GATS2s,mordred,67.19479912519455,0.0016079998004238808,0.6547985535538289,14
mordred:piPC10,mordred,66.68529063463211,0.0015958070479816537,0.6563943606018106,12
mordred:MPC4,mordred,65.84071063995361,0.0015755958935386631,0.6579699564953492,4
mordred:GATS5d,mordred,65.27396726608276,0.0015620334862699408,0.6595319899816191,19
mordred:MAXaaCH,mordred,63.01798138022423,0.0015080467953139819,0.6610400367769331,16
mordred:nBase,mordred,63.008857041597366,0.0015078284460535926,0.6625478652229867,17
mordred:ATS5Z,mordred,61.989279597997665,0.001483429529066425,0.6640312947520531,15
mordred:GATS4c,mordred,60.210715770721436,0.0014408677487421353,0.6654721625007952,14
mordred:AATSC0v,mordred,59.798009902238846,0.0014309915237545835,0.6669031540245498,14
mordred:Radius,mordred,59.723214358091354,0.0014292016349294427,0.6683323556594792,5
mordred:VSA_EState5,mordred,59.52345457673073,0.001424421299356713,0.669756776958836,20
