fold,val_size,train_size,val_y_dispersion,val_to_train_nn_mean,scheme
0,831,3309,0.8511251504211793,0.33865774987810093,umap_canonical
1,830,3310,0.939883800261286,0.34397632077776774,umap_canonical
2,829,3311,0.8256634499396862,0.3354093041288538,umap_canonical
3,818,3322,0.7443092909535453,0.33923483547498146,umap_canonical
4,832,3308,0.9458774038461539,0.3423687303453866,umap_canonical
0,828,3312,0.9720772946859904,0.39697940619166094,scaffold
1,828,3312,0.8618297101449276,0.3822258137466661,scaffold
2,828,3312,0.826213768115942,0.3851523168060531,scaffold
3,828,3312,0.7977035678947675,0.3882917912761016,scaffold
4,828,3312,0.8520289855072464,0.3876317261629304,scaffold
0,170,3970,0.7033235294117647,0.4245413873166879,analog_t025
1,170,3970,0.577529411764706,0.40733225617280816,analog_t025
2,170,3970,0.6006176470588236,0.4115267214288814,analog_t025
3,170,3970,0.7645588235294118,0.41800291422504104,analog_t025
4,169,3971,0.7343491124260356,0.4103128114439379,analog_t025
0,829,3311,0.8330398069963814,0.39712895616280713,mixed_t025
1,828,3312,0.8615760869565218,0.3945188008442532,mixed_t025
2,828,3312,0.8533678191024969,0.397261740296457,mixed_t025
3,828,3312,0.8992451690821257,0.4032091983648242,mixed_t025
4,827,3313,0.8689842805320435,0.3987777250733357,mixed_t025
0,828,3312,0.887349033816425,0.4033418611051067,test_nn_t025
1,828,3312,0.8678321256038647,0.3945812611359878,test_nn_t025
2,828,3312,0.8213146790058785,0.3963685214236676,test_nn_t025
3,828,3312,0.8742753623188405,0.39808433194460646,test_nn_t025
4,828,3312,0.8669927536231884,0.39742261016350344,test_nn_t025
0,829,3311,0.8600542822677927,0.3964462192734178,adversarial_top849
1,828,3312,0.8537965630638497,0.3938023707374672,adversarial_top849
2,828,3312,0.8858997584541063,0.40206024007783364,adversarial_top849
3,828,3312,0.8668297101449276,0.40014653720609356,adversarial_top849
4,827,3313,0.8512575574365175,0.39829701783053323,adversarial_top849
