compound_id,num_heavy_atoms,amw,num_rings,train_pec50,train_emax_vs_pos_ctrl,counter_pec50,b2_pocket_distance_a,inchikey,smiles
1733,59,822.9530029296875,6,6.69,0.655,2.0,2.076254946903736,JQXXHWHPUNPDRT-GHGVGPBWSA-N,CO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(C=NN1CCN(C)CC1)=C(O)C4=C3C2=O
1607,63,877.0449829101562,7,6.22,0.691,2.82,2.7963058522279063,RISDZDVHYCURHD-ILLFBZNFSA-N,CO[C@H]1C=CO[C@@]2(C)OC3=C(C)C(O)=C4C(O)=C(NC(=O)/C(C)=C\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C(=C\NN1CCN(C5CCCC5)CC1)C(=O)C4=C3C2=O
2814,59,822.9530029296875,6,6.12,0.75,,2.6100756576023083,JQXXHWHPUNPDRT-WLSIYKJHSA-N,CO[C@H]1/C=C/O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(/C=N/N4CCN(C)CC4)=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C
1668,59,810.989013671875,9,5.64,6.4,1.9,2.6231137342097575,JXLYSJRDGCGARV-LKGYUBROSA-N,CC[C@]12C=CCN3CC[C@@]4(C5=CC([C@]6(C(=O)OC)C[C@H]7CN(CCC8=C6NC6=C8C=CC=C6)C[C@@](O)(CC)C7)=C(OC)C=C5N(C)[C@H]4[C@@](O)(C(=O)OC)[C@@H]1OC(C)=O)[C@@H]32
1772,50,720.9619750976562,4,5.55,0.767,1.8,3.2402969696738895,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)C1=NC(CN(C)C(=O)N[C@H](C(=O)N[C@@H](CC2=CC=CC=C2)C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)C(C)C)=CS1
1684,51,704.8690185546875,3,5.52,0.699,2.8,2.6059165388896,AXRYRYVKAWYZBR-GASGPIRDSA-N,COC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1=CC=C(C2=CC=CC=N2)C=C1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C
1822,44,608.68798828125,6,4.71,0.912,4.91,2.6373542630755566,QEVHRUUCFGRFIF-MDEJGZGSSA-N,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@]1([H])C3=C(CCN1C2)C1=C(C=C(OC)C=C1)N3
1720,54,738.8900146484375,6,4.57,0.916,4.12,6.947785307481706,FKRSSPOQAMALKA-CUPIEXAXSA-N,COC(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC=C(C2=CC=C(C3=CC=C(C4=CN=C([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)N4)C=C3)C=C2)N1)C(C)C
1789,54,764.9500122070312,8,4.26,1.39,3.27,10.885453170437236,WDJUZGPOPHTGOT-XUDUSOBPSA-N,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
1690,31,645.3189697265625,3,3.92,0.864,2.02,2.0984620299718264,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(C=CC=C2)O1
