train_id,compound_id,train_molecule_name,standard_inchi_key,chembl_id,chembl_pref_name
5,5,OADMET-0006085,LUTYNSQAQIEGNU-UHFFFAOYSA-N,CHEMBL5024773,
129,129,OADMET-0005961,KLVAGSMAGSODNJ-UHFFFAOYSA-N,CHEMBL4933822,
198,198,OADMET-0005892,BWAAEYBOCQIPMN-UHFFFAOYSA-N,CHEMBL5022990,
204,204,OADMET-0005886,ZMRFNBCSWLZXAP-UHFFFAOYSA-N,CHEMBL4889921,
210,210,OADMET-0005880,RBFWRWJCOIIAOK-UHFFFAOYSA-N,CHEMBL4944843,
224,224,OADMET-0005866,ZNEMEGIOVDBPET-UHFFFAOYSA-N,CHEMBL4998920,
233,233,OADMET-0005857,ALPAMLHLXGEYCV-UHFFFAOYSA-N,CHEMBL4893504,
265,265,OADMET-0005825,WOXUZPJUZFEHDJ-UHFFFAOYSA-N,CHEMBL4890313,
305,305,OADMET-0005785,WPRKAFWHASEFDD-DAFXYXGESA-N,CHEMBL4965489,
310,310,OADMET-0005780,ZHMAMFYEVUWYHT-UHFFFAOYSA-N,CHEMBL4903944,
317,317,OADMET-0005773,NQTZHBDIZWHZRQ-UHFFFAOYSA-N,CHEMBL5011975,
327,327,OADMET-0005763,ACPJUVGNTPNUOB-UHFFFAOYSA-N,CHEMBL4907703,
328,328,OADMET-0005762,TVOGWPQQJSSLBC-UHFFFAOYSA-N,CHEMBL4950021,
330,330,OADMET-0005760,PDRMLCKMZRDHOW-UHFFFAOYSA-N,CHEMBL4999962,
479,479,OADMET-0005611,NMOWDWMKIBNABG-UHFFFAOYSA-N,CHEMBL1454446,
529,529,OADMET-0005561,XTQROICNTHRHGX-MRXNPFEDSA-N,CHEMBL5003617,
558,558,OADMET-0005532,HUYDUYMQFQSBFZ-UHFFFAOYSA-N,CHEMBL4931098,
639,639,OADMET-0005451,MOTBAZRAFOUQEQ-UHFFFAOYSA-N,CHEMBL5003178,
655,655,OADMET-0005435,XOUCDEWWDAZSRK-UHFFFAOYSA-N,CHEMBL4904874,
666,666,OADMET-0005424,WVXNXIXRJNDTPF-ACJLOTCBSA-N,CHEMBL5009469,
667,667,OADMET-0005423,JCBXMWZFTVXMIJ-HOTGVXAUSA-N,CHEMBL4909144,
676,676,OADMET-0005414,VXVVPIBUGSAZBL-UHFFFAOYSA-N,CHEMBL4959586,
686,686,OADMET-0005404,TUYWKYNNDMAYCY-UHFFFAOYSA-N,CHEMBL4954722,
714,714,OADMET-0005376,VXOXNSXYWJEKTF-UHFFFAOYSA-N,CHEMBL4916652,
718,718,OADMET-0005372,NVEMSTLZFNWUBN-UHFFFAOYSA-N,CHEMBL4950050,
727,727,OADMET-0005363,XGXGIICWCMYWOQ-UHFFFAOYSA-N,CHEMBL4935517,
741,741,OADMET-0005349,JAOOOUFPOJHYAZ-HNNXBMFYSA-N,CHEMBL4943521,
830,830,OADMET-0005260,MNKMGNDBLJMEEX-UHFFFAOYSA-N,CHEMBL5023233,
888,888,OADMET-0005202,NWWABCYEQJPVRR-UHFFFAOYSA-N,CHEMBL4926045,
990,990,OADMET-0005100,MQAYVQAUUCNHDF-UHFFFAOYSA-N,CHEMBL5007620,
1000,1000,OADMET-0005090,JSTLLBKMQGDWAO-UHFFFAOYSA-N,CHEMBL4895146,
1034,1034,OADMET-0005056,JZGLECLGVQRPPI-NSHDSACASA-N,CHEMBL4779773,ZELATRIAZIN
1056,1056,OADMET-0005034,HXAWOSHQTBGXKI-LBPRGKRZSA-N,CHEMBL4906258,
1059,1059,OADMET-0005031,TVZRLCHIWKNVRN-UHFFFAOYSA-N,CHEMBL4897568,
1060,1060,OADMET-0005030,MHTCFZKRQSMNPD-UHFFFAOYSA-N,CHEMBL4983373,
1087,1087,OADMET-0005003,UDYHSXCNPDCLFL-CYBMUJFWSA-N,CHEMBL4984722,
1095,1095,OADMET-0004995,VYTXBSJBWODFHY-UHFFFAOYSA-N,CHEMBL4916791,
1151,1151,OADMET-0004939,VZRIKDZHRLPCNG-UHFFFAOYSA-N,CHEMBL4974868,
1229,1229,OADMET-0004861,JZYGYHAKTVYMKY-UHFFFAOYSA-N,CHEMBL4982739,
1230,1230,OADMET-0004860,PQDNSHRLKSHCPF-IUODEOHRSA-N,CHEMBL5016863,
1244,1244,OADMET-0004846,LCBSQLYFAYPDEP-UHFFFAOYSA-N,CHEMBL4933841,
1262,1262,OADMET-0004828,APLZTWIKOAAHGG-OAHLLOKOSA-N,CHEMBL4960148,
1266,1266,OADMET-0004824,JFUSHCDQZLKURH-UHFFFAOYSA-N,CHEMBL4940023,
1280,1280,OADMET-0004810,NNTGBBBLWXRGTB-UHFFFAOYSA-N,CHEMBL4915779,
1281,1281,OADMET-0004809,LJZMBGSJCFOKGN-UHFFFAOYSA-N,CHEMBL4944128,
1283,1283,OADMET-0004807,UECCNYJREFSXQY-UHFFFAOYSA-N,CHEMBL4919694,
1290,1290,OADMET-0004800,XWBVWKAJUOIHSA-UHFFFAOYSA-N,CHEMBL4893197,
1303,1303,OADMET-0004787,BZSKUXNWDPSATN-UHFFFAOYSA-N,CHEMBL5309062,
1334,1334,OADMET-0004756,PAYLFXSTVMZXDY-UHFFFAOYSA-N,CHEMBL4904835,
1412,1412,OADMET-0004678,FQQIIPAOSKSOJM-UHFFFAOYSA-N,CHEMBL1625607,MEBHYDROLIN
1413,1413,OADMET-0004677,RYMZZMVNJRMUDD-HGQWONQESA-N,CHEMBL1064,SIMVASTATIN
1458,1458,OADMET-0004379,SJVQHLPISAIATJ-ZDUSSCGKSA-N,CHEMBL3039502,DUVELISIB
1481,1481,OADMET-0004263,UGFZUTSUBBMSNJ-UHFFFAOYSA-N,CHEMBL4945932,
1482,1482,OADMET-0004261,FNAADSQRTFFGRD-UHFFFAOYSA-N,CHEMBL4092902,
1552,1552,OADMET-0003900,IEEKGKCYWRAJSQ-LBPRGKRZSA-N,CHEMBL4924452,
1577,1577,OADMET-0003811,OVCDSSHSILBFBN-UHFFFAOYSA-N,CHEMBL682,AMODIAQUINE
1578,1578,OADMET-0003810,XUKUURHRXDUEBC-KAYWLYCHSA-N,CHEMBL1487,ATORVASTATIN
1579,1579,OADMET-0003809,XFDJYSQDBULQSI-UHFFFAOYSA-N,CHEMBL1754,DOXAPRAM
1580,1580,OADMET-0003808,BMKDZUISNHGIBY-ZETCQYMHSA-N,CHEMBL1738,DEXRAZOXANE
1581,1581,OADMET-0003807,WSNODXPBBALQOF-VEJSHDCNSA-N,CHEMBL1963683,TAFLUPROST
1582,1582,OADMET-0003806,NCNRHFGMJRPRSK-MDZDMXLPSA-N,CHEMBL408513,BELINOSTAT
1583,1583,OADMET-0003805,FIADGNVRKBPQEU-UHFFFAOYSA-N,CHEMBL294951,PIZOTYLINE
1584,1584,OADMET-0003804,WYWZRNAHINYAEF-UHFFFAOYSA-N,CHEMBL1323699,PADIMATE O
1585,1585,OADMET-0003803,PMATZTZNYRCHOR-CGLBZJNRSA-N,CHEMBL160,CYCLOSPORINE
1586,1586,OADMET-0003802,HFNKQEVNSGCOJV-OAHLLOKOSA-N,CHEMBL1789941,RUXOLITINIB
1587,1587,OADMET-0003801,HEOCBCNFKCOKBX-SDNWHVSQSA-N,CHEMBL2104261,ENZACAMENE
1588,1588,OADMET-0003800,TTZHDVOVKQGIBA-IQWMDFIBSA-N,CHEMBL1259059,SOFOSBUVIR
1590,1590,OADMET-0003798,NQPDXQQQCQDHHW-UHFFFAOYSA-N,CHEMBL1086440,TRICLABENDAZOLE
1591,1591,OADMET-0003797,HJBWBFZLDZWPHF-UHFFFAOYSA-N,CHEMBL3183409,APALUTAMIDE
1592,1592,OADMET-0003796,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,CHEMBL986,RETINOL
1593,1593,OADMET-0003794,XRCFXMGQEVUZFC-UHFFFAOYSA-N,CHEMBL712,ANISINDIONE
1595,1595,OADMET-0003792,UCJGJABZCDBEDK-UHFFFAOYSA-N,CHEMBL46740,BAZEDOXIFENE
1596,1596,OADMET-0003791,DDFOUSQFMYRUQK-RCDICMHDSA-N,CHEMBL409153,ISAVUCONAZOLE
1597,1597,OADMET-0003790,WOZSCQDILHKSGG-UHFFFAOYSA-N,CHEMBL922,ADEFOVIR DIPIVOXIL
1598,1598,OADMET-0003789,JWNPDZNEKVCWMY-VQHVLOKHSA-N,CHEMBL180022,NERATINIB
1600,1600,OADMET-0003787,CZCHIEJNWPNBDE-UHFFFAOYSA-N,CHEMBL232201,BENZIODARONE
1602,1602,OADMET-0003785,MBBCVAKAJPKAKM-UHFFFAOYSA-N,CHEMBL354541,LOMITAPIDE
1603,1603,OADMET-0003784,DHNRXBZYEKSXIM-UHFFFAOYSA-N,CHEMBL1738962,
1604,1604,OADMET-0003783,ABJKWBDEJIDSJZ-UHFFFAOYSA-N,CHEMBL990,BUTENAFINE
1605,1605,OADMET-0003782,MJIHNNLFOKEZEW-RUZDIDTESA-N,CHEMBL1201863,DEXLANSOPRAZOLE
1606,1606,OADMET-0003781,SHGAZHPCJJPHSC-XFYACQKRSA-N,CHEMBL547,ISOTRETINOIN
1608,1608,OADMET-0003779,FUSNMLFNXJSCDI-UHFFFAOYSA-N,CHEMBL83668,TOLNAFTATE
1609,1609,OADMET-0003777,PHOQVHQSTUBQQK-SQOUGZDYSA-N,CHEMBL1200829,GLUCONOLACTONE
1610,1610,OADMET-0003775,KYYIDSXMWOZKMP-UHFFFAOYSA-N,CHEMBL1118,DESVENLAFAXINE
1611,1611,OADMET-0003773,ANMATWQYLIFGOK-UHFFFAOYSA-N,CHEMBL2107455,IGURATIMOD
1612,1612,OADMET-0003772,WOSKHXYHFSIKNG-UHFFFAOYSA-N,CHEMBL1289601,LENVATINIB
1613,1613,OADMET-0003771,UDMBCSSLTHHNCD-KQYNXXCUSA-N,CHEMBL752,ADENOSINE PHOSPHATE
1614,1614,OADMET-0003770,RZJQGNCSTQAWON-UHFFFAOYSA-N,CHEMBL122,ROFECOXIB
1615,1615,OADMET-0003769,OEKWJQXRCDYSHL-FNOIDJSQSA-N,CHEMBL398435,TICAGRELOR
1616,1616,OADMET-0003768,BAJQRLZAPXASRD-UHFFFAOYSA-N,CHEMBL352531,
1617,1617,OADMET-0003767,AILRADAXUVEEIR-UHFFFAOYSA-N,CHEMBL3545311,BRIGATINIB
1618,1618,OADMET-0003766,YYUAYBYLJSNDCX-UHFFFAOYSA-N,CHEMBL53292,ISOXICAM
1619,1619,OADMET-0003765,GHASVSINZRGABV-UHFFFAOYSA-N,CHEMBL185,FLUOROURACIL
1620,1620,OADMET-0003764,PIDANAQULIKBQS-RNUIGHNZSA-N,CHEMBL1201148,MEPREDNISONE
