rank,username,Submitted,model_report_link,MAE,RAE,R2,Spearman ρ,Kendall's τ,Proprietary Data
1,MirthEngine,2026-04-05 19:31 UTC,,0.47±0.03,0.59±0.02,0.55±0.04,0.81±0.02,0.60±0.02,No
2,Asidsal11,2026-04-04 16:32 UTC,,0.47±0.03,0.59±0.03,0.53±0.05,0.79±0.02,0.59±0.02,No
3,Radi,2026-04-06 10:43 UTC,exp16,0.48±0.03,0.60±0.03,0.53±0.04,0.81±0.02,0.61±0.02,No
4,baseline_2,2026-04-05 08:16 UTC,,0.48±0.04,0.60±0.03,0.50±0.05,0.80±0.02,0.61±0.02,No
5,N1NC1O,2026-04-01 23:28 UTC,,0.48±0.03,0.60±0.03,0.52±0.04,0.79±0.03,0.61±0.03,No
6,deoxys,2026-04-06 08:55 UTC,,0.49±0.04,0.62±0.03,0.49±0.05,0.80±0.03,0.60±0.02,No
7,discoverybytes,2026-04-05 23:15 UTC,,0.50±0.03,0.63±0.03,0.49±0.05,0.77±0.03,0.58±0.02,No
8,N283T,2026-04-06 11:12 UTC,"ensemble v4 L2 reg, no catboost/xgboost, +count FPs",0.51±0.03,0.64±0.03,0.50±0.04,0.78±0.03,0.59±0.03,No
9,sia,2026-04-06 05:32 UTC,,0.51±0.03,0.64±0.03,0.49±0.04,0.78±0.03,0.58±0.03,No
10,Queimo,2026-04-03 12:46 UTC,,0.51±0.03,0.64±0.03,0.47±0.05,0.76±0.03,0.56±0.03,No
11,W1175,2026-04-06 10:24 UTC,,0.52±0.04,0.65±0.02,0.46±0.04,0.78±0.03,0.58±0.02,No
12,axelrolov,2026-04-04 07:32 UTC,https://github.com/AxelRolov/moltabfm_pxr,0.52±0.04,0.65±0.03,0.46±0.05,0.76±0.03,0.56±0.03,No
13,gte1,2026-04-06 05:31 UTC,,0.52±0.03,0.66±0.03,0.47±0.04,0.74±0.03,0.55±0.03,No
14,suspenders,2026-04-03 20:05 UTC,,0.53±0.04,0.67±0.03,0.41±0.05,0.76±0.03,0.56±0.03,No
15,MolTabICL,2026-04-02 16:05 UTC,,0.53±0.04,0.67±0.03,0.44±0.05,0.75±0.03,0.55±0.03,No
16,ubiqtuitin,2026-04-04 04:58 UTC,,0.54±0.03,0.68±0.03,0.46±0.05,0.73±0.03,0.53±0.03,No
17,ChemBro,2026-04-04 06:58 UTC,,0.56±0.03,0.70±0.03,0.44±0.04,0.75±0.03,0.55±0.03,No
18,lin-reg2,2026-04-05 08:11 UTC,,0.56±0.03,0.70±0.03,0.44±0.04,0.76±0.03,0.56±0.03,No
19,jaybirdy,2026-04-06 06:55 UTC,v2_raw_xgb_lgb_rf_et_maccs_emax_lowreg_oofstack_noscaling,0.56±0.04,0.71±0.03,0.36±0.05,0.72±0.03,0.52±0.03,No
20,North Coil,2026-04-06 02:04 UTC,,0.57±0.04,0.71±0.03,0.35±0.05,0.70±0.03,0.51±0.03,No
21,openadmet-lgbm-baseline,2026-03-31 11:02 UTC,,0.58±0.03,0.73±0.04,0.40±0.05,0.68±0.03,0.49±0.03,No
22,trial-0,2026-04-03 21:44 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
23,Takuya Suzuoka,2026-04-04 12:21 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
24,Cloud,2026-04-04 21:49 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
25,CanaryGumball,2026-04-01 11:29 UTC,xgb_ecfp4_baseline,0.59±0.04,0.74±0.03,0.28±0.05,0.61±0.05,0.44±0.04,No
26,APML-team,2026-04-03 12:50 UTC,,0.64±0.04,0.81±0.03,0.31±0.04,0.62±0.04,0.43±0.03,No
27,asidsal11,2026-04-04 14:04 UTC,,0.65±0.05,0.81±0.04,0.16±0.07,0.61±0.04,0.43±0.03,No
28,shelby,2026-04-04 20:43 UTC,,0.73±0.04,0.91±0.05,0.17±0.05,0.51±0.05,0.35±0.04,No
29,bekirpashaliev,2026-04-04 22:21 UTC,,0.87±0.03,1.09±0.08,0.03±0.09,0.68±0.04,0.49±0.03,No
30,,2026-04-03 22:27 UTC,,1.64±0.08,2.07±0.18,-3.18±0.58,0.66±0.04,0.47±0.03,No
31,modeling1213,2026-04-03 23:45 UTC,,2.03±0.12,2.56±0.22,-6.66±1.03,0.65±0.04,0.51±0.04,No
