rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
1,Ray_art,2026-04-16 22:17 UTC,,0.4154646245918896,0.0296728709691495,0.5217024430380796,0.0277030713279267,0.6345095932703877,0.0406391900541172,0.8407897914487674,0.022363417361287,0.6532668516759644,0.0229554979013535,No
2,W1175,2026-04-16 22:10 UTC,,0.4156315988489898,0.0297049030802283,0.5219107249607459,0.0277152807129151,0.6338509528614492,0.0406396013466772,0.8418572054777166,0.0221301585488419,0.6544972747664871,0.0228350470267934,No
3,Yan,2026-04-16 22:32 UTC,,0.4163418756211902,0.0296885312536629,0.5228059434383368,0.0277131958294215,0.633179627590479,0.0406995029438394,0.8400821474201327,0.0223665406797469,0.6531585800805721,0.023041063710752,No
4,suspenders,2026-04-17 00:05 UTC,,0.4211222887327731,0.0280751144355639,0.5290647980926603,0.029685042293604,0.6514567939783543,0.0368136190000853,0.8334428884517793,0.0221663063060907,0.6415005311921665,0.0233440185623234,No
5,sia,2026-04-16 22:00 UTC,,0.4244470966106185,0.0301300428729837,0.5331006629589231,0.0301582675248641,0.6258552379062744,0.0422601658999581,0.8419424019514498,0.0200613116397053,0.6505789270122672,0.0219811491148622,No
6,discoverybytes,2026-04-16 16:10 UTC,,0.4355071084861648,0.0308594536093884,0.5467187376954484,0.0255382189337927,0.6108632752082627,0.0344800538666849,0.8388291140508872,0.0199746400958986,0.6442499765739963,0.0213355739302638,No
7,matcha-croissant,2026-04-16 20:54 UTC,,0.4420351447601846,0.0304535612972784,0.5550098898526081,0.0262343182604924,0.6052429324004704,0.0402922472614734,0.8266007519615304,0.0229027375252142,0.6360994018038348,0.0241911474180135,No
8,nova,2026-04-11 13:19 UTC,,0.4436722061703646,0.0313650031127896,0.557059123548952,0.0276881279051432,0.5885827696062708,0.0418279716585679,0.8324832341913462,0.0210616022725536,0.636689873055862,0.0226728714760159,No
9,deoxys,2026-04-11 19:11 UTC,,0.4476045900882292,0.0308757478883756,0.5620531485059779,0.0277301127918784,0.5885203362117497,0.0407916049295176,0.8290707660542852,0.0215825663417322,0.6338831866926582,0.0230559544444603,No
10,MirthEngine,2026-04-06 20:27 UTC,,0.4575175350952777,0.0295031604348893,0.5746094965024856,0.0271511685178394,0.6018197162461709,0.0342007767454697,0.8024179426374063,0.022089465784856,0.5975313312271993,0.0221381458341785,No
