rank,username,Submitted,model_report_link,LDDT-PLI,LDDT-PLI std,BiSyRMSD,BiSyRMSD std,LDDT-LP,LDDT-LP std,Coverage,Proprietary Data
1,Radi,2026-04-24 18:40 UTC,v26,0.5011725407603966,0.0282537394819845,3.966114294627439,0.2846648825822723,0.9136431773762652,0.0062266401171745,1.0,No
2,nova,2026-04-25 09:04 UTC,,0.4773992660253754,0.0281534863542001,4.176622012934283,0.2886985368991427,0.9120559447186052,0.0062465391524873,1.0,No
3,JacksonBurns,2026-04-25 01:14 UTC,https://github.com/JacksonBurns/openadmet_pxr/tree/73154f02280412fc26a9a67161196e2dbf9a6a49,0.4745174439627191,0.0280559231626928,4.312408871678555,0.3254788615254954,0.901937956125099,0.0114868897742278,0.9891304347826086,No
4,discoverybytes,2026-04-25 01:39 UTC,,0.4660425437354361,0.0271794982862423,4.189850490987786,0.2666207552424611,0.8960307076018149,0.006245846414728,1.0,No
5,openadmet-boltz-baseline,2026-04-24 04:56 UTC,,0.4631544258369376,0.0278141963364948,4.310849592047217,0.2854975128964583,0.914018226041898,0.0062163453518884,1.0,No
6,testing,2026-04-24 07:09 UTC,,0.4631544258369376,0.0278141963364948,4.310849592047217,0.2854975128964583,0.914018226041898,0.0062163453518884,1.0,No
7,mp-sabrina,2026-04-24 20:08 UTC,,0.4026874678875117,0.0225297250682084,4.701571234050004,0.2641149375867133,0.8605406833842626,0.0066097342054212,1.0,No
8,grape,2026-04-24 08:53 UTC,,0.3112176154021011,0.0231065474867781,7.609675968183123,0.7025588676303186,0.5511666597643435,0.0295089403598479,0.8043478260869565,No
9,simulacrum,2026-04-25 06:08 UTC,,0.0344977023023302,0.011014510533507,18.56347538012525,0.4377497551826804,0.0842625512890376,0.0256675406634267,0.0978260869565217,No
10,jiyoungyang1,2026-04-24 13:12 UTC,,0.0,0.0,20.0,0.0,0.0,0.0,1.0,No
