rank,username,Submitted,model_report_link,MAE,RAE,R2,Spearman ρ,Kendall's τ,Proprietary Data
1,MirthEngine,2026-04-06 20:27 UTC,,0.46±0.03,0.57±0.03,0.60±0.03,0.80±0.02,0.60±0.02,No
2,nova,2026-04-06 12:40 UTC,,0.47±0.03,0.58±0.03,0.54±0.04,0.83±0.02,0.63±0.02,No
3,Asidsal11,2026-04-04 16:32 UTC,,0.47±0.03,0.59±0.03,0.53±0.05,0.79±0.02,0.59±0.02,No
4,Radi,2026-04-06 22:47 UTC,exp19,0.47±0.03,0.59±0.03,0.53±0.04,0.82±0.02,0.62±0.02,No
5,N1NC1O,2026-04-01 23:28 UTC,,0.48±0.03,0.60±0.03,0.52±0.04,0.79±0.03,0.61±0.03,No
6,deoxys,2026-04-06 08:55 UTC,,0.49±0.04,0.62±0.03,0.49±0.05,0.80±0.03,0.60±0.02,No
7,N283T,2026-04-07 00:54 UTC,"ensemble v7, +AttentiveFP +MoLFormer, chemprop optuna, gap reg, residual learning",0.50±0.03,0.62±0.03,0.52±0.04,0.80±0.02,0.60±0.02,No
8,jaybirdy,2026-04-06 15:13 UTC,,0.50±0.04,0.63±0.03,0.49±0.05,0.74±0.03,0.55±0.03,No
9,discoverybytes,2026-04-06 20:37 UTC,,0.50±0.04,0.63±0.03,0.48±0.05,0.80±0.02,0.59±0.02,No
10,sia,2026-04-06 22:21 UTC,,0.51±0.04,0.64±0.03,0.47±0.05,0.78±0.02,0.58±0.02,No
11,Yan,2026-04-06 19:32 UTC,,0.51±0.04,0.64±0.02,0.46±0.04,0.79±0.02,0.59±0.02,No
12,Queimo,2026-04-03 12:46 UTC,,0.51±0.03,0.64±0.03,0.47±0.05,0.76±0.03,0.56±0.03,No
13,W1175,2026-04-06 18:26 UTC,,0.52±0.04,0.65±0.02,0.45±0.04,0.78±0.03,0.58±0.02,No
14,axelrolov,2026-04-04 07:32 UTC,https://github.com/AxelRolov/moltabfm_pxr,0.52±0.04,0.65±0.03,0.46±0.05,0.76±0.03,0.56±0.03,No
15,Ky,2026-04-06 19:31 UTC,,0.52±0.04,0.65±0.03,0.43±0.05,0.75±0.03,0.55±0.03,No
16,lin-reg3,2026-04-06 23:42 UTC,,0.52±0.03,0.65±0.03,0.49±0.05,0.75±0.03,0.56±0.03,No
17,gte1,2026-04-06 05:31 UTC,,0.52±0.03,0.66±0.03,0.47±0.04,0.74±0.03,0.55±0.03,No
18,North Coil,2026-04-06 12:23 UTC,,0.53±0.04,0.67±0.02,0.44±0.04,0.77±0.03,0.57±0.02,No
19,MolTabICL,2026-04-02 16:05 UTC,,0.53±0.04,0.67±0.03,0.44±0.05,0.75±0.03,0.55±0.03,No
20,ubiqtuitin,2026-04-06 22:36 UTC,,0.54±0.04,0.68±0.03,0.42±0.05,0.73±0.03,0.53±0.03,No
21,ChemBro,2026-04-06 22:13 UTC,,0.55±0.03,0.69±0.03,0.47±0.04,0.76±0.03,0.56±0.03,No
22,openadmet-lgbm-baseline,2026-03-31 11:02 UTC,,0.58±0.03,0.73±0.04,0.40±0.05,0.68±0.03,0.49±0.03,No
23,ebee,2026-04-06 16:05 UTC,,0.58±0.04,0.73±0.03,0.37±0.05,0.65±0.04,0.47±0.03,No
24,trial-0,2026-04-03 21:44 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
25,Takuya Suzuoka,2026-04-04 12:21 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
26,Cloud,2026-04-04 21:49 UTC,,0.58±0.03,0.73±0.04,0.41±0.05,0.68±0.03,0.49±0.03,No
27,sdfgsdfg,2026-04-06 16:23 UTC,,0.58±0.04,0.73±0.03,0.35±0.05,0.63±0.04,0.45±0.03,No
28,CanaryGumball,2026-04-01 11:29 UTC,xgb_ecfp4_baseline,0.59±0.04,0.74±0.03,0.28±0.05,0.61±0.05,0.44±0.04,No
29,APML-team,2026-04-03 12:50 UTC,,0.64±0.04,0.81±0.03,0.31±0.04,0.62±0.04,0.43±0.03,No
30,asidsal11,2026-04-04 14:04 UTC,,0.65±0.05,0.81±0.04,0.16±0.07,0.61±0.04,0.43±0.03,No
31,modeling1213,2026-04-06 19:44 UTC,,0.71±0.03,0.89±0.06,0.25±0.07,0.64±0.04,0.45±0.03,No
32,MM-2092,2026-04-06 20:50 UTC,,0.72±0.03,0.90±0.06,0.24±0.07,0.64±0.04,0.46±0.03,No
33,shelby,2026-04-04 20:43 UTC,,0.73±0.04,0.91±0.05,0.17±0.05,0.51±0.05,0.35±0.04,No
34,suspenders,2026-04-06 17:24 UTC,,0.77±0.04,0.96±0.05,0.05±0.08,0.72±0.03,0.52±0.03,No
35,bekirpashaliev,2026-04-04 22:21 UTC,,0.87±0.03,1.09±0.08,0.03±0.09,0.68±0.04,0.49±0.03,No
