rank,username,Submitted,model_report_link,MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
1,Yan,2026-05-16 10:55 UTC,,0.3977640805861903,0.0286820343185687,0.4995126656484138,0.0275705696742103,0.6598818903717552,0.0400908827980786,0.8538997016513092,0.0207006109875219,0.6729111918787489,0.0225938265797247,No
2,sia,2026-05-16 01:19 UTC,,0.4004904575668311,0.0283809828490119,0.5030307827941034,0.028668271458322,0.6665821524297959,0.0381602056614902,0.8509020381136464,0.0193307737657873,0.6646151260675446,0.0219966682587813,No
3,jaybirdy,2026-05-16 05:48 UTC,caruana_full_catalog_diverse_r200_bag40_topk8_reclaim_2026-05-16,0.4042009792657484,0.0287938804965322,0.507590703300596,0.027398378560348,0.6559919502287991,0.0375887106583143,0.8420704517026373,0.0209075781160609,0.6561023385739878,0.0229954528911856,No
4,nova,2026-05-16 10:20 UTC,,0.406789332117189,0.0283883406726105,0.5110164492850011,0.0298086780591387,0.6566203712131369,0.0402152345963993,0.850193169567803,0.0191730743863002,0.6601701202683794,0.0214726046084539,No
5,N283T,2026-05-16 12:23 UTC,,0.4077304791033634,0.0266971245763167,0.5123227394758809,0.0294382003287179,0.678512068379368,0.0386721213360192,0.8447631913450021,0.0198411840715371,0.6556078066925035,0.0220940160081893,No
6,histidine,2026-05-16 09:00 UTC,,0.412347275007232,0.0289916687845674,0.5178945903561825,0.0286936336737189,0.6489532582112514,0.0406739639016044,0.8509410172647014,0.0189397227585926,0.6618016155829836,0.0213023113930371,No
7,cc,2026-05-15 05:34 UTC,,0.4174562649616957,0.0289244565691249,0.5241607190255182,0.025411252676879,0.6446996399990674,0.0354231647170602,0.8436852538783378,0.0207324428917671,0.6544465257934378,0.0225498094869538,No
8,Maisy,2026-05-15 03:47 UTC,,0.4262212297455258,0.0300552760276563,0.535118996940915,0.0258774392336248,0.6210131847739759,0.0369137306891981,0.8395002440863927,0.0205387850253615,0.6471393747975475,0.0222203098732376,No
9,pxr,2026-05-15 12:17 UTC,,0.4275710986664032,0.0269021523005973,0.5373616076204297,0.0313513947590462,0.6571657942196989,0.035370925794009,0.8281714419779158,0.0218812574206146,0.6384633061453814,0.0231824894185967,No
10,red-orange,2026-05-08 17:22 UTC,,0.4285466000436143,0.0303296978277222,0.5380863869236717,0.0271927797763871,0.6235589976000512,0.0385624497463643,0.8327505912576132,0.0218354450911756,0.6435990784258632,0.0236579314666671,No
11,discoverybytes,2026-05-04 15:43 UTC,,0.4300077146245059,0.0314721600782759,0.5398168402163839,0.0270954179641367,0.6044523519311028,0.0411834092665391,0.8303951949313891,0.0232144704345784,0.641008762280933,0.0233281180464096,No
12,toxicity,2026-05-16 11:19 UTC,,0.432598709984585,0.0305158528429862,0.5433565643366209,0.0307133193977424,0.6143359244084334,0.0431064952342974,0.8145057460448437,0.025205186470649,0.6270373907587916,0.0250146966183069,No
13,suspenders,2026-04-23 04:56 UTC,,0.4329759100206493,0.0314312112323453,0.5437425718304446,0.0307147063234213,0.5973190143300874,0.0436970954992853,0.8284425067626964,0.0209473993529652,0.6342848054268235,0.0226478444213175,No
14,PXRegressor,2026-05-10 17:58 UTC,,0.4328536612315423,0.0272713720122073,0.5440394141378074,0.0323558720339136,0.6444912001196643,0.042884986184271,0.8338990318283046,0.0205772921786313,0.6396388696955203,0.0221319216589627,No
15,acheron,2026-05-15 20:55 UTC,,0.4339902284063242,0.0318851717849575,0.5446834707214772,0.0248122791358278,0.5965110004761311,0.0384923494578153,0.8493505900424879,0.0177578185504265,0.657106332040893,0.0196821463083222,No
