rank,username,Submitted,model_report_link,Significance (tiers),MAE,MAE std,RAE,RAE std,R2,R2 std,Spearman ρ,Spearman ρ std,Kendall's τ,Kendall's τ std,Proprietary Data
1,matcha-croissant,2026-07-01 19:34 UTC,https://docs.google.com/document/d/1OY1OPicY4OD6uFvbqvXGfeLcRJbxTRY6Ds8uXZusBR4/edit?usp=sharing,Tier 1,0.4060699484615384,0.0280338677769645,0.563145681315789,0.0328508522308005,0.5982261388803729,0.0640069505875202,0.826945901897071,0.0279601257088937,0.6429775452544558,0.023793165575309,Yes
2,AIDD-LiLab,2026-07-01 03:13 UTC,https://github.com/AIDD-LiLab/OpenADMET-PXR-Blind-Challenge-Solutions/tree/main/main%20solution,Tier 1,0.4092387008213721,0.0280862515974585,0.56757014106185,0.033232088816659,0.590739363283465,0.068163742184993,0.8245221522680202,0.0282935942174688,0.6438345873664495,0.0248535385763981,No
3,AIDD-LiLab-Aggressive,2026-07-01 21:41 UTC,https://github.com/AIDD-LiLab/OpenADMET-PXR-Blind-Challenge-Solutions/tree/main/Aggressive%20Version%20Report,Tier 1,0.4104165617131534,0.0281722834005925,0.5691880126565907,0.0330858569299491,0.5886361063334552,0.0677919130594301,0.8215544649779556,0.0283659566526159,0.64086911224546,0.0252627239794354,No
4,N283T,2026-06-28 09:11 UTC,https://github.com/N283T/openadmet-pxr-model-report,Tier 1,0.411256332902247,0.0277316112273042,0.5703230159134048,0.0318605273598765,0.6007957466717375,0.0570605210129115,0.816145814183088,0.02572971123275,0.6225300706062136,0.0241149697089285,No
5,toxicity,2026-07-01 19:50 UTC,https://docs.google.com/document/d/10wG9RDO7RggWLdqJe0qkcC_eAeHIf7niJROcIcl_gtM/edit?tab=t.0#heading=h.s2yx44dt2a2z,Tier 1,0.4121228717742307,0.0291702617561577,0.571259996859128,0.0294180353555544,0.5789516706258777,0.0627642626667817,0.810743798780487,0.0290316211763188,0.6245125257122897,0.025768599979818,Yes
6,tguttenb1,2026-06-30 05:37 UTC,https://github.com/tguttenb/openadmet-pxr-model-summary,Tier 1,0.4138516552318462,0.026652790990801,0.5740566950071834,0.0324085811813007,0.6074935207764284,0.0602076324187463,0.8200830693212007,0.0250493927494191,0.6279624709984382,0.0230331857446294,No
7,rdkbio,2026-07-01 21:52 UTC,https://github.com/rdk/pxr-challenge-reports/blob/main/activity-model-report.md,Tier 1,0.414922138333552,0.0290421595445811,0.5751019759783091,0.0282832822907812,0.5701356575573175,0.0649407783738249,0.809539719288943,0.028834337538993,0.6224740077732024,0.0247528270637557,No
8,Multi,2026-07-01 01:47 UTC,https://docs.google.com/document/d/1ya7QUZBkdav_BvlqooVO_Mz2I2aoEBDvoGnGAlsgVp8/edit?usp=sharing,Tier 1,0.4151709240880769,0.0286357765787006,0.5755349728631737,0.0292265773003749,0.5801671242220774,0.0637277374550668,0.8172456043068025,0.0287522726551827,0.6309887877211096,0.0244149153879808,No
9,Gashaw,2026-06-28 18:20 UTC,https://github.com/gashawmg/openadmet-pxr-pec50-challenge,Tier 1,0.4212548457692308,0.0296426886790672,0.5840658464889962,0.032628994177233,0.552791276500356,0.064396919069282,0.8028277161624773,0.0299776751121117,0.622075176795075,0.0266489678566125,No
10,tibo,2026-07-01 21:49 UTC,https://gist.github.com/Tibogoss/201796826aca37ce09ac70ef30ac2173,Tier 1,0.422086428125299,0.0285492208596097,0.5852229498540121,0.0307072329990385,0.5743495105109355,0.0562075879644705,0.8067264521309307,0.0269680866593134,0.6184063667151408,0.0243994689470127,No
11,bear,2026-07-01 23:01 UTC,https://docs.google.com/document/d/1fk6eFI9BlpFhFKD9BgqaQQJiTOLxSK1ncd7PggPeYkg/edit?usp=sharing,Tier 1,0.4222294922321579,0.0289242069018031,0.5852305403580038,0.0275373681961193,0.5681453978116198,0.0577535354427246,0.8140933625479626,0.0278476150580622,0.6261309328205478,0.0243980800634215,No
12,discoverybytes,2026-05-29 17:49 UTC,https://github.com/discoverybytes/openadmet-pxr-blind-challenge/blob/main/activity-prediction/README.md,Tier 1,0.4228204092307692,0.028437835692038,0.5860163184877236,0.0257867610799117,0.5750621983042364,0.0582451503964599,0.8222322681552555,0.028136272782487,0.6367517769623404,0.0242017437670278,No
