rank,username,Submitted,model_report_link,Significance (tiers),LDDT-PLI,LDDT-PLI std,BiSyRMSD,BiSyRMSD std,LDDT-LP,LDDT-LP std,Coverage,Proprietary Data
1,willvith,2026-07-01 21:54 UTC,https://github.com/wiwnopgm/pxr_structure_challenge/blob/main/README.md,Tier 1,0.5301540708715177,0.0184476949531703,3.647644317296212,0.1735288164251812,0.901174587414568,0.0046275796309086,1.0,No
2,e-phy,2026-07-01 22:54 UTC,https://github.com/wiwnopgm/pxr_structure_challenge/blob/main/alternative_method.md,Tier 1,0.5240911802001217,0.0185334063625199,3.693644884431492,0.1714456466592145,0.9011967480789184,0.0044543245297322,1.0,No
3,Radi,2026-07-01 18:26 UTC,https://github.com/turkiAlturaifi/openadmet-pxr/blob/main/structure/final/MODEL_REPORT.md,Tier 1,0.5226365586166959,0.019143058485419,3.7523900062605415,0.18351442987562,0.899856766773099,0.0044968939354163,1.0,No
4,bear,2026-07-01 20:05 UTC,https://docs.google.com/document/d/1JJ8WRujk5U5rVH5rnX9CAU2S1ujZFNqCHxcRhUaoheo/edit?usp=sharing,Tier 1,0.5179450802922896,0.0179855497152226,3.744803882042837,0.1719511460209133,0.8972230354899992,0.0045220090020095,1.0,No
5,xX-its-amit-Xx,2026-07-01 23:37 UTC,https://github.com/xX-its-amit-Xx/OpenADMET-pxr-structure,Tier 1,0.5172533114101818,0.018749498716978,3.800602497652983,0.1919130179739458,0.8822789064845623,0.006820421941136,1.0,No
6,mittface,2026-07-01 23:59 UTC,https://github.com/xX-its-amit-Xx/OpenADMET-pxr-structure/blob/master/docs/light_medchem_edits.md,Tier 1,0.515869354832391,0.0186784419475043,3.817760693843598,0.1924650845565402,0.8821924421998415,0.0068172543476909,1.0,No
7,NamuICT,2026-07-01 22:49 UTC,https://github.com/chrisgyusik/PXR_challenge,Tier 1,0.5125089556324174,0.0197180667199277,3.863879534773448,0.202508118099757,0.8872429759814389,0.0067280175584402,0.9945652173913044,No
8,TangerineTrees,2026-07-01 20:07 UTC,https://github.com/surajugrani/pxr-structure-challenge,Tier 1,0.5123811804266727,0.0179404066258815,3.8244908383627942,0.1721884624249037,0.8971091092188368,0.0045988544823327,1.0,No
9,dargason,2026-07-01 18:57 UTC,https://aetherark.com/projects/pxr-modeling/structure-challenge-model-report/#x02872-ref-template-coordmap-20260701,Tier 1,0.511777204790436,0.0175983143886506,3.857443015246288,0.1873886499218289,0.8977534992687013,0.0067778709615274,0.9945652173913044,No
10,ver228,2026-07-01 10:38 UTC,https://gist.github.com/avelinoapheris/6e6fee1fd13cc62ef180de5a118b5388,Tier 1,0.5113939517866415,0.0182805848734625,3.883119842174746,0.1928997448886019,0.8931239830272604,0.0067142201452699,0.9945652173913044,No
11,dnan-ipd,2026-07-01 06:42 UTC,https://github.com/davinan/oadmet_structure,Tier 1,0.5049597009763365,0.0184971697830934,3.9037911756769135,0.1804006576973628,0.8993225193665175,0.0044587578689551,1.0,No
12,suspenders,2026-07-01 19:18 UTC,https://docs.google.com/document/d/15_41oAOwn4fJj5x44IsW1fVZUP5ow1ckxGmOv6M5_6M/edit?tab=t.0#heading=h.24dwwwgbx9m,Tier 1,0.5024671031261349,0.0175321781288602,3.768921164296568,0.1706012720514106,0.8696296340696988,0.0040541256909567,1.0,No
13,davis4better,2026-07-01 20:38 UTC,https://github.com/davis4better/OpenADMET_StructurePrediction,Tier 2,0.5020365171313853,0.0181221992548741,3.8361294806868487,0.1703273230069249,0.8995343531235265,0.0044918635954223,1.0,No
14,florian-wuennemann,2026-07-01 20:03 UTC,https://gist.github.com/FloWuenne/431e3ddd85f4df3ccfef78cb19260af7,Tier 2,0.4942000393940783,0.0175718515497822,3.944380028730016,0.1708265266435826,0.8999321751739536,0.0044689802060801,1.0,No
15,nova,2026-07-01 21:39 UTC,https://github.com/cedenoruel/PXR_OpenADMET_challenge/blob/main/README.md,Tier 2,0.4938272712248499,0.017767065805538,3.921500713704073,0.1748561312966875,0.9005625934762198,0.0046178092696401,1.0,No
16,UCL_UCTPrague,2026-06-30 22:16 UTC,https://gist.github.com/dehaenw/279136ca9cf08fb3d4d48af41ab25ef3,Tier 2,0.4846292478138095,0.0196978548995087,4.718809850281671,0.3568511930540131,0.8875670594099598,0.0083278855271379,0.9891304347826086,No
17,pavankum,2026-07-01 19:21 UTC,https://gist.github.com/pavankum/b0922217f8f50bee4e01b75b2efe9451,Tier 2,0.4721541859945282,0.0176347679663864,4.110594629251601,0.1726427953474936,0.8917630108529603,0.0041300881994876,1.0,No
18,discoverybytes,2026-06-29 11:30 UTC,https://github.com/discoverybytes/openadmet-pxr-blind-challenge/tree/main/structure-prediction,Tier 2,0.4681718801869403,0.0170916037534039,4.140605160883911,0.1706416567224428,0.8957445284927841,0.004056361793443,1.0,No
