variant,mae_8p25,n_8p25,mae_33,n_33,val_loss_pretrain,note,mae_mean
kermt (solo),0.18707100950663214,225,0.27570235370814195,222,,LEAKY: KERMT-train ⊇ eval set,0.23138668160738704
top3_cp_mc3_kermt_LEAKY,0.24993848353657136,225,0.3532556222252216,222,,includes KERMT (leaky),0.3015970528808965
weighted_val_loss_5_LEAKY,0.26154889145138405,225,0.3641153069795911,222,,includes KERMT (leaky),0.3128320992154876
mean_5_LEAKY,0.26751407333710137,225,0.3739717783451896,222,,includes KERMT (leaky),0.3207429258411455
weighted_val_loss_4_clean,0.2935348597315846,225,0.3960421748650797,222,,,0.34478851729833215
chemprop (solo),0.3104573324028091,225,0.38383224937681437,222,0.3647,,0.34714479088981176
top2_cp_mc3,0.2973642696657846,225,0.3996569038501575,222,,,0.3485105867579711
mean_3_cp_mc3_afp,0.29495172986034673,225,0.4036733555534882,222,,,0.3493125427069175
mean_4_clean,0.2961990170771438,225,0.40357457580567757,222,,,0.3498867964414107
attentivefp (solo),0.3141676169092063,225,0.4348571653913986,222,0.7012,,0.37451239115030244
gatedgcn (solo),0.32613257503302506,225,0.42754529309052663,222,0.7478,,0.3768389340617758
molformer_c3 (solo),0.3354882572524334,225,0.46586168013451595,222,0.5065,,0.4006749686934747
