molecule_name,true_pec50,true_bin,abs_error,threshold,n_neighbors,n_same_bin,n_low_train,n_high_train,mean_neighbor_pec50,max_sim
OADMET-0006617,3.515,3-4,0.748118203004513,0.4,5,1,1,0,4.272,0.4716981053352356
OADMET-0006617,3.515,3-4,0.748118203004513,0.5,0,0,0,0,,0.4716981053352356
OADMET-0006617,3.515,3-4,0.748118203004513,0.6,0,0,0,0,,0.4716981053352356
OADMET-0006615,5.335,5-6,0.059848758808549896,0.4,1,0,0,1,6.01,0.52173912525177
OADMET-0006615,5.335,5-6,0.059848758808549896,0.5,1,0,0,1,6.01,0.52173912525177
OADMET-0006615,5.335,5-6,0.059848758808549896,0.6,0,0,0,0,,0.52173912525177
OADMET-0006612,4.28,4-5,0.4317728925968618,0.4,1,0,0,1,6.26,0.5873016119003296
OADMET-0006612,4.28,4-5,0.4317728925968618,0.5,1,0,0,1,6.26,0.5873016119003296
OADMET-0006612,4.28,4-5,0.4317728925968618,0.6,0,0,0,0,,0.5873016119003296
OADMET-0006610,4.949999999999999,4-5,0.3224312331476238,0.4,2,1,0,1,5.3575,0.5319148898124695
OADMET-0006610,4.949999999999999,4-5,0.3224312331476238,0.5,1,0,0,1,6.015000000000001,0.5319148898124695
OADMET-0006610,4.949999999999999,4-5,0.3224312331476238,0.6,0,0,0,0,,0.5319148898124695
OADMET-0006609,2.015,<3,0.8329765273876113,0.4,1,0,0,1,6.205,0.5333333611488342
OADMET-0006609,2.015,<3,0.8329765273876113,0.5,1,0,0,1,6.205,0.5333333611488342
OADMET-0006609,2.015,<3,0.8329765273876113,0.6,0,0,0,0,,0.5333333611488342
OADMET-0006606,5.49,5-6,0.044069269772769815,0.4,1,1,0,0,5.904999999999999,0.699999988079071
OADMET-0006606,5.49,5-6,0.044069269772769815,0.5,1,1,0,0,5.904999999999999,0.699999988079071
OADMET-0006606,5.49,5-6,0.044069269772769815,0.6,1,1,0,0,5.904999999999999,0.699999988079071
OADMET-0006604,4.715,4-5,0.00780533308661191,0.4,1,0,0,1,6.855,0.5901639461517334
OADMET-0006604,4.715,4-5,0.00780533308661191,0.5,1,0,0,1,6.855,0.5901639461517334
OADMET-0006604,4.715,4-5,0.00780533308661191,0.6,0,0,0,0,,0.5901639461517334
OADMET-0006603,2.275,<3,0.7695952381544648,0.4,1,0,0,1,6.845,0.5076923370361328
OADMET-0006603,2.275,<3,0.7695952381544648,0.5,1,0,0,1,6.845,0.5076923370361328
OADMET-0006603,2.275,<3,0.7695952381544648,0.6,0,0,0,0,,0.5076923370361328
OADMET-0006600,3.99,3-4,0.3946117811201084,0.4,3,0,0,1,5.111666666666666,0.5625
OADMET-0006600,3.99,3-4,0.3946117811201084,0.5,1,0,0,1,6.045,0.5625
OADMET-0006600,3.99,3-4,0.3946117811201084,0.6,0,0,0,0,,0.5625
OADMET-0006599,2.3600000000000003,<3,0.8674310738368725,0.4,2,1,1,0,3.9300000000000006,0.5
OADMET-0006599,2.3600000000000003,<3,0.8674310738368725,0.5,1,0,0,0,5.880000000000001,0.5
OADMET-0006599,2.3600000000000003,<3,0.8674310738368725,0.6,0,0,0,0,,0.5
OADMET-0006597,5.215,5-6,0.4217749016213128,0.4,1,0,0,1,6.01,0.8064516186714172
OADMET-0006597,5.215,5-6,0.4217749016213128,0.5,1,0,0,1,6.01,0.8064516186714172
OADMET-0006597,5.215,5-6,0.4217749016213128,0.6,1,0,0,1,6.01,0.8064516186714172
OADMET-0006596,4.89,4-5,0.5352458362643153,0.4,2,1,0,1,5.8425,0.5625
OADMET-0006596,4.89,4-5,0.5352458362643153,0.5,1,0,0,1,6.855,0.5625
OADMET-0006596,4.89,4-5,0.5352458362643153,0.6,0,0,0,0,,0.5625
OADMET-0006593,4.46,4-5,0.44747441408062194,0.4,1,0,0,1,6.855,0.43661972880363464
OADMET-0006593,4.46,4-5,0.44747441408062194,0.5,0,0,0,0,,0.43661972880363464
OADMET-0006593,4.46,4-5,0.44747441408062194,0.6,0,0,0,0,,0.43661972880363464
OADMET-0006589,3.42,3-4,0.31075458307065595,0.4,2,0,0,1,5.34,0.5087719559669495
OADMET-0006589,3.42,3-4,0.31075458307065595,0.5,1,0,0,1,6.0600000000000005,0.5087719559669495
OADMET-0006589,3.42,3-4,0.31075458307065595,0.6,0,0,0,0,,0.5087719559669495
