true_bin,threshold,n_as1,median_neighbors,mean_neighbors,any_neighbor_rate,median_same_bin,mean_same_bin,same_bin_support_rate,median_low_train,median_high_train,mean_abs_error
3-4,0.4,31,2.0,2.096774193548387,0.9354838709677419,0.0,0.03225806451612903,0.03225806451612903,0.0,1.0,0.5036229857412946
3-4,0.5,31,1.0,0.7741935483870968,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.5036229857412946
3-4,0.6,31,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.5036229857412946
4-5,0.4,86,2.0,2.0,0.9651162790697675,0.0,0.5,0.32558139534883723,0.0,1.0,0.34145173046126126
4-5,0.5,86,1.0,0.7325581395348837,0.5581395348837209,0.0,0.11627906976744186,0.09302325581395349,0.0,0.0,0.34145173046126126
4-5,0.6,86,0.0,0.09302325581395349,0.09302325581395349,0.0,0.011627906976744186,0.011627906976744186,0.0,0.0,0.34145173046126126
5-6,0.4,102,2.0,2.284313725490196,1.0,1.0,1.2647058823529411,0.7450980392156863,0.0,1.0,0.24437536035647733
5-6,0.5,102,1.0,0.8823529411764706,0.696078431372549,0.0,0.4411764705882353,0.4215686274509804,0.0,0.0,0.24437536035647733
5-6,0.6,102,0.0,0.2549019607843137,0.2549019607843137,0.0,0.19607843137254902,0.19607843137254902,0.0,0.0,0.24437536035647733
<3,0.4,24,1.0,1.375,0.9166666666666666,0.0,0.20833333333333334,0.16666666666666666,0.0,1.0,1.1437751819252127
<3,0.5,24,1.0,0.8333333333333334,0.75,0.0,0.0,0.0,0.0,0.0,1.1437751819252127
<3,0.6,24,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,1.1437751819252127
>=6,0.4,10,2.0,2.0,1.0,1.0,0.7,0.7,0.0,1.0,0.5507141813659158
>=6,0.5,10,1.0,1.1,0.8,1.0,0.6,0.6,0.0,1.0,0.5507141813659158
>=6,0.6,10,0.5,0.6,0.5,0.0,0.3,0.3,0.0,0.0,0.5507141813659158
