test_id,compound_id,molecule_name,smiles,true_pec50,emax_estimate,emax_vs_pos_ctrl,pred_id55,error,abs_error,nn_train_tanimoto,nn_train_pec50,nn_potent_tanimoto,log2fc_8p25_pred,log2fc_33_pred,lf_mean
172,4312,OADMET-0006439,CCC1(O)CCCN(c2cccc(-n3cnc4ccccc43)n2)C1,1.745,2.325,1.015,4.620959352467861,2.875959352467861,2.875959352467861,0.47619048,2.67,0.43283582,0.4043116,0.75336087,0.5788362
154,4294,OADMET-0006458,CC1CCCN(c2cc(C(=O)Nc3ccnn3C)ccn2)C1,1.945,2.34,0.9855,4.17158476867593,2.22658476867593,2.22658476867593,0.5,6.01,0.5,0.1888712,0.4619189,0.32539505
81,4221,OADMET-0006534,CNS(=O)(=O)c1ccc(C(=O)NC2(C)CC=CCC2)cn1,2.8200000000000003,2.47,1.14,4.894503708189022,2.074503708189022,2.074503708189022,0.5535714,6.6850000000000005,0.5535714,0.6125307,0.9633652,0.78794795
271,4411,OADMET-0006336,O=C(NCC(F)(F)F)c1ccc(S(=O)(=O)NC2CCC(O)CC2)cc1,1.805,2.33,0.97,3.8467020591264496,2.0417020591264494,2.0417020591264494,0.5,6.6850000000000005,0.5,0.066736154,0.19436073,0.13054845
487,4627,OADMET-0006113,COC(=O)c1cccc2nc(Cn3cc(-c4ccn(C)n4)nn3)cn12,4.800000000000001,1.33,0.3465,2.952202404552796,-1.8477975954472048,1.8477975954472048,0.35714287,4.47,0.23809524,0.11590376,0.3151668,0.21553528
100,4240,OADMET-0006514,CC(NC(=O)c1ccc(O)nc1)c1nc2ccccc2n1C(F)F,2.725,2.33,1.115,4.353301554901036,1.6283015549010362,1.6283015549010362,0.5,5.79,0.2195122,0.28842846,0.65796405,0.47319627
184,4324,OADMET-0006427,CN(Cc1ncccn1)C(=O)c1cc(C(C)(C)C)n2ncnc2n1,3.38,2.185,0.891,4.978452276619249,1.5984522766192493,1.5984522766192493,0.50769234,6.11,0.50769234,0.81251633,1.1344407,0.9734785
51,4191,OADMET-0006566,CC(O)CCNc1cccc(-n2cnc3ccccc32)n1,1.945,1.84,0.6775,3.4347619161604124,1.4897619161604123,1.4897619161604123,0.41269842,2.67,0.37313432,0.12803647,0.33844623,0.23324135
356,4496,OADMET-0006249,Cc1ncn(CC(=O)N2CCOC(c3ccc(F)cc3)C2)c(=O)c1C,1.96,2.34,1.07,3.442191554486832,1.4821915544868318,1.4821915544868318,0.5151515,6.115,0.5151515,0.1334508,0.320974,0.2272124
140,4280,OADMET-0006472,CC(C)C1CC(CC(=O)NCc2ccc(C(=O)Nc3ccncc3)cc2)CCO1,1.755,2.3150000000000004,1.045,3.1615782323991417,1.4065782323991418,1.4065782323991418,0.578125,6.205,0.578125,0.105088435,0.20082545,0.15295695
361,4501,OADMET-0006244,O=C(O)C1CCCN(C(=O)Cn2ncc(=O)c3ccccc32)C1,3.875,1.975,0.75,2.4722708030169214,-1.4027291969830786,1.4027291969830786,0.4923077,6.845,0.4923077,0.059685457,0.05429951,0.056992486
178,4318,OADMET-0006433,CC1(C(=O)NCc2ccc(C(=O)Nc3ccncc3)cc2)CCC(F)(F)CC1,1.845,2.3200000000000003,1.01,3.064289425607767,1.2192894256077669,1.2192894256077669,0.5423729,6.205,0.5423729,0.1304787,0.2326239,0.1815513
337,4477,OADMET-0006270,CN1CCCC1C1CCCN1C(=O)Cn1ncc(=O)c2ccccc21,2.765,2.37,0.9985,3.972176797562253,1.2071767975622527,1.2071767975622527,0.50769234,6.845,0.50769234,0.08358171,0.28256643,0.18307407
427,4567,OADMET-0006176,COC(=O)c1cccc2nc(Cn3cc(-c4nccn4C)nn3)cn12,4.185,1.695,0.537,2.9974232681021187,-1.187576731897881,1.187576731897881,0.33783785,1.76,0.22988506,0.15796062,0.36281165,0.26038614
70,4210,OADMET-0006546,O=S(=O)(NCC(O)c1cccc2ccccc12)c1c(Cl)cccc1Cl,6.72,2.39,1.26,5.61224477911845,-1.1077552208815495,1.1077552208815495,0.6122449,5.904999999999999,0.32258064,1.6666505,1.7520182,1.7093344
108,4248,OADMET-0006506,CC(C)(C)CCC(=O)NCc1ccc(C(=O)Nc2ccncc2)cc1,2.2,2.27,1.005,3.304891737904579,1.1048917379045786,1.1048917379045786,0.5714286,6.205,0.5714286,0.12171159,0.26818448,0.19494803
157,4297,OADMET-0006455,COc1c(NCC2(C3CCCCO3)CCC2)ncnc1C(C)C,6.225,1.95,0.63,5.148777467176687,-1.076222532823313,1.076222532823313,0.43283582,5.83,0.1764706,0.6704043,1.1025232,0.88646376
