name,oof_mae,oof_spearman,as1_mae,as1_bias,as1_spearman
lgbm_morgan_r2_2048,0.5761,0.6772,0.6263612691454552,0.21997553858743676,0.5695041636483165
lgbm_morgan_r3_2048,0.5912,0.6648,0.635391335512717,0.18183038517006317,0.555047564383003
lgbm_feat_morgan_r2_2048,0.5858,0.6635,0.5790031984840667,0.0797975978700035,0.6369090812554721
lgbm_maccs,0.6144,0.6228,0.6163114791152511,0.11860114529105346,0.577265508207536
lgbm_atompair_2048,0.5781,0.6691,0.618846153651873,0.018846054496043933,0.6218695986773943
lgbm_topo_torsion_2048,0.6128,0.6399,0.6232068010527163,0.058037073012861116,0.5835646866253882
lgbm_rdkit_fp_2048,0.6295,0.6142,0.6421216225490805,0.09570811327476254,0.553547365233245
lgbm_avalon_2048,0.5665,0.6796,0.5725100627445542,0.15459311327401992,0.647331116477188
lgbm_desc+morgan_r2_2048,0.507,0.7363,0.5691217765101461,0.038104110590074534,0.7089422836828673
lgbm_desc+morgan_r3_2048,0.5108,0.7289,0.5815855320975377,0.040889644141638655,0.701417575228327
lgbm_desc+maccs,0.5379,0.6996,0.5781434984099082,-0.06502376525116256,0.6959094456241458
lgbm_mordred,0.5138,0.7281,0.5442543408771722,-0.03496970192817155,0.731642753306816
lgbm_rdkit_desc+mordred,0.5148,0.7281,0.5594699116495078,-0.006647216068158983,0.6968036014046828
lgbm_mordred+morgan_r2,0.5033,0.7387,0.5370091407863444,-0.017667812609362475,0.7286041923714828
lgbm_all_features,0.507,0.737,0.5317221807913273,0.028750881819682477,0.7328346872818151
chemprop_mpnn,0.558,0.7,0.559558551283222,0.30536814501163045,0.7214289274239636
lgbm_chemberta,0.585,0.6521,0.5997361342757642,0.01333604031706192,0.635041383343551
lgbm_chemberta+desc,0.5316,0.6995,0.5572796747742114,-0.03331406401761677,0.7316627609022932
lgbm_chemberta+morgan_r2,0.562,0.6796,0.5776461922032697,0.08755213264386016,0.6771509554917514
lgbm_chemberta+desc+morgan_r2,0.5164,0.7218,0.5565478707446377,-0.01749758539830395,0.7309398938879248
lgbm_chemberta_77m_mlm,0.585,0.6521,0.5997361342757642,0.01333604031706192,0.635041383343551
lgbm_chemberta_77m_mlm+desc+morgan,0.5164,0.7218,0.5565478707446377,-0.01749758539830395,0.7309398938879248
lgbm_chemberta_77m_mtr,0.6004,0.6382,0.6325877448596976,-0.01652090573652881,0.5955523107326269
lgbm_chemberta_77m_mtr+desc+morgan,0.5193,0.7198,0.574798937913964,-0.007582429622434018,0.7086506915043395
lgbm_chemberta_100m_mlm,0.5939,0.6299,0.6621694041937208,-0.04354434379913288,0.5508682831996404
lgbm_chemberta_100m_mlm+desc+morgan,0.5376,0.7006,0.6036930328727894,-0.03439428600626561,0.6658296824480955
lgbm_chemberta_10m_mlm,0.5779,0.6596,0.6251524526987261,0.031075007412519125,0.5785076887836652
lgbm_chemberta_10m_mlm+desc+morgan,0.5149,0.7232,0.5732145391166782,0.0036680108350930357,0.6946627886886291
lgbm_chemberta_10m_mtr,0.5666,0.6701,0.6136199225813844,0.008348397883780409,0.6304055485104877
lgbm_chemberta_10m_mtr+desc+morgan,0.5189,0.7192,0.5704235002170368,-0.047073171098237575,0.7017543697521922
lgbm_chemberta_5m_mlm,0.5854,0.6393,0.647687845880061,-0.03188652117120211,0.585258400952656
lgbm_chemberta_5m_mlm+desc+morgan,0.521,0.7168,0.5948685717255838,-0.017998933155735645,0.674528478440137
lgbm_chemberta_5m_mtr,0.5549,0.675,0.5979035720212829,0.009412114033672498,0.6199860354689752
lgbm_chemberta_5m_mtr+desc+morgan,0.5161,0.718,0.5691969730867552,0.019083501434794568,0.6832947693473418
lgbm_chemberta_zinc_v1,0.6137,0.6215,0.7146773781523204,0.0024834938508207995,0.3984108044181766
lgbm_chemberta_zinc_v1+desc+morgan,0.5234,0.7144,0.5942859649974408,0.01792738732295966,0.6570922930196569
lgbm_bert_base_smiles,0.6798,0.5582,0.7335499282280074,-0.0024865002126336763,0.29980931655182247
lgbm_bert_base_smiles+desc+morgan,0.5219,0.7203,0.6024970388893107,-0.015570490743939163,0.6695885161242685
lgbm_chemeleon,0.5496,0.6962,0.5815802251030847,0.028603307648012135,0.672856052269184
lgbm_chemeleon+desc+morgan,0.5031,0.7368,0.580375438051514,-0.017359052962675606,0.6975339346744571
scaffold_desc+morgan_r2,0.5079,0.7374,0.5634127398448032,0.032316059626074714,0.7119223038758786
random_desc+morgan_r2,0.5077,0.7361,0.566036260040548,0.030309820487836696,0.709668485296482
scaffold_chemeleon+desc+morgan,0.5011,0.7419,0.572767285146118,-0.004085039409503279,0.699975601892395
