molecule_name,compound_id,true_pec50,pred_id55,error,abs_error,emax_estimate,log2fc_8p25_pred,log2fc_33_pred,lf_mean,nn_train_tanimoto,nn_train_pec50,nn_train_name,nn_potent_tanimoto,nn_potent_pec50,true_bin,smiles
OADMET-0006260,4486,3.1100000000000003,3.085649865089216,-0.024350134910784416,0.024350134910784416,2.14,0.107132316,0.18205425,0.14459328,0.52380955,6.115,OADMET-0002718,0.52380955,6.115,3-4,O=C(Cn1cnnn1)N1CCOC(c2ccc(F)cc2)C1
OADMET-0006201,4542,3.995,3.904148173356032,-0.09085182664396818,0.09085182664396818,2.285,0.12132287,0.25470608,0.18801448,0.46551725,6.6850000000000005,OADMET-0003257,0.46551725,6.6850000000000005,3-4,CC(NC(=O)c1ccc(S(=O)(=O)NC2CC2)cc1)c1ccncc1
OADMET-0006401,4348,4.74,4.736921386467815,-0.0030786135321854147,0.0030786135321854147,1.99,0.33887303,0.7691096,0.5539913,0.55737704,4.4,OADMET-0005186,0.4852941,6.33,4-5,COc1ccccc1-c1cn(Cc2nnc3n2CCCCC3)nn1
OADMET-0006604,4154,4.715,4.722805333086612,0.00780533308661191,0.00780533308661191,2.81,0.5318159,1.0713972,0.80160654,0.59016395,6.855,OADMET-0002603,0.59016395,6.855,4-5,O=C(O)C1CCN(C(=O)C2CC23CCc2ccccc23)c2ccccc21
OADMET-0006461,4291,5.34,5.34066871886357,0.000668718863570561,0.000668718863570561,2.425,1.152838,1.6934898,1.4231639,0.49295774,5.0,OADMET-0002796,0.20253165,6.0,5-6,C=CC(C)(CC)C(=O)NCc1nn2c(c1C(=O)OC)CCCC2
OADMET-0006393,4356,5.3100000000000005,5.31790167935071,0.0079016793507094,0.0079016793507094,2.155,1.0320919,1.4488361,1.240464,0.42424244,5.99,OADMET-0003244,0.24358974,6.52,5-6,CCc1ccc(S(C)(=O)=O)cc1C(=O)Nc1cccc2c1OCCC2
OADMET-0006108,4632,2.56,2.593595524119084,0.03359552411908373,0.03359552411908373,2.41,0.08401872,0.09448029,0.08924951,0.46969697,6.845,OADMET-0003414,0.46969697,6.845,<3,CC(C)(C(N)=O)N1CCN(C(=O)Cn2ncc(=O)c3ccccc32)CC1
OADMET-0006277,4470,2.505,2.627605405187806,0.12260540518780605,0.12260540518780605,2.23,0.07578161,0.14894165,0.11236163,0.6557377,5.84,OADMET-0002797,0.21839081,6.27,<3,CC(C)(C(=O)O)C(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCO3)CC1
OADMET-0006416,4335,6.015,5.858708508888389,-0.15629149111161045,0.15629149111161045,2.385,1.4050456,1.4978244,1.4514351,0.63829786,6.050000000000001,OADMET-0002539,0.63829786,6.050000000000001,>=6,O=S(=O)(Nc1ccccc1C1CC1)c1sccc1C1CC1
OADMET-0006420,4331,6.140000000000001,5.891224021942103,-0.24877597805789797,0.24877597805789797,2.3600000000000003,1.4884075,1.5271257,1.5077666,0.6,6.050000000000001,OADMET-0002539,0.6,6.050000000000001,>=6,O=S(=O)(Nc1ccccc1C1CCC1)c1sccc1C1CC1
