compound,selected_model,strategy
x00011-1,4,medoid
x00035-1,0,medoid
x00046-1,2,medoid
x00052-1,2,medoid
x00086-1,2,medoid
x00088-1,2,medoid
x00113-1,0,medoid
x00162-1,3,medoid
x00186-1,2,medoid
x00229-1,3,medoid
x00242-1,3,medoid
x00252-1,4,medoid
x00261-1,1,medoid
x00337-1,3,medoid
x00348-1,0,medoid
x00358-1,1,medoid
x00370-1,0,medoid
x00406-1,4,medoid
x00409-1,2,medoid
x00433-1,3,medoid
x00462-1,3,medoid
x00463-1,1,medoid
x00494-1,4,medoid
x00509-1,3,medoid
x00512-1,0,medoid
x00527-1,1,medoid
x00543-1,1,medoid
x00555-1,2,medoid
x00558-1,0,medoid
x00612-1,4,medoid
x00625-1,3,medoid
x00638-1,2,medoid
x00644-1,3,medoid
x00652-1,2,medoid
x00664-1,2,medoid
x00674-1,4,medoid
x00714-1,0,medoid
x00720-1,1,medoid
x00753-1,0,medoid
x00757-1,2,medoid
x00773-1,3,medoid
x00794-1,4,medoid
x00819-1,0,medoid
x00913-1,4,medoid
x00979-1,3,medoid
x00981-1,1,medoid
x00982-1,0,medoid
x00990-1,0,medoid
x01009-1,2,medoid
x01016-1,2,medoid
x01039-1,1,medoid
x01070-1,1,medoid
x01105-1,3,medoid
x01108-1,1,medoid
x01111-1,2,medoid
x01126-1,1,medoid
x01130-1,4,medoid
x01131-1,1,medoid
x01217-1,3,medoid
x01233-1,3,medoid
x01234-1,3,medoid
x01249-1,3,medoid
x01260-1,0,medoid
x01287-1,2,medoid
x01295-1,1,medoid
x01306-1,0,medoid
x01325-1,0,medoid
x01334-1,3,medoid
x01358-1,3,medoid
x01378-1,0,medoid
x01382-1,1,medoid
x01401-1,2,medoid
x01411-1,0,medoid
x01415-1,2,medoid
x01438-1,2,medoid
x01464-1,0,medoid
x01502-1,3,medoid
x01511-1,2,medoid
x02691-1,2,medoid
x02696-1,2,medoid
x02698-1,3,medoid
x02700-1,2,medoid
x02704-1,0,medoid
x02708-1,3,medoid
x02715-1,1,medoid
x02736-1,0,medoid
x02742-1,2,medoid
x02745-1,0,medoid
x02746-1,4,medoid
x02758-1,2,medoid
x02776-1,3,medoid
x02777-1,2,medoid
x02782-1,0,medoid
x02790-1,2,medoid
x02792-1,3,medoid
x02793-1,1,medoid
x02797-1,2,medoid
x02800-1,0,medoid
x02806-1,0,medoid
x02813-1,0,medoid
x02819-1,2,medoid
x02828-1,3,medoid
x02843-1,4,medoid
x02848-1,1,medoid
x02858-1,3,medoid
x02859-1,1,medoid
x02861-1,3,medoid
x02865-1,4,medoid
x02872-1,3,medoid
x02877-1,0,medoid
x02878-1,2,medoid
x02882-1,2,medoid
x02904-1,0,medoid
x02906-1,3,medoid
x02909-1,3,medoid
x02913-1,3,medoid
x02914-1,2,medoid
x02920-1,1,medoid
x02962-1,0,medoid
x02989-1,0,medoid
x03004-1,1,medoid
x03006-1,1,medoid
x03015-1,2,medoid
x03026-1,0,medoid
x03030-1,1,medoid
x03033-1,4,medoid
x03037-1,2,medoid
x03039-1,3,medoid
x03051-1,4,medoid
x03055-1,4,medoid
x03059-1,2,medoid
x03063-1,2,medoid
x03065-1,4,medoid
x03080-1,0,medoid
x03094-1,3,medoid
x03096-1,2,medoid
x03117-1,4,medoid
x03123-1,3,medoid
x03145-1,0,medoid
x03147-1,4,medoid
x03152-1,2,medoid
x03161-1,0,medoid
x03172-1,2,medoid
x03179-1,1,medoid
x03191-1,1,medoid
x03194-1,1,medoid
x03204-1,3,medoid
x03219-1,3,medoid
x03220-1,1,medoid
x03223-1,3,medoid
x03234-1,4,medoid
x03244-1,0,medoid
x03250-1,0,medoid
x03252-1,0,medoid
x03259-1,2,medoid
x03260-1,4,medoid
x03264-1,3,medoid
x03271-1,2,medoid
x03273-1,1,medoid
x03279-1,1,medoid
x03282-1,2,medoid
x03297-1,2,medoid
x03306-1,3,medoid
x03319-1,0,medoid
x03325-1,0,medoid
x03331-1,0,medoid
x03363-1,2,medoid
x03365-1,2,medoid
x03371-1,2,medoid
x03385-1,3,medoid
x03387-1,4,medoid
x03400-1,3,medoid
x03401-1,4,medoid
x03405-1,2,medoid
x03406-1,3,medoid
x03420-1,1,medoid
x03421-1,3,medoid
x03425-1,3,medoid
x03432-1,4,medoid
x03454-1,2,medoid
x03462-1,0,medoid
x03463-1,3,medoid
x03464-1,2,medoid
x03468-1,3,medoid
