compound,selected_source
x00011-1,boltz_model_3
x00035-1,boltz_model_4
x00046-1,boltz_model_4
x00052-1,boltz_model_3
x00086-1,boltz_model_1
x00088-1,boltz_model_1
x00113-1,boltz_model_2
x00162-1,boltz_model_1
x00186-1,boltz_model_0
x00229-1,boltz_model_0
x00242-1,boltz_model_0
x00252-1,boltz_model_1
x00261-1,boltz_model_4
x00337-1,boltz_model_2
x00348-1,boltz_model_3
x00358-1,boltz_model_2
x00370-1,boltz_model_3
x00406-1,boltz_model_0
x00409-1,boltz_model_1
x00433-1,boltz_model_4
x00462-1,boltz_model_0
x00463-1,boltz_model_3
x00494-1,boltz_model_3
x00509-1,boltz_model_1
x00512-1,boltz_model_2
x00527-1,boltz_model_2
x00543-1,boltz_model_2
x00555-1,boltz_model_0
x00558-1,boltz_model_4
x00612-1,boltz_model_0
x00625-1,boltz_model_0
x00638-1,boltz_model_0
x00644-1,boltz_model_1
x00652-1,boltz_model_1
x00664-1,boltz_model_0
x00674-1,boltz_model_1
x00714-1,boltz_model_0
x00720-1,boltz_model_2
x00753-1,boltz_model_3
x00757-1,boltz_model_1
x00773-1,boltz_model_4
x00794-1,boltz_model_1
x00819-1,boltz_model_1
x00913-1,boltz_model_0
x00979-1,boltz_model_2
x00981-1,boltz_model_4
x00982-1,boltz_model_2
x00990-1,boltz_model_3
x01009-1,boltz_model_4
x01016-1,boltz_model_0
x01039-1,boltz_model_3
x01070-1,boltz_model_2
x01105-1,boltz_model_4
x01108-1,boltz_model_0
x01111-1,boltz_model_4
x01126-1,boltz_model_0
x01130-1,boltz_model_2
x01131-1,boltz_model_3
x01217-1,boltz_model_2
x01233-1,boltz_model_2
x01234-1,boltz_model_0
x01249-1,boltz_model_2
x01260-1,boltz_model_1
x01287-1,boltz_model_0
x01295-1,boltz_model_3
x01306-1,boltz_model_2
x01325-1,boltz_model_0
x01334-1,boltz_model_4
x01358-1,boltz_model_0
x01378-1,boltz_model_2
x01382-1,boltz_model_2
x01401-1,boltz_model_0
x01411-1,boltz_model_1
x01415-1,boltz_model_3
x01438-1,boltz_model_2
x01464-1,boltz_model_2
x01502-1,boltz_model_1
x01511-1,boltz_model_3
x02691-1,boltz_model_2
x02696-1,boltz_model_1
x02698-1,boltz_model_2
x02700-1,boltz_model_0
x02704-1,boltz_model_3
x02708-1,boltz_model_2
x02715-1,boltz_model_4
x02736-1,boltz_model_3
x02742-1,boltz_model_4
x02745-1,boltz_model_4
x02746-1,boltz_model_0
x02758-1,boltz_model_1
x02776-1,boltz_model_2
x02777-1,boltz_model_0
x02782-1,boltz_model_4
x02790-1,boltz_model_3
x02792-1,boltz_model_0
x02793-1,boltz_model_0
x02797-1,boltz_model_1
x02800-1,boltz_model_3
x02806-1,boltz_model_2
x02813-1,boltz_model_4
x02819-1,boltz_model_4
x02828-1,boltz_model_2
x02843-1,boltz_model_1
x02848-1,boltz_model_3
x02858-1,boltz_model_4
x02859-1,boltz_model_2
x02861-1,boltz_model_3
x02865-1,boltz_model_0
x02872-1,boltz_model_4
x02877-1,boltz_model_4
x02878-1,boltz_model_0
x02882-1,boltz_model_0
x02904-1,boltz_model_4
x02906-1,boltz_model_1
x02909-1,boltz_model_2
x02913-1,boltz_model_4
x02914-1,boltz_model_0
x02920-1,boltz_model_3
x02962-1,boltz_model_1
x02989-1,boltz_model_3
x03004-1,boltz_model_4
x03006-1,boltz_model_1
x03015-1,boltz_model_3
x03026-1,boltz_model_2
x03030-1,boltz_model_2
x03033-1,boltz_model_2
x03037-1,boltz_model_4
x03039-1,boltz_model_1
x03051-1,boltz_model_2
x03055-1,boltz_model_1
x03059-1,boltz_model_4
x03063-1,boltz_model_4
x03065-1,boltz_model_1
x03080-1,boltz_model_4
x03094-1,boltz_model_0
x03096-1,boltz_model_0
x03117-1,boltz_model_1
x03123-1,boltz_model_1
x03145-1,boltz_model_4
x03147-1,boltz_model_4
x03152-1,boltz_model_1
x03161-1,boltz_model_4
x03172-1,boltz_model_3
x03179-1,boltz_model_2
x03191-1,boltz_model_0
x03194-1,boltz_model_0
x03204-1,boltz_model_3
x03219-1,boltz_model_1
x03220-1,boltz_model_0
x03223-1,boltz_model_1
x03234-1,boltz_model_2
x03244-1,boltz_model_3
x03250-1,boltz_model_2
x03252-1,boltz_model_4
x03259-1,boltz_model_4
x03260-1,boltz_model_1
x03264-1,boltz_model_4
x03271-1,boltz_model_0
x03273-1,boltz_model_2
x03279-1,boltz_model_2
x03282-1,boltz_model_3
x03297-1,boltz_model_0
x03306-1,boltz_model_2
x03319-1,boltz_model_2
x03325-1,boltz_model_2
x03331-1,boltz_model_1
x03363-1,boltz_model_1
x03365-1,boltz_model_4
x03371-1,boltz_model_0
x03385-1,boltz_model_2
x03387-1,boltz_model_3
x03400-1,boltz_model_2
x03401-1,boltz_model_2
x03405-1,boltz_model_3
x03406-1,boltz_model_1
x03420-1,boltz_model_0
x03421-1,boltz_model_1
x03425-1,boltz_model_0
x03432-1,boltz_model_2
x03454-1,boltz_model_3
x03462-1,boltz_model_1
x03463-1,boltz_model_2
x03464-1,boltz_model_3
x03468-1,boltz_model_0
