compound,ftmap_ca_rmsd,hotspot_Z_xyz,hotspot_Y_xyz,hotspot_X_xyz,hotspot_W_xyz,source,ligand_centroid,dist_to_Z,dist_to_nearest_top4,nearest_top4_chain,n_top4_within_5A,error
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",boltz_model_0,"3.89,1.91,3.65",2.998074959867985,2.998074959867985,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",boltz_model_1,"4.13,1.55,3.80",3.1474137187832505,3.1474137187832505,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",boltz_model_2,"4.98,1.32,3.40",2.7143637187998135,2.7143637187998135,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",boltz_model_3,"5.12,2.02,3.87",2.505068065154947,2.505068065154947,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",boltz_model_4,"4.81,1.58,3.46",2.6152894585455813,2.6152894585455813,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",gnina_refined,"4.28,1.78,3.85",2.963664546972945,2.963664546972945,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",template_transferred,"5.26,3.23,3.80",1.9525031659739407,1.9525031659739407,Z,1.0,
x00011-1,1.2300281881520467,"5.81,3.46,1.94","3.56,-2.69,7.57","12.51,-3.74,8.29","-6.04,-7.34,1.39",posit,"6.86,-0.81,3.79",4.771929526097635,4.771929526097636,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",boltz_model_0,"-3.49,-0.15,-2.95",2.4033718410958826,2.4033718410958826,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",boltz_model_1,"-3.67,-0.18,-3.13",2.3696167252344162,2.3696167252344167,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",boltz_model_2,"-3.29,-0.13,-2.92",2.484274243102253,2.484274243102253,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",boltz_model_3,"-3.50,-0.12,-2.93",2.4209906041492344,2.4209906041492344,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",boltz_model_4,"-3.06,-0.48,-3.07",2.3097525711391267,2.3097525711391267,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",gnina_refined,"-3.60,-0.18,-2.97",2.3426838303997233,2.3426838303997233,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",template_transferred,"-1.36,-1.54,-4.99",3.882236477516733,3.882236477516733,Z,1.0,
x00035-1,1.1992911090431855,"-4.22,-2.39,-2.50","-1.77,4.30,-7.38","-6.68,0.07,-13.67","9.89,5.17,-3.48",posit,"3.45,4.03,-5.06",10.325833567663803,5.721993017499649,Y,0.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",boltz_model_0,"1.44,6.44,-0.61",3.188424384547415,3.188424384547415,Z,1.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",boltz_model_1,"1.46,6.42,-0.57",3.2314030850726505,3.23140308507265,Z,1.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",boltz_model_2,"1.79,6.30,-0.72",3.128067468586604,3.128067468586604,Z,1.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",boltz_model_3,"2.78,6.04,-2.01",2.373948589607249,2.373948589607249,Z,1.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",boltz_model_4,"3.47,6.99,-3.73",2.2028658663536254,2.2028658663536254,Z,1.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",gnina_refined,"1.49,6.69,-0.65",3.149755928022131,3.149755928022131,Z,1.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",template_transferred,"6.25,4.84,-2.80",5.339468503664509,5.339468503664509,Z,0.0,
x00046-1,0.6745746331784247,"1.31,6.58,-3.79","5.05,7.54,3.93","9.64,14.04,-0.34","6.07,-4.38,6.89",posit,"7.47,6.62,5.09",10.811001040191153,2.8334016128143684,Y,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",boltz_model_0,"0.02,-5.48,4.28",2.1932821955214172,2.1932821955214177,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",boltz_model_1,"0.95,-5.47,4.61",3.0034710861657015,3.0034710861657015,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",boltz_model_2,"0.21,-5.54,4.36",2.3146099041776416,2.3146099041776416,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",boltz_model_3,"0.03,-5.58,4.35",2.150324872223077,2.150324872223077,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",boltz_model_4,"0.25,-5.83,4.41",2.199632094404024,2.199632094404024,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",gnina_refined,"0.09,-5.69,4.17",2.1167869580586687,2.1167869580586687,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",template_transferred,"-1.24,-6.92,4.63",0.680284734578907,0.680284734578907,Z,1.0,
x00052-1,0.6883418999246768,"-1.64,-6.90,4.08","3.87,-1.13,7.40","2.73,-6.03,14.90","-0.61,8.96,1.92",posit,"1.88,-3.44,13.13",10.309508362138768,3.2511179080908637,X,1.0,
