compound,src_model,vina_affinity,rmsd_to_input,cnn_score,cnn_affinity,cnn_variance,refined_pdb
x00011-1,0,-7.76998,1.12387,0.68642,5.34089,0.09277,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00011-1/x00011-1_refined.pdb
x00035-1,0,-6.53064,0.39355,0.85863,5.37412,0.56483,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00035-1/x00035-1_refined.pdb
x00046-1,0,-5.94767,0.58545,0.52646,5.3306,0.36385,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00046-1/x00046-1_refined.pdb
x00052-1,0,-5.99468,0.32225,0.52417,4.72178,0.00776,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00052-1/x00052-1_refined.pdb
x00086-1,0,-5.86231,0.52013,0.66057,5.07727,0.31901,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00086-1/x00086-1_refined.pdb
x00088-1,0,-5.93729,0.50122,0.82432,4.59797,0.04656,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00088-1/x00088-1_refined.pdb
x00113-1,0,-6.90985,0.49684,0.61157,5.6908,0.05518,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00113-1/x00113-1_refined.pdb
x00162-1,0,-8.9955,0.66175,0.95474,6.80897,0.16777,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00162-1/x00162-1_refined.pdb
x00186-1,0,-6.19015,0.22147,0.34581,6.03083,0.14744,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00186-1/x00186-1_refined.pdb
x00229-1,0,-7.54103,0.53747,0.8895,5.63541,0.44541,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00229-1/x00229-1_refined.pdb
x00242-1,0,-6.1019,0.32893,0.68737,5.16777,0.02276,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00242-1/x00242-1_refined.pdb
x00252-1,0,-5.86744,0.51492,0.68585,4.99893,0.17114,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00252-1/x00252-1_refined.pdb
x00261-1,0,-6.34851,0.75575,0.57667,5.34381,0.04883,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00261-1/x00261-1_refined.pdb
x00337-1,0,-4.35661,1.35017,0.335,4.79409,0.20463,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00337-1/x00337-1_refined.pdb
x00348-1,0,-7.01372,0.49387,0.9103,5.802,0.17714,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00348-1/x00348-1_refined.pdb
x00358-1,0,-7.31181,0.47073,0.87268,5.95243,0.43681,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00358-1/x00358-1_refined.pdb
x00370-1,0,-7.39054,0.79105,0.74433,5.813,0.07588,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00370-1/x00370-1_refined.pdb
x00406-1,0,-6.35341,0.9297,0.82565,6.04972,0.01036,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00406-1/x00406-1_refined.pdb
x00409-1,0,-6.01858,0.83888,0.84613,6.24906,0.27739,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00409-1/x00409-1_refined.pdb
x00433-1,0,-6.83113,0.51702,0.95883,6.13598,3.15938,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00433-1/x00433-1_refined.pdb
x00462-1,0,-6.99218,1.04308,0.62142,5.37053,0.05187,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00462-1/x00462-1_refined.pdb
x00463-1,0,-7.53459,0.73345,0.76643,5.94278,0.01709,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00463-1/x00463-1_refined.pdb
x00494-1,0,-5.92838,1.09722,0.89477,6.67665,1.29638,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00494-1/x00494-1_refined.pdb
x00509-1,0,-7.40047,0.5615,0.87071,6.01625,0.0945,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00509-1/x00509-1_refined.pdb
x00512-1,0,-6.5513,0.40655,0.68516,5.28518,0.01417,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00512-1/x00512-1_refined.pdb
x00527-1,0,-4.84797,0.43017,0.91749,4.55038,0.20763,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00527-1/x00527-1_refined.pdb
x00543-1,0,-5.51792,1.47518,0.5289,3.74896,0.39101,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00543-1/x00543-1_refined.pdb
x00555-1,0,-6.93423,0.45014,0.71215,6.01286,0.12396,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00555-1/x00555-1_refined.pdb
x00558-1,0,-6.74295,0.62899,0.37706,4.7168,0.013,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00558-1/x00558-1_refined.pdb
x00612-1,0,-6.93987,0.4119,0.59043,6.22633,0.24383,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00612-1/x00612-1_refined.pdb
x00625-1,0,-8.05674,0.54028,0.33539,6.06833,0.26007,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00625-1/x00625-1_refined.pdb
x00638-1,0,-5.9464,0.31773,0.83208,6.41013,0.42345,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00638-1/x00638-1_refined.pdb
x00644-1,0,-6.83668,0.93226,0.94149,6.17192,0.2013,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00644-1/x00644-1_refined.pdb
x00652-1,0,-6.92935,0.39844,0.92156,6.41841,0.57353,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00652-1/x00652-1_refined.pdb
x00664-1,0,-6.16685,2.03325,0.41767,4.75278,0.22085,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00664-1/x00664-1_refined.pdb
x00674-1,0,-7.19803,0.49917,0.38588,5.83336,0.07499,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00674-1/x00674-1_refined.pdb
x00714-1,0,-9.13875,0.36701,0.70213,5.40722,0.06014,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00714-1/x00714-1_refined.pdb
x00720-1,0,-6.86583,0.46444,0.67606,5.31202,0.01354,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00720-1/x00720-1_refined.pdb
x00753-1,0,-8.94804,0.4995,0.92309,6.63978,0.31094,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00753-1/x00753-1_refined.pdb
x00757-1,0,-7.65726,0.26396,0.89598,5.99414,0.25878,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00757-1/x00757-1_refined.pdb
x00773-1,0,-7.0166,0.56898,0.85176,4.90668,0.22265,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00773-1/x00773-1_refined.pdb
x00794-1,0,-6.61069,0.6097,0.68101,5.82083,0.04753,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00794-1/x00794-1_refined.pdb
x00819-1,0,-7.48049,1.11089,0.41463,5.866,0.12495,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00819-1/x00819-1_refined.pdb
x00913-1,0,-7.01057,0.54325,0.93341,5.55479,0.06977,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00913-1/x00913-1_refined.pdb
x00979-1,0,-6.5479,0.75232,0.75444,5.6744,0.3497,/home/nagaet/pxr-iduction-challenge/structures/boltz2_track2/redock_gnina/x00979-1/x00979-1_refined.pdb
