compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,rocs_inplace_shape,rocs_inplace_color,rocs_inplace_combo,rocs_best_shape,rocs_best_color,rocs_best_combo,skipped,error
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_0,3.7125657724547168,0.1480296552181244,0.01773270033299923,0.16576235555112362,0.45267489552497864,0.19964158535003662,0.6523164808750153,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_1,3.6232709263296106,0.18128375709056854,0.03833460062742233,0.21961835771799088,0.451034814119339,0.19958193600177765,0.6506167501211166,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_2,4.425076457493427,0.19709280133247375,4.206016819807701e-05,0.19713486150067183,0.39605188369750977,0.19927041232585907,0.5953222960233688,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_3,4.01876016771222,0.1553262323141098,0.007767663337290287,0.1630938956514001,0.4512545168399811,0.2001778781414032,0.6514323949813843,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_4,3.7602071164537674,0.12569479644298553,0.0012781386030837893,0.12697293504606932,0.39610621333122253,0.1999286711215973,0.5960348844528198,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,gnina_refined,3.401320022913799,0.1925077885389328,0.04840679466724396,0.24091458320617676,0.4261212944984436,0.19797983765602112,0.6241011321544647,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,template_transferred,0.0980267422151931,0.30812010169029236,0.33316770195961,0.6412878036499023,0.40436336398124695,0.19901324808597565,0.6033766120672226,,
x00035-1,10,,,,,,,,,,,,,mcs_below_threshold,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_0,6.592102172197286,0.07293076813220978,0.0004993159673176706,0.07343008409952745,0.4355631470680237,0.3650037944316864,0.8005669414997101,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_1,6.573594563092526,0.06960669904947281,0.00033096439437940717,0.06993766344385222,0.43556416034698486,0.36494314670562744,0.8005073070526123,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_2,6.312921355558693,0.07737401127815247,0.0006055179401300848,0.07797952921828255,0.43566617369651794,0.36503711342811584,0.8007032871246338,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_3,4.919472538411943,0.17811442911624908,0.001156561658717692,0.17927099077496678,0.4355902671813965,0.36485809087753296,0.8004483580589294,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_4,4.713990725008896,0.22461114823818207,0.008097792975604534,0.2327089412137866,0.43562790751457214,0.3650130331516266,0.8006409406661987,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,gnina_refined,6.622519502227934,0.07059743255376816,0.0005119781126268208,0.07110941066639498,0.43557700514793396,0.3650042414665222,0.8005812466144562,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,template_transferred,0.03539160070456346,0.43485772609710693,0.36461544036865234,0.7994731664657593,0.43524375557899475,0.364645391702652,0.7998891472816467,,
