compound,template_pdb,template_ccd,template_chain,mcs_atoms,posit_probability,posit_method,ca_rmsd,out_pdb,error
x00011-1,2O9I,444,A,10.0,0.019999999552965164,HYBRID,0.7592651082320865,structures/boltz2_track2/redock_posit/x00011-1/x00011-1_posit.pdb,
x00035-1,1NRL,SRL,A,6.0,0.019999999552965164,FRED,0.5530412201968223,structures/boltz2_track2/redock_posit/x00035-1/x00035-1_posit.pdb,
x00046-1,6TFI,N6H,B,10.0,0.009999999776482582,FRED,0.6683697175050954,structures/boltz2_track2/redock_posit/x00046-1/x00046-1_posit.pdb,
x00052-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.6998082912204415,structures/boltz2_track2/redock_posit/x00052-1/x00052-1_posit.pdb,
x00086-1,6TFI,N6H,B,9.0,0.009999999776482582,FRED,0.6419304336472325,structures/boltz2_track2/redock_posit/x00086-1/x00086-1_posit.pdb,
x00088-1,1M13,HYF,A,8.0,0.009999999776482582,FRED,0.7074767057552711,structures/boltz2_track2/redock_posit/x00088-1/x00088-1_posit.pdb,
x00113-1,5X0R,4WH,A,8.0,0.019999999552965164,FRED,0.6122953462768564,structures/boltz2_track2/redock_posit/x00113-1/x00113-1_posit.pdb,
x00162-1,9BEQ,AP1,A,10.0,0.009999999776482582,FRED,1.0428073981325923,structures/boltz2_track2/redock_posit/x00162-1/x00162-1_posit.pdb,
x00186-1,8SVO,WSO,A,11.0,0.009999999776482582,FRED,0.67835587589632,structures/boltz2_track2/redock_posit/x00186-1/x00186-1_posit.pdb,
x00229-1,8CH8,ULC,A,7.0,0.05000000074505806,FRED,0.3322598659824251,structures/boltz2_track2/redock_posit/x00229-1/x00229-1_posit.pdb,
x00242-1,6HTY,GRH,B,9.0,0.019999999552965164,FRED,0.7747548798261431,structures/boltz2_track2/redock_posit/x00242-1/x00242-1_posit.pdb,
x00252-1,4NY9,2Q4,A,7.0,0.019999999552965164,FRED,0.7584209702960701,structures/boltz2_track2/redock_posit/x00252-1/x00252-1_posit.pdb,
x00261-1,9BEQ,AP1,A,11.0,0.009999999776482582,FRED,1.034678244701449,structures/boltz2_track2/redock_posit/x00261-1/x00261-1_posit.pdb,
x00337-1,6S41,KUB,A,8.0,0.009999999776482582,FRED,0.6461148695430273,structures/boltz2_track2/redock_posit/x00337-1/x00337-1_posit.pdb,
x00348-1,5X0R,4WH,A,8.0,0.17000000178813934,HYBRID,0.6551074325331134,structures/boltz2_track2/redock_posit/x00348-1/x00348-1_posit.pdb,
x00358-1,6S41,KUB,A,8.0,0.009999999776482582,FRED,0.61766272824176,structures/boltz2_track2/redock_posit/x00358-1/x00358-1_posit.pdb,
x00370-1,6HTY,GRH,B,10.0,0.019999999552965164,FRED,0.737347697473976,structures/boltz2_track2/redock_posit/x00370-1/x00370-1_posit.pdb,
x00406-1,8F5Y,JQ1,A,6.0,0.14000000059604645,HYBRID,0.7678595772907103,structures/boltz2_track2/redock_posit/x00406-1/x00406-1_posit.pdb,
