compound,qha,template_pdb,template_ccd,mcs_atoms,mcs_coverage,source,template_rmsd,skipped,error
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_0,3.7125657724547168,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_1,3.6232709263296106,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_2,4.425076457493427,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_3,4.01876016771222,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,boltz_model_4,3.7602071164537674,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,gnina_refined,3.401320022913799,,
x00011-1,13,2O9I,444,10.0,0.7692307692307693,template_transferred,0.0980267422151931,,
x00035-1,10,,,,,,,mcs_below_threshold,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_0,6.592102172197286,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_1,6.573594563092526,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_2,6.312921355558693,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_3,4.919472538411943,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,boltz_model_4,4.713990725008896,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,gnina_refined,6.622519502227934,,
x00046-1,11,6TFI,N6H,10.0,0.9090909090909091,template_transferred,0.03539160070456346,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_0,3.4188136549690085,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_1,3.6484073701904984,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_2,3.482547373264487,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_3,3.409988061006749,,
x00052-1,10,6TFI,N6H,9.0,0.9,boltz_model_4,3.5221638730735516,,
x00052-1,10,6TFI,N6H,9.0,0.9,gnina_refined,3.4607519834726497,,
x00052-1,10,6TFI,N6H,9.0,0.9,template_transferred,0.06883863478103351,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_0,6.760303210142288,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_1,6.527074879717028,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_2,6.654694614810474,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_3,6.3494789172635855,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,boltz_model_4,6.663703632245366,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,gnina_refined,6.748775319413221,,
x00086-1,11,6TFI,N6H,9.0,0.8181818181818182,template_transferred,0.029129875098099934,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_0,6.788387408494383,,
x00088-1,9,1M13,HYF,8.0,0.8888888888888888,boltz_model_1,6.697211421244108,,
