comp_id,name,smiles,formula
07F,5-benzyl-2-(3-fluoro-2-hydroxyphenyl)-6-methyl-3-(2-phenylethyl)pyrimidin-4(3H)-one,Cc1nc(-c2cccc(F)c2O)n(CCc2ccccc2)c(=O)c1Cc1ccccc1,C26 H23 F N2 O2
27H,ferutinine,CC1=CCC2(C)CCC(O)(C(C)C)C2C(OC(=O)c2ccc(O)cc2)C1,C22 H30 O4
27J,alpha-zearalanol,CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1,C18 H26 O5
2Q4,"N-{(2R)-1-[(4S)-4-(4-chlorophenyl)-4-hydroxy-3,3-dimethylpiperidin-1-yl]-3-methyl-1-oxobutan-2-yl}-3-hydroxy-3-methylbutanamide",CC(C)C(NC(=O)CC(C)(C)O)C(=O)N1CCC(O)(c2ccc(Cl)cc2)C(C)(C)C1,C23 H35 Cl N2 O4
3WF,Ethinyl estradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,C20 H24 O2
3WG,Trans-nonachlor,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,C10 H5 Cl9
40U,"N-{(2R)-1-[(4S)-4-(4-chlorophenyl)-4-hydroxy-3,3-dimethylpiperidin-1-yl]-3-methyl-1-oxobutan-2-yl}-2-cyclopropylacetamide",CC(C)C(NC(=O)CC1CC1)C(=O)N1CCC(O)(c2ccc(Cl)cc2)C(C)(C)C1,C23 H33 Cl N2 O3
444,"N-(2,2,2-TRIFLUOROETHYL)-N-{4-[2,2,2-TRIFLUORO-1-HYDROXY-1-(TRIFLUOROMETHYL)ETHYL]PHENYL}BENZENESULFONAMIDE",O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C17 H12 F9 N O3 S
4WH,"4-[(4-tert-butylphenyl)sulfonyl]-1-(2,4-dimethoxy-5-methylphenyl)-5-methyl-1H-1,2,3-triazole",COc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1C,C22 H27 N3 O4 S
5YU,"N-{3-[5-(2-aminopyrimidin-4-yl)-2-tert-butyl-1,3-thiazol-4-yl]-2-fluorophenyl}thiophene-3-sulfonamide",CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3ccsc3)c2F)c(-c2ccnc(N)n2)s1,C21 H20 F N5 O2 S3
