inchikey,smiles,mol_chembl_id,chembl_pxr_pchembl,n_chembl_pxr_rows,assays,overlaps_challenge_exact
ACHYQRJTXWSXNR-UHFFFAOYSA-N,COc1cc(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)c(OC)cc1Br,CHEMBL4856961,6.22,1,CHEMBL4834541,False
ADKOPWFCGKLXMN-UHFFFAOYSA-N,CN1CCN(S(=O)(=O)c2ccc(F)cc2)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc21,CHEMBL4217418,7.75,1,CHEMBL4182854,False
AEIAAWBDOUMTLX-HYUGZUBYSA-N,Cc1cccc(F)c1COC(c1ccc([C@]2(S(=O)(=O)c3ccc(F)cc3)CCN(C(=O)[C@H]3CC[C@H](C(=O)O)CC3)C2)cc1)(C(F)(F)F)C(F)(F)F,CHEMBL3949984,5.32,1,CHEMBL4701268,False
AEMZJBZKICOPPC-RNMMDBENSA-N,CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@](O)(C(F)(F)F)C3)c2)cc1,CHEMBL5182534,4.3,1,CHEMBL5148492,False
AHLBNYSZXLDEJQ-FWEHEUNISA-N,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,CHEMBL175247,4.55,1,CHEMBL3531532,True
ALDJVABCVUVJGI-SRJUEMFDSA-N,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.Cl,CHEMBL1200902,5.025,2,"CHEMBL3531531,CHEMBL3531532",False
AOCAWQPFJXXOHX-UHFFFAOYSA-N,CC(C)(CCO)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,CHEMBL4453347,5.89,1,CHEMBL4329690,False
ARAGAGXUWLVCPT-UHFFFAOYSA-N,O=C(C1CCS(=O)(=O)CC1)N(CC12CCC(c3nc(C4CC4)no3)(CC1)CC2)c1cccc(-c2nc(C3CC3)no2)c1,CHEMBL5204648,5.4,1,CHEMBL5148492,False
ASLADTXOLVSOER-UHFFFAOYSA-N,COc1cc(OC)c(-n2nnc(S(=O)(=O)c3ccc(C(C)(C)C)cc3)c2C)cc1Cl,CHEMBL4860882,6.6,1,CHEMBL4834541,False
AVTXZSGXHMLEBX-NDEPHWFRSA-N,O=C(N1CCOCC1)N1CC[C@](c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,CHEMBL3948821,5.9,1,CHEMBL4701268,False
AWOZLZVEQAYRHZ-UHFFFAOYSA-N,O=C(C1CCCC1)N1CCC(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,CHEMBL3983495,6.1,1,CHEMBL4339771,False
AZVFIZVKGSPGPK-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1OC(F)F,CHEMBL1891684,5.6,2,"CHEMBL3531531,CHEMBL3531532",False
BAINIUMDFURPJM-UHFFFAOYSA-N,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,CHEMBL13828,5.46,3,"CHEMBL3531530,CHEMBL3531531,CHEMBL3531532",False
BANKSZZTXXTYRE-UHFFFAOYSA-N,O=S(=O)(c1ccc(F)cc1)C1(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CCCC1,CHEMBL4591380,8.0,1,CHEMBL4339771,False
BDHJMTYEOPCPKG-UHFFFAOYSA-N,COc1ccc(OC)c(-n2nnc(S(=O)(=O)c3ccc(N)cc3)c2C)c1,CHEMBL4869921,5.16,1,CHEMBL4834541,False
BFDADFMMNADXMI-UHFFFAOYSA-N,Cc1nc(-c2cccc(F)c2O)n(CCc2ccccc2)c(=O)c1Cc1ccccc1,CHEMBL4866041,6.0,1,CHEMBL4839744,False
BFSXCXZPOKQITB-UHFFFAOYSA-N,Clc1ccc(C2(c3nnc4c(Oc5ccc6ccccc6c5)cccn34)CC2)cc1,CHEMBL3318971,6.1,1,CHEMBL3364417,False
BGNXCDMCOKJUMV-UHFFFAOYSA-N,CC(C)(C)c1cc(O)ccc1O,CHEMBL242080,5.300000000000001,2,"CHEMBL3531531,CHEMBL3531532",False
BKAQDKUFAULKQY-UHFFFAOYSA-N,Cc1nc(C)c(CNc2nc(C3CC3)nc(Cl)c2C)s1,CHEMBL3622879,4.72,1,CHEMBL3750579,False
