train_idx,molecule_name,pec50,chembl_pxr_pchembl,raw_current_oof,calibrated_best_oof,n_chembl_pxr_rows,assays,smiles_challenge,smiles_chembl
1586,OADMET-0003801,3.96,4.5,4.868418498409605,4.878761572544028,2,"CHEMBL3531531,CHEMBL3531532",Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1,Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1
1639,OADMET-0003744,4.46,4.55,4.5451148764601035,4.537574913808857,1,CHEMBL3531532,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O
1711,OADMET-0003671,3.25,4.45,2.729511139346558,2.6215438810677036,1,CHEMBL3531531,O=C(CCCCCCC(=O)Nc1ccccc1)NO,O=C(CCCCCCC(=O)Nc1ccccc1)NO
1749,OADMET-0003630,5.66,4.95,5.529777255567533,5.57240011362985,2,"CHEMBL3531531,CHEMBL3531532",COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
1753,OADMET-0003626,5.88,5.5649999999999995,5.4155202914210205,5.453181518644995,2,"CHEMBL3531531,CHEMBL3531532",CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
1769,OADMET-0003610,1.82,4.4,2.7103860298406732,2.6013608958882917,1,CHEMBL3531531,Oc1c(Cl)cc(Cl)c2cccnc12,Oc1c(Cl)cc(Cl)c2cccnc12
1771,OADMET-0003608,5.55,5.4,5.111477312763919,5.148779762362342,1,CHEMBL3531531,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
1790,OADMET-0003588,5.18,4.85,5.1739030817180005,5.201072034727515,3,"CHEMBL3531531,CHEMBL3531532,CHEMBL4014618",COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
1810,OADMET-0003567,5.24,4.95,5.526843422593423,5.582793792871392,2,"CHEMBL3531531,CHEMBL3531532",CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
1825,OADMET-0003550,5.25,4.875,5.175761190201472,5.203010831932427,2,"CHEMBL3531531,CHEMBL3531532",COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO
2813,OADMET-0002338,6.12,5.48,4.594237644811279,4.592016615674547,4,"CHEMBL1914234,CHEMBL3531531,CHEMBL3531532,CHEMBL4834541",CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
3828,OADMET-0001239,7.54855421686747,8.1,5.33377278823297,5.3678841142688185,1,CHEMBL4182854,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1
