molecule_name,smiles,inchikey,pec50,external_nn_tanimoto,external_nn_pchembl,external_top5_pchembl,external_has_exact_match,external_covered_t03,external_covered_t04
OADMET-0006089,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,GMCYZZSSBZOBLL-UHFFFAOYSA-N,5.27,0.2,4.61,5.380326895033292,False,False,False
OADMET-0006088,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,YNKAIRIFDZYSFG-UHFFFAOYSA-N,5.08,0.25,4.5,4.842080285217114,False,False,False
OADMET-0006087,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1,RKJGFVVXGTWYPG-UHFFFAOYSA-N,5.12,0.28947368,6.1,5.686779226449507,False,False,False
OADMET-0006086,CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12,QAZOAAIWQSZDGT-UHFFFAOYSA-N,5.23,0.21505377,5.22,5.510080720480262,False,False,False
OADMET-0006085,CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1,LUTYNSQAQIEGNU-UHFFFAOYSA-N,5.28,0.19480519,7.32,6.007288967370256,False,False,False
OADMET-0006084,COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1,WCUYZMKSLUONRG-UHFFFAOYSA-N,4.5,0.26865673,5.17,6.037202462560667,False,False,False
OADMET-0006083,CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1,SSTBQYZOJAYQSM-UHFFFAOYSA-N,4.66,0.23958333,4.3,5.2576878468385715,False,False,False
OADMET-0006082,Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F,UPZNYFFTMCJQOO-UHFFFAOYSA-N,5.18,0.16666667,4.3,5.223116852017063,False,False,False
OADMET-0006081,CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1,DAIUPMQUGUGABH-UHFFFAOYSA-N,4.31,0.19178082,4.925,5.33035071796529,False,False,False
OADMET-0006080,Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12,NOUCTTOMTKDTHI-UHFFFAOYSA-N,4.24,0.16666667,4.3,4.761869819114848,False,False,False
OADMET-0006079,CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1,RDXGXRITHNUPKD-UHFFFAOYSA-N,5.3,0.1971831,4.5,5.6204773541667326,False,False,False
OADMET-0006078,CCCOc1ccc(S(=O)(=O)Nc2noc(Cc3ccccc3)n2)cc1,MXFGWJOXOOYEER-UHFFFAOYSA-N,4.19,0.24324325,5.47,5.64734795678814,False,False,False
