model,mae,r2,spearman,delta_mae_vs_reference,residual_r_vs_reference
chembl_pxr_lgbm,0.841264518155077,-0.010086043106688924,0.16116448846189108,,
chembl_pxr_ridge,0.8936804284760534,0.01978513595602127,0.1372948464314684,,
reference_ensemble_oof,0.39099597890607296,0.7635374823252878,0.8502118235178715,,
reference_plus_0.01_lgbm,0.3911282650720916,0.7634642230227178,0.8502277496377368,0.00013228616601862475,0.49325891182603254
reference_plus_0.02_lgbm,0.3914074734042926,0.7632361561251628,0.8502365673231645,0.00041149449821964446,0.49325891182603254
reference_plus_0.05_lgbm,0.39305301822016,0.7616231098625887,0.8500977350307852,0.002057039314087017,0.49325891182603254
reference_plus_0.10_lgbm,0.3980808930636699,0.7558385475252687,0.8491473711864906,0.007084914157596933,0.49325891182603254
reference_plus_0.20_lgbm,0.4184290317244201,0.7326588532267654,0.8445006996505471,0.027433052818347126,0.49325891182603254
reference_plus_0.01_ridge,0.3913529059641917,0.7634615219349599,0.8501750681951956,0.0003569270581187389,0.49132370088954697
reference_plus_0.02_ridge,0.3918422101694323,0.7632368430987053,0.8501179097563688,0.0008462312633593649,0.49132370088954697
reference_plus_0.05_ridge,0.3940652166788424,0.7616704959143823,0.8499063121109217,0.003069237772769462,0.49132370088954697
reference_plus_0.10_ridge,0.4003364272476038,0.7560855483553127,0.849355288623625,0.00934044834153086,0.49132370088954697
reference_plus_0.20_ridge,0.42275657791852755,0.7337617697926817,0.8469936943070213,0.03176059901245459,0.49132370088954697
