target_name,target_id,n_external_mols,train_exact,train_nn_ge_0.4,test_exact,test_nn_ge_0.3,test_nn_ge_0.4,test_nn_max,test_nn_median,status,oof_mae,oof_spearman
CAR_NR1I3,CHEMBL5503,189,8.0,17.0,0.0,26.0,0.0,0.395061731338501,0.21311475336551666,ok,0.8290961222273427,0.21552269948362257
PXR_NR1I2,CHEMBL3401,950,44.0,124.0,0.0,110.0,2.0,0.4545454680919647,0.25974026322364807,ok,0.8370294386365809,0.23070515840836991
GR_NR3C1,CHEMBL2034,3130,23.0,67.0,0.0,128.0,24.0,0.5636363625526428,0.2631579041481018,ok,0.839623205042611,0.18128906053434338
PPAR_alpha,CHEMBL239,2817,7.0,140.0,0.0,91.0,4.0,0.4285714328289032,0.25,ok,0.846317678822441,0.1467336563234252
AHR,CHEMBL3201,320,5.0,91.0,0.0,62.0,5.0,0.4423076808452606,0.23333333432674408,ok,0.8471135713796851,0.1915284262036013
AR_NR3C4,CHEMBL1871,2894,16.0,129.0,0.0,113.0,20.0,0.5531914830207825,0.260869562625885,ok,0.84888509672872,0.13547889661965098
FXR_NR1H4,CHEMBL2047,3187,12.0,140.0,0.0,108.0,8.0,0.5081967115402222,0.2584269642829895,ok,0.854082540028519,0.12969256970198048
PPAR_gamma,CHEMBL235,4317,12.0,177.0,0.0,146.0,10.0,0.5,0.2702702581882477,ok,0.8566007322686946,0.12163203051837757
VDR_NR1I1,CHEMBL1977,562,1.0,28.0,0.0,10.0,0.0,0.3478260934352875,0.21052631735801697,ok,0.8737985228493972,0.0878043153473692
ER_alpha,CHEMBL206,4496,20.0,205.0,0.0,138.0,17.0,0.5111111402511597,0.2698412835597992,ok,0.8753112057946926,0.103511703063595
LXR_family,CHEMBL3706564,0,,,,,,,,too_few_external_mols,,
RXR_family,CHEMBL2363070,0,,,,,,,,too_few_external_mols,,
