molecule_name,smiles,pec50,inchikey,chembl_pxr_nn_tanimoto,chembl_pxr_nn_pchembl,chembl_pxr_top5_pchembl,chembl_pxr_has_exact_match,chembl_pxr_covered_t03,chembl_pxr_covered_t04,oof_lgbm,oof_ridge
OADMET-0006089,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,5.27,GMCYZZSSBZOBLL-UHFFFAOYSA-N,0.2,4.61,5.418933677547216,False,False,False,4.733389951050375,4.240790617917114
OADMET-0006088,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,5.08,YNKAIRIFDZYSFG-UHFFFAOYSA-N,0.25,4.5,4.7491591090098595,False,False,False,4.4443102307172255,4.344580775776585
OADMET-0006087,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1,5.12,RKJGFVVXGTWYPG-UHFFFAOYSA-N,0.28947368,6.1,5.686779226449507,False,False,False,5.14576283280226,4.754504426116941
OADMET-0006086,CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12,5.23,QAZOAAIWQSZDGT-UHFFFAOYSA-N,0.21505377,5.22,5.3256450425801045,False,False,False,4.662088007456698,4.313183885389771
OADMET-0006085,CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1,5.28,LUTYNSQAQIEGNU-UHFFFAOYSA-N,0.19480519,7.32,6.007288967370256,False,False,False,4.723566934113938,4.35494091445671
OADMET-0006084,COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1,4.5,WCUYZMKSLUONRG-UHFFFAOYSA-N,0.26865673,5.17,6.067878638051958,False,False,False,4.505747370406846,4.68001630653609
OADMET-0006083,CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1,4.66,SSTBQYZOJAYQSM-UHFFFAOYSA-N,0.23958333,4.3,5.084612645031284,False,False,False,5.208619701482754,4.365979800293238
OADMET-0006082,Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F,5.18,UPZNYFFTMCJQOO-UHFFFAOYSA-N,0.16666667,4.3,5.223116852017063,False,False,False,3.7429357463074426,3.9863591945092915
OADMET-0006081,CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1,4.31,DAIUPMQUGUGABH-UHFFFAOYSA-N,0.19178082,4.925,5.157660428604915,False,False,False,4.4178333164712535,4.2007665107698
OADMET-0006080,Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12,4.24,NOUCTTOMTKDTHI-UHFFFAOYSA-N,0.16666667,4.3,4.761869819114848,False,False,False,3.2238301395964806,4.004442916933332
OADMET-0006079,CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1,5.3,RDXGXRITHNUPKD-UHFFFAOYSA-N,0.1971831,4.5,5.6204773541667326,False,False,False,3.6657889952425675,4.232354497116528
OADMET-0006078,CCCOc1ccc(S(=O)(=O)Nc2noc(Cc3ccccc3)n2)cc1,4.19,MXFGWJOXOOYEER-UHFFFAOYSA-N,0.26506025,4.875,5.404482449196294,False,False,False,4.713791294264377,4.5424527379149255
OADMET-0006077,COCC(NC(=O)c1cc(S(=O)(=O)N(C)C)c[nH]1)c1cccc(Br)c1,5.07,ONQVCGFEDCIUFG-UHFFFAOYSA-N,0.22619048,5.025,5.087164196765919,False,False,False,4.690613524916408,4.342589558384488
OADMET-0006076,Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1,5.12,QNQSCXODGQCIFA-UHFFFAOYSA-N,0.17948718,6.0,5.388139188536607,False,False,False,3.95102369495556,4.096701835108295
OADMET-0006075,O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21,5.03,WTTZSARDULEWAA-KRWDZBQOSA-N,0.28395063,4.95,5.426158671068993,False,False,False,4.524037828567709,4.647781918294385
OADMET-0006074,Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1,5.14,ODFQLEKETFSJFO-UHFFFAOYSA-N,0.24324325,5.16,5.526188434672712,False,False,False,4.676375087727623,4.469825704391502
OADMET-0006073,O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1,5.07,NIMNIJTYRQIDGA-ZACQAIPSSA-N,0.24285714,5.17,6.358711546736702,False,False,False,4.612081453898582,4.596104166459774
OADMET-0006072,Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1,5.44,YWFZSGTWXKPCSQ-UHFFFAOYSA-N,0.21518987,6.0,5.391709548979192,False,False,False,4.768177594823258,4.32800803489583
OADMET-0006071,Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1,3.96,TUZADKUNWGHODO-UHFFFAOYSA-N,0.1875,6.0,5.3587073433081285,False,False,False,4.851234721931136,4.192519345103799
OADMET-0006070,COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl,4.36,UYWKUGDEECDFRW-UHFFFAOYSA-N,0.1884058,4.5,5.168713143058676,False,False,False,4.431756620202438,4.142825185353271
OADMET-0006069,CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O,5.19,ROJMQXCYXDRWHC-UHFFFAOYSA-N,0.2535211,4.5,5.1660554670283,False,False,False,4.651060018179399,4.4479897563209905
OADMET-0006068,O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1,4.76,BGLWONKREUIIKI-KGLIPLIRSA-N,0.16,4.3,4.9933559769851845,False,False,False,4.462324437869986,4.015179378773562
OADMET-0006067,COc1cc(NCCNC(=O)c2cnn3c2NCCC3)cc(OC)c1,4.74,DNZPCMOEYFFPAU-UHFFFAOYSA-N,0.18681319,5.72,5.909095297565349,False,False,False,4.7171710770963955,4.286713803415684
OADMET-0006066,O=C(NCc1c[nH]c(=O)c2ccccc12)N1CC2(CC=CC2)C1c1ccccc1,5.02,UBNROXQETPKCQA-UHFFFAOYSA-N,0.1954023,4.89,4.833803740844556,False,False,False,4.09631554933865,4.04083374268345
OADMET-0006065,Cc1cc(C(=O)N2C[C@@H]3C[C@H]2CN3C(=O)C2CC3(CCC3)C2)c(C)cc1Cl,5.2,WVPKQSARPDHRAD-IRXDYDNUSA-N,0.2,5.13,5.13247886401918,False,False,False,4.747037327646975,4.202937950860744
OADMET-0006064,CC(C)(C)OC(=O)N1CC2(CCCC2)CCC1CN1CCCN(C(N)=O)CC1,4.61,SYVJHMPDJJFDRK-UHFFFAOYSA-N,0.1590909,6.1,5.276946091900413,False,False,False,3.8430662780136178,3.963786910057204
OADMET-0006063,CCc1nn(Cc2cccc3c2CCOC3)c(=O)c(C#N)c1CC,5.44,UUGQEDCVVLEROS-UHFFFAOYSA-N,0.1590909,4.95,5.505157311035213,False,False,False,3.4557793111061073,4.033730887200081
OADMET-0006062,O=C(NS(=O)(=O)C1C[C@@H]2CC[C@H]1C2)c1cnc2ccccc2c1,4.81,ZSQYQIZKFAWRCS-QIAUWCJISA-N,0.2,5.56,5.231855953957553,False,False,False,4.643156569258471,4.164399859369541
OADMET-0006061,Cc1nccn1-c1ncccc1CNC1CCCc2ccc(F)cc21,4.69,KEUZNBFJDOZPOO-UHFFFAOYSA-N,0.19318181,4.95,5.5090645671763125,False,False,False,4.449546655935231,4.188724696533519
OADMET-0006060,CCn1ccnc1[C@H]1OCCC[C@@H]1NC(=O)c1ccc(Br)o1,4.87,YANGTBYQVAXTID-GWCFXTLKSA-N,0.20454545,4.89,5.2264741129358985,False,False,False,4.282946480370558,4.181562169565269
OADMET-0006059,CCC(=O)NC(C(=O)N1CC=C(c2cccs2)CC1)c1ccccc1,4.45,YYFXEECPBGTJKS-UHFFFAOYSA-N,0.22222222,4.95,4.931174204108539,False,False,False,4.7676146119542295,4.2692002848820465
OADMET-0006058,O=C(NC1(c2c(F)cccc2F)CCC1)C1CNCc2ccccc21,5.26,SGSASCZPSNQZLF-UHFFFAOYSA-N,0.24242425,5.6,5.641961557155902,False,False,False,4.829898869441571,4.459614181736974
OADMET-0006057,CCOc1ccc(C(=O)N(C)CCc2ccc(O)c(OC)c2)cc1C,4.48,QMGSBJUKUOWVBD-UHFFFAOYSA-N,0.20987654,6.09,5.708241071949736,False,False,False,4.8428346561775015,4.333099084915549
