variant,scale,full_mae,full_delta_mae,full_spearman,full_delta_spearman,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_abs_gt_005,test_n_abs_gt_010,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_mean_clipped_z,0.05,0.388215113808617,-0.0021117694883233673,0.8507815991306403,0.0002606667795739259,0.005515974324670685,0.031144887525349253,0.04999999999999982,0.04999999999999982,0,0,0.9996081928231735,0.3880881971153042,-0.002109291425006876,0.36494498128325525,-0.0039765345124830875,0.35795863823776136,-0.005815055994104368,0.27816489832653984,0.00048600384683994413,0.32638797675249887,-0.0028893289540591893,0.29927705930690796,-0.009033262423617905,0.3933783046580664,-0.0020155497026221325,-0.003873954623341123,0.12341727457513069,0.2568990386088144,0.21297666220001218,0.3901085858297158
lf_mean_high_q50,0.08,0.38923493166550255,-0.0010919516314378264,0.8503085522924693,-0.00021238005859713915,0.020308725199479096,0.020308725199479096,0.06499386938190224,0.08000000000000007,87,0,0.9994761090063032,0.38910375330837804,-0.001093735231933013,0.36506092958829756,-0.003860586207440786,0.3586162049298245,-0.0051574893020412405,0.28056812222817357,0.002889227748473666,0.32719306628575884,-0.0020842394207992165,0.29931591600414503,-0.008994405726380827,0.3947736379264151,-0.0006202164342734018,-0.002971284890410301,0.06698769662910796,0.21376606621952804,0.1174590581871817,0.307340747604795
lf_mean_tilt_highq50_lowq50,0.08,0.3883473276712031,-0.0019795556257372615,0.8504658050747028,-5.512727636358683e-05,0.00430658330733843,0.03631086709161977,0.06826995861468373,0.08000000000000007,148,0,0.9993377143206591,0.38822072587064704,-0.0019767626696640117,0.3654467604462149,-0.0034747553495234618,0.3571111238622655,-0.006662570369600218,0.28056812222817357,0.002889227748473666,0.3270722683810968,-0.0022050373254612343,0.29979979344187524,-0.00851052828865062,0.3932181292131405,-0.0021757251475480466,-0.003356564788718319,0.14312205652740234,0.24245791075582432,0.24671785434892385,0.3693945628922046
lf_max_clipped_z,0.05,0.38852847753074915,-0.0017984057661912245,0.8502796810527584,-0.0002412512983079873,0.0046615545089876325,0.02907618916309196,0.04999999999999982,0.04999999999999982,0,0,0.99952810700958,0.3884014999597878,-0.0017959885805232667,0.3660574514183013,-0.0028640643774370256,0.35888428750017887,-0.004889406731686863,0.27817329053479994,0.0004943960551000437,0.32722532720648784,-0.0020519785000702173,0.2999440969778118,-0.008366224752714035,0.39367603691107966,-0.0017178174496088605,-0.0032325159594028263,0.10969459026880382,0.2409219110284529,0.18610117419232075,0.3599714775036936
lf_mean_highq50_x_pred_highq60,0.08,0.3892910637422167,-0.0010358195547236493,0.8503015838011596,-0.00021934854990679487,0.016824242399388817,0.016824242399388817,0.05828973303733829,0.08000000000000007,73,0,0.9997248994527501,0.3891608818553721,-0.0010366066849389344,0.364433472315077,-0.004488043480661341,0.35889209377673537,-0.004881600455130364,0.27706590506892415,-0.000612989410775755,0.32575304411002043,-0.0035242615965376256,0.3006391799748008,-0.007671141755725086,0.39393807825648536,-0.0014557761042031658,-0.0037723021338388896,0.050381239008862676,0.17455300129846937,0.09530731338738699,0.26723689984989635
lf_mean_high_q60,0.08,0.3894717443754952,-0.0008551389214451754,0.8501665406275154,-0.00035439172355100634,0.01697450388357229,0.01697450388357229,0.06224725096071815,0.08000000000000007,72,0,0.9994353105729631,0.38934027081735123,-0.0008572177229598243,0.36600003094610534,-0.002921484849633005,0.35930106852273586,-0.004472625709129874,0.28033230954212174,0.0026534150624218378,0.32787790274100276,-0.0013994029655552964,0.30107254360959795,-0.007237778120927907,0.39482028011351,-0.000573574247178521,-0.002325241805000461,0.05834508319461736,0.19075271306014893,0.10130080890619801,0.272569611805563
lf_max_high_q50,0.08,0.3898837675799789,-0.0004431157169614841,0.8496156699361294,-0.000905262414937047,0.01683300941448491,0.01683300941448491,0.052126041071197095,0.08000000000000007,58,0,0.9994202889275721,0.3897529827600534,-0.00044450578025767573,0.3670869284378165,-0.0018345873579218575,0.3602698011600674,-0.003503893071798325,0.2818047935603391,0.004125899080639206,0.32921298594254833,-6.431976400972372e-05,0.30132962143328307,-0.006980700297242792,0.3955992120704735,0.00020535770978497014,-0.0013420406167580872,0.05051034934455319,0.1844574769898525,0.08156585652804274,0.24401182704852142
lf_mean_high_q50,0.05,0.3893392987823964,-0.0009875845145439488,0.8504650377128381,-5.5894638228304316e-05,0.012692953249674427,0.012692953249674427,0.04062116836368883,0.04999999999999982,0,0,0.999760364757549,0.3892086936622491,-0.0009887948780619715,0.36609550839051735,-0.002826007405220987,0.36025687544852175,-0.003516818783343978,0.277586407348256,-9.248713144388576e-05,0.3274995206158525,-0.0017777850907055304,0.3017231626454633,-0.006587159085062577,0.39464698534631126,-0.0007468690143772605,-0.00259118775169237,0.04186731039319251,0.21376606621952848,0.07341191136698853,0.3073407476047953
lf_max_tilt_highq50_lowq50,0.08,0.38901878658672345,-0.0013080967102169216,0.8496376240956616,-0.0008833082554048355,0.000996533767762782,0.032669485061207044,0.06576343865580174,0.08000000000000007,118,0,0.999245006769518,0.38889224540215306,-0.0013052431381579965,0.36752658768398205,-0.0013949281117562884,0.35882491474414974,-0.004948779487715993,0.2818047935603391,0.004125899080639206,0.3290858056744134,-0.0001915000321446314,0.3018554415654299,-0.006454880165095933,0.3941537545770782,-0.0012400997836103378,-0.001684048083280663,0.12167308781246443,0.22151558537636032,0.20311388056234414,0.3290115452672346
lf_mean_tilt_highq50_lowq50,0.05,0.3885967819688278,-0.0017301013281125766,0.8505824373135221,6.150496245571624e-05,0.0026916145670865177,0.022694291932262335,0.04266872413417744,0.04999999999999982,0,0,0.9996961894441033,0.3884691567288373,-0.001728331811473749,0.36633665267671567,-0.0025848631190226734,0.35921209426825323,-0.004561599963612495,0.277586407348256,-9.248713144388576e-05,0.3274240219254387,-0.0018532837811193748,0.3020255860440447,-0.0062847356864811355,0.3935517217684012,-0.0018421325922873266,-0.002869850378994482,0.08945128532962644,0.24245791075582449,0.15419865896807733,0.36939456289220496
