variant,scale,full_mae,full_delta_mae,full_spearman,full_delta_spearman,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_abs_gt_005,test_n_abs_gt_010,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_mean_clipped_z,0.16,0.3924635986124764,0.002136715315536053,0.8502111318352209,-0.00030980051584550417,0.017651117838946184,0.0996636400811178,0.16000000000000014,0.16000000000000014,393,264,0.9973289025701414,0.39234529058370515,0.002147802043394098,0.36417897011466605,-0.004742545681072297,0.3534304185173219,-0.010343275714543854,0.3052308299634625,0.027551935483762613,0.3290028988786403,-0.0002744068279177392,0.2924484931563764,-0.015861828574149472,0.39718353556312047,0.0017896812024319475,-0.0003134066852481336,0.39493527864041883,0.25689903860881413,0.6815253190400401,0.3901085858297155
lf_mean_clipped_z,0.12,0.38947319753411835,-0.0008536857628220207,0.850554664733063,3.373238199655404e-05,0.013238338379209654,0.07474773006083835,0.1200000000000001,0.1200000000000001,350,197,0.9983680626663939,0.38935128196776086,-0.0008462065725501899,0.36299576488172214,-0.0059257509140162035,0.35339570460765785,-0.010377989624207884,0.29140981939599186,0.013730924916291964,0.32664625211607456,-0.0026310535904834897,0.2932166148209065,-0.015093706909619364,0.3944075252405704,-0.0009863291201181457,-0.003547317540358854,0.2962014589803138,0.25689903860881397,0.5111439892800297,0.3901085858297152
lf_max_clipped_z,0.16,0.3935095920541431,0.0031827087572027235,0.8484086530164631,-0.0021122793346033397,0.014916974428760428,0.09304380532189435,0.16000000000000014,0.16000000000000014,374,239,0.9966429733542679,0.3933918748366061,0.0031943862962950376,0.367714396195349,-0.001207119600389328,0.3562282045524235,-0.007545489679442241,0.305612563663307,0.027933669183607124,0.33192568275581225,0.0026483770492541914,0.29456857328368286,-0.013741748446843005,0.39792190604382044,0.0025280516831319155,0.0017692900315531095,0.35102268886017257,0.2409219110284527,0.5955237574154272,0.3599714775036932
lf_max_clipped_z,0.12,0.3902618716566205,-6.50116403198564e-05,0.8492623929378085,-0.0012585394132579308,0.01118773082157032,0.06978285399142078,0.1200000000000001,0.1200000000000001,331,157,0.9979789220538379,0.39013988932657995,-5.759921373110766e-05,0.36574046889702433,-0.003181046898714013,0.35560307619992276,-0.008170618031942967,0.2915961895139855,0.013917295034285626,0.3288660816397491,-0.0004112240668089351,0.2948654208045547,-0.01344490092597117,0.39503675036069785,-0.0003571039999906711,-0.0019412664815236884,0.2632670166451294,0.24092191102845265,0.44664281806157025,0.35997147750369324
lf_mean_clipped_z,0.08,0.3881101642450057,-0.002216719051934657,0.8507393193944427,0.00021838704337628911,0.00882555891947309,0.04983182004055889,0.08000000000000007,0.08000000000000007,264,0,0.9991643876430703,0.3879852001014519,-0.002212288438859178,0.3635487435895814,-0.0053727722061569505,0.35542574347285044,-0.008347950759015288,0.2821197641880386,0.0044408697083386794,0.3258333138917123,-0.0034439918148457815,0.29588983183658546,-0.0124204898939404,0.39324555927130767,-0.0021482950893808583,-0.0045487716758334336,0.19746763932020944,0.2568990386088142,0.34076265952002016,0.39010858582971575
lf_mean_high_q50,0.16,0.3906915935694019,0.00036471027246154364,0.8496463839435668,-0.0008745484074995646,0.040617450398958206,0.040617450398958206,0.12998773876380376,0.16000000000000014,176,87,0.9983275308894807,0.3905594016926006,0.00036191315228956134,0.3644000112639744,-0.00452150453176392,0.35626132084887185,-0.0075123733829938755,0.29821355192285137,0.02053465744315147,0.3294636521915585,0.0001863464850004326,0.2964980546197697,-0.01181226711075617,0.3969008900054069,0.0015070356447183797,-0.0002696842421072802,0.13397539325821609,0.21376606621952826,0.23491811637436358,0.3073407476047951
lf_max_clipped_z,0.08,0.38863715765798057,-0.0016897256389598048,0.8499134640080589,-0.0006074683430075112,0.007458487214380216,0.046521902660947176,0.08000000000000007,0.08000000000000007,239,0,0.9989884832866864,0.38851212656768586,-0.001685361972625199,0.36535475835911535,-0.0035667574366229915,0.3569199042914457,-0.006853789940420019,0.28214919125907667,0.00447029677937677,0.3272958185485237,-0.0019814871580343674,0.29702683264191077,-0.011283489088615095,0.39374682305447584,-0.0016470313062126873,-0.003477043025088065,0.17551134443008634,0.2409219110284527,0.29776187870771353,0.3599714775036932
lf_mean_highq50_x_pred_highq60,0.16,0.38957303525066556,-0.0007538480462748187,0.8500419356891763,-0.0004789966618901076,0.03364848479877767,0.03364848479877767,0.11657946607467658,0.16000000000000014,141,73,0.9991604766821401,0.3894418232712375,-0.0007556652690735577,0.3623309512543788,-0.006590564541359534,0.3559714233782224,-0.007802270853643323,0.284045538358131,0.006366643878431111,0.3248309811567869,-0.0044463245497711745,0.29715677162133064,-0.01115355010919522,0.3938214543014957,-0.0015724000591928466,-0.004199744372455165,0.10076247801772548,0.1745530012984696,0.19061462677477412,0.2672368998498965
lf_mean_high_q50,0.12,0.38960654683903145,-0.0007203364579089211,0.8500269468077581,-0.0004939855433082618,0.03046308779921866,0.03046308779921866,0.09749080407285274,0.1200000000000001,150,46,0.9989699062222679,0.3894747393206344,-0.0007227492196766327,0.36440633884179346,-0.004515176953944877,0.3569873652502876,-0.006786328981578105,0.28746795024585453,0.00978905576615463,0.3278125304713101,-0.0014647752352479615,0.297212037410979,-0.011098284319546847,0.3954485639508252,5.47095901367034e-05,-0.0023368000223377428,0.10048154494366214,0.21376606621952837,0.17618858728077277,0.30734074760479513
lf_mean_tilt_highq50_lowq50,0.16,0.39036143809159624,3.455479465586109e-05,0.8498507913026442,-0.0006701410484222237,0.00861316661467687,0.07262173418323954,0.13653991722936762,0.16000000000000014,324,148,0.9979618560425059,0.3902380068056974,4.0518265386368935e-05,0.3659929294249595,-0.002928586370778863,0.35454582523035033,-0.009227869001515399,0.29821355192285137,0.02053465744315147,0.3292407552897929,-3.6550416765146476e-05,0.29746580949523016,-0.0108445122352957,0.39475674814089323,-0.0006371062197952915,-0.0005233278001664879,0.28624411305480507,0.2424579107558245,0.49343570869784814,0.36939456289220496
