candidate,path,single_mae,single_sp,residual_r_vs_current_ensemble,decision,reasons
oof_chemprop_proj32_kron,track1_activity/submissions/krovex_grid/oof_chemprop_proj32_kron.npy,0.49057294514594013,0.7516669257839027,0.79176287966838,close,weak_single
oof_chemprop_proj32_kron,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj32_kron.npy,0.49057294514594013,0.7516669257839027,0.79176287966838,close,weak_single
oof_chemprop_proj128_concat,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj128_concat.npy,0.49227902302108667,0.7677819515917815,0.8255625927870681,close,weak_single
oof_chemprop_proj64_concat,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj64_concat.npy,0.49314502149998996,0.7663091409202276,0.8348982766164149,close,weak_single
oof_chemprop_proj128_kron,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj128_kron.npy,0.4947803699489967,0.7509513977331853,0.7964906037733357,close,weak_single
oof_chemprop_proj32_concat,track1_activity/submissions/krovex_grid/oof_chemprop_proj32_concat.npy,0.4963407913156192,0.7727550382525271,0.8450425470894509,close,weak_single
oof_chemprop_proj32_concat,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj32_concat.npy,0.4963407913156192,0.7727550382525271,0.8450425470894509,close,weak_single
oof_chemprop_proj64_kron,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj64_kron.npy,0.4963527416380145,0.7394302729889519,0.7955637045348205,close,weak_single
oof_chemprop_proj16_concat,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj16_concat.npy,0.4981979147573614,0.7652366646473115,0.8410488154980456,close,weak_single
oof_chemprop_raw_concat,track1_activity/submissions/krovex_dimsweep/oof_chemprop_raw_concat.npy,0.4991562079822398,0.766102142658565,0.8358070420709427,close,weak_single
oof_chemprop256_concat,track1_activity/submissions/krovex_grid/oof_chemprop256_concat.npy,0.4991562079822398,0.766102142658565,0.8358070420709427,close,weak_single
oof_chemprop_proj16_kron,track1_activity/submissions/krovex_dimsweep/oof_chemprop_proj16_kron.npy,0.5008230006583085,0.7411798425574256,0.7858337050514252,close,weak_single
