gate,amount,full_mae,full_delta_mae,full_spearman,full_delta_spearman,train_gate_mean,test_gate_mean,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_shift_gt_005,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_max_soft_q50_AND_pred_soft_q50,0.05,0.38978222806314833,-0.0005446552337920463,0.8502164798612111,-0.0003044524898553336,0.12598496619146407,0.17632530011041217,0.008816265005520612,0.008816265005520612,0.029764529312899416,0.04999999999999982,0,0.9998440059901702,0.38965215733540576,-0.0005453312049052972,0.3669158923498266,-0.002005623445911764,0.36137472724906283,-0.002398966982802897,0.2770814327249712,-0.0005974617547286898,0.32792046286224225,-0.0013568428443158087,0.30395729438187624,-0.0043530273486496185,0.39462767499376716,-0.0007661793669213601,-0.0019130169572216897,0.024279670025426716,0.1575662493242746,0.04201974911954284,0.22060415818952542
lf_mean_soft_q50,0.03,0.3896208475081594,-0.0007060357887809787,0.8505132828313866,-7.649519679797656e-06,0.22613256731567852,0.25385906499348876,0.00761577194980467,0.00761577194980467,0.024372701018213407,0.03000000000000025,0,0.9999021370912693,0.389490710371572,-0.0007067781687390418,0.3670521073362871,-0.0018694084594512161,0.36151976580578066,-0.0022539284260850723,0.2768298425529631,-0.000849051926736788,0.32798891359941135,-0.0012883921071467075,0.30399720765988975,-0.004313114070636115,0.39476026776988704,-0.0006335865908014826,-0.0018679135968095635,0.025120386235915653,0.2137660662195288,0.04404714682019328,0.307340747604795
lf_max_soft_q50_AND_pred_soft_q60,0.05,0.389780653999758,-0.000546229297182399,0.8502585210599078,-0.00026241129115855966,0.10946570418816623,0.16904915889574634,0.008452457944787325,0.008452457944787325,0.028799478655103,0.04999999999999982,0,0.9998598276048424,0.38965081947472996,-0.0005466690655810957,0.3668209859129534,-0.0021005298827849184,0.36139512366664867,-0.002378570565217064,0.27677155324156627,-0.0009073412381336299,0.327762027116141,-0.0015152785904170574,0.3041320610062334,-0.0041782607242924485,0.39456518878057256,-0.0008286655801159615,-0.00198477443016018,0.022845735916976757,0.15043407584394355,0.04019399432564226,0.2134753250854376
log2fc_33_pred_soft_q50_AND_pred_soft_q50,0.05,0.38984697891090897,-0.0004799043860314045,0.8501892039731588,-0.0003317283779076252,0.12454958672423738,0.17074425976493812,0.008537212988246909,0.008537212988246909,0.029231860761490758,0.04999999999999982,0,0.9998416949678024,0.3897170645448085,-0.00048042399550257686,0.3671644862499758,-0.0017570295457625673,0.361632605480422,-0.0021410887514437538,0.27713047666786694,-0.0005484178118329575,0.3281958142319869,-0.0010814914745711501,0.3042107934436488,-0.004099528286877041,0.39471388117573436,-0.0006799731849541635,-0.0017179215092402722,0.022493374875648724,0.14780090317881273,0.03751370776778369,0.19929242016854692
lf_max_soft_q50_AND_pred_soft_q70,0.05,0.38979358097149486,-0.0005333023254455171,0.8503390183764923,-0.00018191397457412162,0.08977847504248485,0.15793481901205894,0.007896740950602948,0.007896740950602948,0.02832174929496674,0.04999999999999982,0,0.999875293677612,0.38966410134869045,-0.0005333871916206046,0.3666964424843227,-0.0022250733114156374,0.3614483572154735,-0.002325337016392204,0.27632865644318405,-0.0013502380365158495,0.3275982516647825,-0.0016790540417755406,0.3043822485001663,-0.003928073230359541,0.3945960097760674,-0.0007978445846211213,-0.0020509367035133155,0.02083493829470349,0.13947836884335157,0.03759772030214733,0.2021497434619885
log2fc_33_pred_soft_q50_AND_pred_soft_q60,0.05,0.38984274752271636,-0.0004841357742240149,0.8502411167854685,-0.0002798155655978629,0.10766563861583511,0.16318599073337056,0.008159299536668514,0.008159299536668514,0.02871599342491855,0.04999999999999982,0,0.9998561833003392,0.3897130200072802,-0.00048446853303085735,0.3670739035591858,-0.0018476122365525538,0.36165748695591676,-0.002116207275948967,0.2768165115966774,-0.0008623828830224833,0.32804011500573077,-0.0012371907008272842,0.30439376124085676,-0.003916560489669096,0.3946343879299727,-0.0007594664307158383,-0.001789903336122704,0.02101321216238928,0.14039719315508814,0.03562674948967878,0.19178998660885474
lf_max_soft_q60,0.05,0.38994192132919187,-0.00038496196774850944,0.8499639731612001,-0.0005569591898663129,0.1834686101219307,0.16766144110151035,0.008383072055075508,0.008383072055075508,0.029415081670035904,0.04999999999999982,0,0.9997455208831094,0.3898110207827513,-0.0003864677575597386,0.3681296889279009,-0.000791826867837464,0.3618608234113408,-0.0019128708205249367,0.2783244646631728,0.0006455701834728877,0.3293968405309962,0.0001195348244381611,0.3044231058032815,-0.0038872159272443363,0.39525323890983105,-0.00014061545085747307,-0.0009945706764255269,0.024646286188430146,0.15266122080418407,0.03871636801574875,0.1966048761456318
log2fc_33_pred_soft_q60,0.05,0.39001839203764505,-0.0003084912592953293,0.8498803525338501,-0.0006405798172163246,0.18363335988203974,0.16366338163423075,0.008183169081711524,0.008183169081711524,0.02904185049152428,0.04999999999999982,0,0.9997407210674222,0.38988782625347557,-0.00030966228683548813,0.3682856731899535,-0.0006358426057848643,0.3620149400185709,-0.0017587542132948553,0.27840133697962954,0.000722442499929643,0.32957522571168424,0.00029792000512618433,0.3045897126710857,-0.003720609059440161,0.395435060120945,4.12057602564575e-05,-0.0008422729355345993,0.023416197349683445,0.14562401874421976,0.034947792922188005,0.17863367253495246
log2fc_33_pred_soft_q50_AND_pred_soft_q70,0.05,0.38985127085645455,-0.0004756124404858286,0.850332801857531,-0.0001881304935353878,0.08767352790948578,0.15166086653044453,0.007583043326522225,0.007583043326522225,0.028510959979637464,0.04999999999999982,0,0.9998725382278655,0.38972182016973667,-0.00047566837057438915,0.36695553487089805,-0.0019659809248402937,0.3617167495424881,-0.0020569446893776155,0.27636972197306175,-0.0013091725066381454,0.3278800993234728,-0.00139720638308527,0.30465354594682525,-0.0036567757837006054,0.3946400358407389,-0.0007538185199496006,-0.001856649801265255,0.018952854752347262,0.1291306794137102,0.03295882101242994,0.1800331622141067
lf_mean_soft_q60,0.03,0.389741552071471,-0.0005853312254693877,0.8504379551238737,-8.297722719274869e-05,0.1847888123605944,0.21218129854465353,0.006365438956339618,0.006365438956339618,0.02334271911026935,0.03000000000000025,0,0.9998935152001277,0.3896113184889348,-0.0005861700513762336,0.3674226916753212,-0.0014988241204171304,0.36180302047982243,-0.001970673752043295,0.27683146968419187,-0.0008474247955080338,0.32826945234347504,-0.001007853363083011,0.30471167841080793,-0.0035986433197179313,0.3948172589890112,-0.0005765953716773131,-0.0015833357870744524,0.021879406197981434,0.19075271306014804,0.03798780333982418,0.27256961180556194
lf_mean_soft_q50_AND_pred_soft_q50,0.03,0.38977723936932196,-0.0005496439276184151,0.850443315410742,-7.76169403243765e-05,0.1380096502628489,0.2180558505300794,0.006541675515902382,0.006541675515902382,0.02185864988900157,0.03000000000000025,0,0.9999389356782036,0.3896476157275556,-0.0005498728127554808,0.3669694352376999,-0.001952080558038416,0.3616799021270468,-0.0020937921048189145,0.27665297230728053,-0.001025922172419369,0.32774873986178366,-0.0015285658447743988,0.3047315413476346,-0.003578780382891278,0.3946800668799949,-0.0007137874806936173,-0.001815488090605999,0.019952103958644593,0.18267777649648362,0.037179232802117525,0.27621432173979693
lf_max_soft_q60_AND_pred_soft_q50,0.05,0.3899169310098032,-0.0004099522871371941,0.8501694357168295,-0.00035149663423694744,0.10885179331219524,0.14369218769641065,0.007184609384820521,0.007184609384820521,0.026621904748346564,0.04999999999999982,0,0.999826762207887,0.38978667821820157,-0.0004108103221094894,0.3674796106300272,-0.0014419051657111326,0.361828004284306,-0.0019456899475597256,0.2771345682826205,-0.0005443261970793922,0.3284222000138645,-0.0008551056926935363,0.3047756415549236,-0.003534680175602267,0.3947349599275739,-0.0006588944331146207,-0.0014967669352934458,0.019594472097200482,0.1346226989717487,0.032512042967396855,0.1812010225918617
lf_max_soft_q60_AND_pred_soft_q60,0.05,0.3899084139041361,-0.000418469392804266,0.8502294940647638,-0.00029143828630262547,0.09583234500377767,0.13842012902829193,0.006921006451414585,0.006921006451414585,0.026089768229834047,0.04999999999999982,0,0.9998498724315654,0.389778437297681,-0.0004190512426300308,0.36735649268372167,-0.0015650231120166724,0.3618364117284319,-0.0019372825034338348,0.27683535581496344,-0.0008435386647364651,0.32823912788368115,-0.0010381778228769067,0.30487286621282333,-0.0034374555177025257,0.39468016093161973,-0.0007136934290687957,-0.0015891951749725335,0.018500198673478435,0.1292284116852297,0.03116187303594282,0.17605086392250305
lf_max_soft_q50,0.03,0.3898733577017842,-0.00045352559515615676,0.8502602474761273,-0.00026068487493913217,0.22465388591896865,0.2104126176810614,0.006312378530431849,0.006312378530431849,0.01954726540169869,0.03000000000000025,0,0.9998920041470409,0.38974320181674543,-0.0004542867235656223,0.36784986240695006,-0.001071653388788285,0.3621579480409848,-0.0016157461908809512,0.2772486294433637,-0.00043026503633619706,0.32875331428047344,-0.0005239914260846135,0.3048739644319878,-0.003436357298538084,0.39508253291731366,-0.0003113214433748679,-0.0012315557973338331,0.018941381004207367,0.1844574769898518,0.030587196198015948,0.24401182704852067
lf_mean_soft_q50_AND_pred_soft_q60,0.03,0.3897956201537912,-0.0005312631431491632,0.8504480753373637,-7.285701370274289e-05,0.12223962959336532,0.21030302999236034,0.006309090899770811,0.006309090899770811,0.02185864988900157,0.03000000000000025,0,0.9999485353095777,0.38966613447389975,-0.0005313540664113048,0.36694678788255247,-0.0019747279131858697,0.36171532621834096,-0.0020583680135247695,0.2765233408313169,-0.0011555536483829898,0.3276954917119586,-0.0015818139945994458,0.30487498997490564,-0.003435331755620219,0.3946725855055319,-0.0007212688551566093,-0.0018211773634116506,0.018892964628323537,0.17455300129846946,0.035740242520270096,0.26723689984989596
log2fc_33_pred_soft_q60_AND_pred_soft_q50,0.05,0.3899767616750105,-0.0003501216219298775,0.8501304080728983,-0.00039052427816810287,0.10751838751735979,0.13889378979736272,0.006944689489868132,0.006944689489868132,0.0261141625650069,0.04999999999999982,0,0.9998250733838489,0.38984662217571125,-0.00035086636459980003,0.36764481474859656,-0.0012767010471417817,0.361997307998393,-0.0017763862334727043,0.27719471158061976,-0.00048418289908014334,0.32860542889295774,-0.0006718768136003139,0.30496266739797956,-0.0033476543325463015,0.3948302754328724,-0.0005635789278161107,-0.0013533967089428927,0.01818120313027184,0.12649494425210395,0.028507226685587406,0.1611805676383346
log2fc_33_pred_soft_q50,0.03,0.3899168341155268,-0.00041004918141357427,0.8502242106409186,-0.0002967217101478292,0.22595872019580202,0.20627987922671573,0.006188396376801481,0.006188396376801481,0.019415244716916115,0.03000000000000025,0,0.9998906708649056,0.3897869191428039,-0.0004105693975071656,0.36798770436031436,-0.0009338114354239813,0.3622992859802558,-0.0014744082516099377,0.27727758387089185,-0.0004013106088080476,0.3289101273493881,-0.0003671783571699283,0.30498808096443186,-0.003322240766093998,0.39517651786927116,-0.00021733649141736366,-0.0011193809850872094,0.01807110193566437,0.17638802665725145,0.028110056949899716,0.22501777931571754
lf_max_soft_q60_AND_pred_soft_q70,0.05,0.38990420108405954,-0.00042268221288083163,0.8503112392850838,-0.00020969306598261905,0.07964180856943798,0.13024162427697672,0.006512081213848827,0.006512081213848827,0.024583449993514785,0.04999999999999982,0,0.9998655162752864,0.3897746247192311,-0.00042286382107997733,0.3671969251215036,-0.0017245906742347494,0.3618778714326473,-0.0018958227992184051,0.2763884954960695,-0.0012903989836304253,0.3280523208634839,-0.0012249848430741506,0.30503043137392744,-0.003279890356598425,0.39470069334799873,-0.0006931610126897914,-0.0016848081115743245,0.016904617091288425,0.12058986148470018,0.02918940163460463,0.16761699266959515
log2fc_33_pred_soft_q60_AND_pred_soft_q60,0.05,0.38996471815134875,-0.0003621651455916197,0.8502036477105612,-0.0003172846405051777,0.09427881364071318,0.13345041759537768,0.00667252087976887,0.00667252087976887,0.025528570942126554,0.04999999999999982,0,0.9998465836689651,0.3898348069329701,-0.00036268160734093113,0.3675241077659853,-0.0013974080297530223,0.36200948366626523,-0.0017642105656004992,0.27688981061367146,-0.0007890838660284394,0.32842339948257027,-0.0008539062239877881,0.30506327838075886,-0.003247043349766998,0.39475726023158214,-0.0006365941291063826,-0.0014480410273738549,0.01704923978612195,0.12084251250235352,0.027107645645453055,0.15562354675401996
lf_mean_soft_q50_AND_pred_soft_q70,0.03,0.3898244666447342,-0.0005024166522061835,0.8504591638220065,-6.176852905992458e-05,0.10243941530449006,0.1984167365636998,0.005952502096910994,0.005952502096910994,0.02165135279009789,0.03000000000000025,0,0.999955823918584,0.3896951830334821,-0.0005023055068289484,0.366922367938931,-0.001999147856807326,0.3617776597528256,-0.0019960344790401208,0.27631550118017556,-0.0013633932995243403,0.3276447075755929,-0.0016325981309651683,0.3050811939489991,-0.003229127781526786,0.39471666116736803,-0.0006771931933204911,-0.0018162491235307054,0.017422529396685614,0.1624564651681915,0.033683525154076605,0.2532916710597068
lf_mean_soft_q80_AND_pred_soft_q50,0.05,0.38993812128009847,-0.0003887620168419037,0.8502357579360826,-0.0002851744149837687,0.08200983031993088,0.11753609942784118,0.005876804971392049,0.005876804971392049,0.028344344166214175,0.04999999999999982,0,0.999818229202221,0.3898079206994637,-0.0003895678408473713,0.36748733206788825,-0.0014341837278500913,0.36182602401390984,-0.001947670217955888,0.276491106732339,-0.001187787747360891,0.3282097880035164,-0.0010675177030416427,0.30509117838998306,-0.003219143340542796,0.3946306446608678,-0.0007632096998207438,-0.0016032520727620088,0.01638336429575166,0.10676412581472011,0.030098174828400572,0.15808605317059315
lf_mean_soft_q80_AND_pred_soft_q60,0.05,0.3899260479264974,-0.0004008353704429979,0.850293083461085,-0.00022784888998139685,0.07603363046800175,0.11531986102458469,0.0057659930512292245,0.0057659930512292245,0.027568713083606866,0.04999999999999982,0,0.9998379617778235,0.3897960836022133,-0.00040140493809776023,0.367390537906014,-0.0015309778897243387,0.36183504081680007,-0.001938653415065661,0.27628942219430236,-0.0013894722853975416,0.32808964984733696,-0.0011876558592210928,0.30510260579975734,-0.0032077159307685177,0.39460474114687677,-0.000789113213811754,-0.0016739314323314842,0.015976575421612075,0.10525685537237536,0.029499537923282942,0.1564972329613161
lf_mean_soft_q80_AND_pred_soft_q70,0.05,0.3899075798323363,-0.00041930346460405943,0.8503562178519852,-0.00016471449908117552,0.067549877998754,0.11181338036546505,0.005590669018273238,0.005590669018273238,0.024384756620063185,0.04999999999999982,0,0.9998545833617769,0.38977797762759275,-0.00041951091271830165,0.3672322662549639,-0.001689249540774429,0.3618463739310349,-0.0019273203008308148,0.2759686017058073,-0.0017102927738926188,0.3279481378273972,-0.0013291678791608752,0.30513647312128883,-0.003173848609237029,0.39461177724106034,-0.0007820771196281884,-0.001768659370587326,0.015334989861963568,0.10247581511777418,0.028583263815527313,0.15355394515044166
lf_mean_soft_q60_AND_pred_soft_q50,0.03,0.3898481653344404,-0.000478717962499986,0.8504200192346639,-0.00010091311640247902,0.12108503822696426,0.18736518933323076,0.005620955679996934,0.005620955679996934,0.02065444283069944,0.03000000000000025,0,0.9999327136949053,0.389718433754675,-0.000479054785636035,0.3672494810859558,-0.001672034709782555,0.36189456216819144,-0.0018791320636742936,0.2766531683301522,-0.0010257261495477121,0.3279679426054441,-0.0013093631011139584,0.305144122311499,-0.0031661994190268494,0.3947289124320792,-0.0006649419286093305,-0.0016195662286257833,0.01795626666910472,0.16856990267552735,0.0327152843877133,0.25054417270894613
