gate,amount,full_mae,full_delta_mae,full_spearman,full_delta_spearman,train_gate_mean,test_gate_mean,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,test_n_shift_gt_005,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
lf_mean_soft_q50,0.08,0.38923493166550255,-0.0010919516314378264,0.8503085522924693,-0.00021238005859713915,0.22613256731567852,0.25385906499348876,0.020308725199479096,0.020308725199479096,0.06499386938190224,0.08000000000000007,87,0.9994761090063032,0.38910375330837804,-0.001093735231933013,0.36506092958829756,-0.003860586207440786,0.3586162049298245,-0.0051574893020412405,0.28056812222817357,0.002889227748473666,0.32719306628575884,-0.0020842394207992165,0.29931591600414503,-0.008994405726380827,0.3947736379264151,-0.0006202164342734018,-0.002971284890410301,0.06698769662910796,0.21376606621952804,0.1174590581871817,0.307340747604795
lf_mean_soft_q50_AND_pred_soft_q50,0.08,0.38927504860081963,-0.0010518346961207459,0.850274445657733,-0.0002464866933333809,0.1380096502628489,0.2180558505300794,0.01744446804240634,0.01744446804240634,0.05828973303733829,0.08000000000000007,75,0.9996866786982049,0.3891445353007671,-0.0010529532395439634,0.3645057655982137,-0.004415750197524659,0.35882200452063184,-0.0049516897112338865,0.277622594433668,-5.6300046031909634e-05,0.32593880024002714,-0.0033385054665309166,0.30035612409612944,-0.00795419763439642,0.3940024010260591,-0.0013914533346294222,-0.0036846493983912023,0.05320561055638542,0.1826777764964835,0.09914462080564658,0.27621432173979715
lf_mean_soft_q50_AND_pred_soft_q60,0.08,0.3892910637422167,-0.0010358195547236493,0.8503015838011596,-0.00021934854990679487,0.12223962959336532,0.21030302999236034,0.016824242399388817,0.016824242399388817,0.05828973303733829,0.08000000000000007,73,0.9997248994527501,0.3891608818553721,-0.0010366066849389344,0.364433472315077,-0.004488043480661341,0.35889209377673537,-0.004881600455130364,0.27706590506892415,-0.000612989410775755,0.32575304411002043,-0.0035242615965376256,0.3006391799748008,-0.007671141755725086,0.39393807825648536,-0.0014557761042031658,-0.0037723021338388896,0.050381239008862676,0.17455300129846937,0.09530731338738699,0.26723689984989635
lf_mean_soft_q50_AND_pred_soft_q70,0.08,0.3893306846123878,-0.000996198684552585,0.8503578307916624,-0.00016310155940402193,0.10243941530449006,0.1984167365636998,0.01587333892509599,0.01587333892509599,0.05773694077359455,0.08000000000000007,69,0.9997680089084581,0.38920100687410136,-0.000996481666209692,0.3643356263010593,-0.00458588949467903,0.3590038769143511,-0.004769817317514635,0.2762824539269329,-0.0013964405527669976,0.32556290630269663,-0.0037143994038614236,0.30105759605474935,-0.007252725675776506,0.39401220347999805,-0.001381650880690477,-0.003850153887548178,0.04646007839116144,0.16245646516819115,0.08982273374420424,0.253291671059707
lf_mean_soft_q60,0.08,0.3894717443754952,-0.0008551389214451754,0.8501665406275154,-0.00035439172355100634,0.1847888123605944,0.21218129854465353,0.01697450388357229,0.01697450388357229,0.06224725096071815,0.08000000000000007,72,0.9994353105729631,0.38934027081735123,-0.0008572177229598243,0.36600003094610534,-0.002921484849633005,0.35930106852273586,-0.004472625709129874,0.28033230954212174,0.0026534150624218378,0.32787790274100276,-0.0013994029655552964,0.30107254360959795,-0.007237778120927907,0.39482028011351,-0.000573574247178521,-0.002325241805000461,0.05834508319461736,0.19075271306014893,0.10130080890619801,0.272569611805563
lf_max_soft_q50,0.08,0.3898837675799789,-0.0004431157169614841,0.8496156699361294,-0.000905262414937047,0.22465388591896865,0.2104126176810614,0.01683300941448491,0.01683300941448491,0.052126041071197095,0.08000000000000007,58,0.9994202889275721,0.3897529827600534,-0.00044450578025767573,0.3670869284378165,-0.0018345873579218575,0.3602698011600674,-0.003503893071798325,0.2818047935603391,0.004125899080639206,0.32921298594254833,-6.431976400972372e-05,0.30132962143328307,-0.006980700297242792,0.3955992120704735,0.00020535770978497014,-0.0013420406167580872,0.05051034934455319,0.1844574769898525,0.08156585652804274,0.24401182704852142
lf_mean_soft_q60_AND_pred_soft_q50,0.08,0.3894282141308083,-0.0008986691661320712,0.850213350462285,-0.00030758188878143855,0.12108503822696426,0.18736518933323076,0.01498921514665847,0.01498921514665847,0.05507851421519785,0.08000000000000007,64,0.9996554798962387,0.38929743815964546,-0.0009000503806655957,0.3652251798307975,-0.0036963359649408445,0.35935434444724446,-0.004419349784621274,0.27750333152116474,-0.00017556295853515813,0.326507965543623,-0.0027693401629350634,0.3013659138647085,-0.006944407865817348,0.3941016151723526,-0.0012922391883359308,-0.0032162059875309366,0.0478833777842791,0.16856990267552718,0.08724075836723517,0.2505441727089458
lf_mean_soft_q60_AND_pred_soft_q60,0.08,0.38943156489869846,-0.0008953183982419177,0.8502456061271902,-0.00027532622387616,0.10913339619638024,0.18188298513152268,0.014550638810521816,0.014550638810521816,0.05431603584077003,0.08000000000000007,62,0.9996872120110589,0.3893011563664304,-0.0008963321738806318,0.3651072636354701,-0.003814252160268261,0.3593942903938023,-0.004379403838063456,0.27697888549940836,-0.0007000089802915443,0.32629166746353044,-0.0029856382430276107,0.3015275744026581,-0.006782747327867766,0.39405666429678676,-0.0013371900639017609,-0.0033332067689033997,0.045605658472479174,0.1623131660292356,0.08416100961033679,0.2437627586520199
log2fc_33_pred_soft_q50,0.08,0.3900111699758789,-0.00031571332106145045,0.8495071737624631,-0.0010137585886033085,0.22595872019580202,0.20627987922671573,0.016502390338137236,0.016502390338137236,0.05177398591177536,0.08000000000000007,57,0.9994085560447813,0.3898810508579361,-0.0003164376823749371,0.36746998325368635,-0.001451532542051992,0.36066332817520486,-0.0031103660566608737,0.2819028275727754,0.004223933093075505,0.32966073405792085,0.0003834283513627912,0.3016806982309231,-0.006629623499602777,0.3958757767550407,0.00048192239435218553,-0.0010170397099208601,0.04818960516177167,0.17638802665725203,0.07496015186639929,0.22501777931571829
lf_mean_soft_q50,0.05,0.3893392987823964,-0.0009875845145439488,0.8504650377128381,-5.5894638228304316e-05,0.22613256731567852,0.25385906499348876,0.012692953249674427,0.012692953249674427,0.04062116836368883,0.04999999999999982,0,0.999760364757549,0.3892086936622491,-0.0009887948780619715,0.36609550839051735,-0.002826007405220987,0.36025687544852175,-0.003516818783343978,0.277586407348256,-9.248713144388576e-05,0.3274995206158525,-0.0017777850907055304,0.3017231626454633,-0.006587159085062577,0.39464698534631126,-0.0007468690143772605,-0.00259118775169237,0.04186731039319251,0.21376606621952848,0.07341191136698853,0.3073407476047953
lf_mean_soft_q60_AND_pred_soft_q70,0.08,0.3894463084016839,-0.0008805748952564474,0.8503227800692985,-0.0001981522817678938,0.09322625474277724,0.17332465536271258,0.013865972429017005,0.013865972429017005,0.05400511777151564,0.08000000000000007,59,0.9997328102600862,0.38931646501478057,-0.0008810235255304888,0.3649442299044103,-0.003977285891328064,0.35948432187593615,-0.004289372355929577,0.27624010330932713,-0.0014387911703727663,0.3260777806157757,-0.0031995250907823625,0.3018029091589723,-0.0065074125715535724,0.39411829025147727,-0.001275564109211258,-0.0034479918648629335,0.04225119585031582,0.15237782069243144,0.07957284616200068,0.23266953081628106
