mode,amount,full_delta_mae,full_delta_sp,test_shift_mean,test_abs_shift_mean,test_abs_shift_p90,test_abs_shift_max,n_gt_005,id57_spearman,umap_canonical_mae,umap_canonical_delta_mae,public_adv_top513_mae,public_adv_top513_delta_mae,public_testnn_top513_mae,public_testnn_top513_delta_mae,public_log2fc_top513_mae,public_log2fc_top513_delta_mae,public_hybrid_nolabel_top513_mae,public_hybrid_nolabel_top513_delta_mae,public_hybrid_with_y_top513_mae,public_hybrid_with_y_top513_delta_mae,public_chembl_ext_nn_ge025_mae,public_chembl_ext_nn_ge025_delta_mae,public_stress_mean_delta_mae,id56_minus_id55_projection,id56_minus_id55_pearson,id56_minus_id51_projection,id56_minus_id51_pearson
plain,0.04,-0.0008720492103580502,-1.8182882488892993e-05,0.01015436259973956,0.01015436259973956,0.032496934690951204,0.040000000000000036,0,0.9998430282499375,0.38932442932659994,-0.0008730592137111137,0.366544104423427,-0.0023774113723113444,0.36088433928710645,-0.0028893549447592815,0.2770178893716704,-0.0006610051080295221,0.32771223406423244,-0.0015650716423256106,0.3027495281496991,-0.005560793580826784,0.39465728808458816,-0.0007365662761003589,-0.002298367154058817,0.03349384831455406,0.21376606621952826,0.05872952909359096,0.30734074760479513
plain,0.03,-0.0007060357887809787,-7.649519679797656e-06,0.00761577194980467,0.00761577194980467,0.024372701018213407,0.03000000000000025,0,0.9999021370912693,0.389490710371572,-0.0007067781687390418,0.3670521073362871,-0.0018694084594512161,0.36151976580578066,-0.0022539284260850723,0.2768298425529631,-0.000849051926736788,0.32798891359941135,-0.0012883921071467075,0.30399720765988975,-0.004313114070636115,0.39476026776988704,-0.0006335865908014826,-0.0018679135968095635,0.025120386235915653,0.2137660662195288,0.04404714682019328,0.307340747604795
plain,0.025,-0.000606597202344461,1.3822660499540618e-06,0.006346476624837241,0.006346476624837241,0.02031058418184415,0.025000000000000355,0,0.9999296027032564,0.3895903007239709,-0.0006071878163401712,0.36731539170751776,-0.001606124088220584,0.3618440680111243,-0.0019296262207414427,0.2768535608866003,-0.0008253335930996086,0.328153749855765,-0.0011235558507930454,0.3046654694305039,-0.0036448523000219835,0.3948420107882379,-0.0005518435724506388,-0.0016135559375545505,0.020933655196596273,0.21376606621952737,0.036705955683494385,0.3073407476047943
plain,0.02,-0.0005067731174266954,2.2940526045456267e-07,0.005077181299869743,0.005077181299869743,0.016248467345475602,0.019999999999999574,0,0.9999505796755185,0.38969027758997565,-0.0005072109503354016,0.3675796726872947,-0.0013418431084436522,0.3621693668250142,-0.0016043274068515134,0.2768803902606113,-0.0007985042190886138,0.3283195827206651,-0.0009577229858929726,0.3053347278096645,-0.0029755939208613857,0.3949237538065886,-0.0004701005540999059,-0.0013580153658730072,0.016746924157276927,0.21376606621952918,0.02936476454679534,0.30734074760479685
center_train_mean,0.04,-0.0005677174842881882,-1.8182882488892993e-05,0.0011090599071125198,0.010856348192487323,0.023451631998324098,0.030954697307373102,0,0.9998430282499375,0.3896291385445413,-0.000568349995769768,0.3678552949331674,-0.0010662208625709657,0.36177774567863963,-0.001995948553226101,0.2768289590971808,-0.0008499353825190958,0.32856582537025,-0.000711480336308079,0.30561260000521856,-0.0026977217253073005,0.3948264336063167,-0.0005674207543718279,-0.0013147879357172283,0.03851805295937139,0.21376606621952843,0.06260800808522816,0.30734074760479496
center_each_mean,0.04,-0.0005677174842881882,-1.8182882488892993e-05,1.7313419487331875e-18,0.01111722048591365,0.022342572091211644,0.029845637400260472,0,0.9998430282499375,0.3896291385445413,-0.000568349995769768,0.3678552949331674,-0.0010662208625709657,0.36177774567863963,-0.001995948553226101,0.2768289590971808,-0.0008499353825190958,0.32856582537025,-0.000711480336308079,0.30561260000521856,-0.0026977217253073005,0.3948264336063167,-0.0005674207543718279,-0.0013147879357172283,0.039134079213665754,0.21376606621952837,0.0630835549736384,0.3073407476047952
center_test_mean,0.04,-0.0005174377831256294,-1.8182882488892993e-05,1.7313419487331875e-18,0.01111722048591365,0.022342572091211644,0.029845637400260472,0,0.9998430282499375,0.3896794795717954,-0.0005180089685156708,0.3680217620147418,-0.0008997537809965483,0.3618952727253876,-0.0018784215064781562,0.2768354448276317,-0.0008434496520681734,0.32868040660821674,-0.0005968990983413192,0.30597796282062206,-0.002332358909903798,0.39486293431212044,-0.0005309200485680843,-0.0011803004993926798,0.039134079213665754,0.21376606621952837,0.0630835549736384,0.3073407476047952
plain,0.015,-0.00040106163042807896,1.6560049551417322e-05,0.0038078859749023073,0.0038078859749023073,0.012186350509106348,0.01499999999999968,0,0.9999693345108882,0.3897961318145819,-0.0004013567257291628,0.36787792511094236,-0.0010435906847959808,0.3625286370827748,-0.0012450571490909557,0.2769493955898325,-0.0007294988898673971,0.3285229661743687,-0.0007543395321893409,0.3060415367776287,-0.0022687849528971737,0.3950108245645815,-0.00038302979610704835,-0.0010707168341579827,0.012560193117957672,0.21376606621952848,0.022023573410096482,0.30734074760479635
center_train_mean,0.03,-0.0004598672635001133,-7.649519679797656e-06,0.0008317949303343869,0.008142261144365495,0.01758872399874303,0.02321602298053005,0,0.9999021370912693,0.3897371811942881,-0.0004603073460229812,0.3680439168420577,-0.0008775989536806694,0.3621941962697046,-0.0015794979621611138,0.2768674005013665,-0.0008114939783334107,0.3286633440633353,-0.000613961643222749,0.30620563682607205,-0.002104684904453813,0.3949195090299614,-0.0004743453307270995,-0.001076930462096476,0.028888539719528494,0.21376606621952757,0.04695600606392102,0.3073407476047938
center_each_mean,0.03,-0.0004598672635001133,-7.649519679797656e-06,-4.5014890667062875e-17,0.008337915364435277,0.016756929068408512,0.022384228050195354,0,0.9999021370912693,0.3897371811942881,-0.0004603073460229812,0.3680439168420577,-0.0008775989536806694,0.3621941962697046,-0.0015794979621611138,0.2768674005013665,-0.0008114939783334107,0.3286633440633353,-0.000613961643222749,0.30620563682607205,-0.002104684904453813,0.3949195090299614,-0.0004743453307270995,-0.001076930462096476,0.029350559410249704,0.21376606621953045,0.04731266623022911,0.3073407476047963
