candidate,threshold,gate,gamma,n_gate_nonzero,n_gate_full,mean_gate,mean_shift,mean_abs_shift,p90_abs_shift,max_abs_shift,corr_vs_anchor,path
ens_id51_top500_potent46_t30_hard_g15.csv,0.3,hard,0.15,300,300,0.5847953216374269,0.00026781992878840863,0.00831008789032249,0.02339327248398066,0.06816964901213592,0.9998525067827246,track1_activity/submissions/ens_id51_top500_potent46_t30_hard_g15.csv
ens_id51_top500_potent46_t30_hard_g25.csv,0.3,hard,0.25,300,300,0.5847953216374269,0.0004463665479806809,0.013850146483870817,0.038988787473301104,0.11361608168689319,0.9995936767150659,track1_activity/submissions/ens_id51_top500_potent46_t30_hard_g25.csv
ens_id51_top500_potent46_t30_hard_g35.csv,0.3,hard,0.35,300,300,0.5847953216374269,0.0006249131671729532,0.019390205077419145,0.054584302462621546,0.15906251436165045,0.9992102999323969,track1_activity/submissions/ens_id51_top500_potent46_t30_hard_g35.csv
ens_id51_top500_potent46_t30_hard_g50.csv,0.3,hard,0.5,300,300,0.5847953216374269,0.0008927330959613618,0.027700292967741635,0.07797757494660221,0.22723216337378638,0.9984090924037528,track1_activity/submissions/ens_id51_top500_potent46_t30_hard_g50.csv
ens_id51_top500_potent46_t30_soft_g15.csv,0.3,soft,0.15,300,244,0.5428997809581745,0.0002560421246930119,0.007797358923620533,0.022866086925728082,0.06816964901213592,0.999859588882437,track1_activity/submissions/ens_id51_top500_potent46_t30_soft_g15.csv
ens_id51_top500_potent46_t30_soft_g25.csv,0.3,soft,0.25,300,244,0.5428997809581745,0.00042673687448835287,0.012995598206034222,0.03811014487621347,0.11361608168689319,0.9996129161059001,track1_activity/submissions/ens_id51_top500_potent46_t30_soft_g25.csv
ens_id51_top500_potent46_t30_soft_g35.csv,0.3,soft,0.35,300,244,0.5428997809581745,0.0005974316242836938,0.018193837488447908,0.05335420282669886,0.15906251436165045,0.9992471631699545,track1_activity/submissions/ens_id51_top500_potent46_t30_soft_g35.csv
ens_id51_top500_potent46_t30_soft_g50.csv,0.3,soft,0.5,300,244,0.5428997809581745,0.0008534737489767057,0.025991196412068443,0.07622028975242694,0.22723216337378638,0.9984817489280196,track1_activity/submissions/ens_id51_top500_potent46_t30_soft_g50.csv
ens_id51_top500_potent46_t35_hard_g15.csv,0.35,hard,0.15,284,284,0.5536062378167641,0.00018544547166866597,0.007926771978141147,0.023140274538349503,0.06816964901213592,0.9998560330796068,track1_activity/submissions/ens_id51_top500_potent46_t35_hard_g15.csv
ens_id51_top500_potent46_t35_hard_g25.csv,0.35,hard,0.25,284,284,0.5536062378167641,0.0003090757861144434,0.013211286630235245,0.038567124230582506,0.11361608168689319,0.99960317137685,track1_activity/submissions/ens_id51_top500_potent46_t35_hard_g25.csv
