group,value,n,mean_id32,mean_hybrid,hybrid_minus_id32,meta_minus_id32,region_minus_id32,anchor_minus_id32,admet_minus_id32
baseline_pred_bin,0,103,3.5494050737296474,3.5629100518091907,0.013504978079543485,0.02700995615908694,-0.017101544742652408,0.02126593546668893,-0.012765507484855098
baseline_pred_bin,1,102,4.5130899294738915,4.523819110670264,0.010729181196371812,0.021458362392743582,-0.0019259441565695435,0.006259914705122623,-0.012301436369732357
baseline_pred_bin,2,103,4.972847783434655,4.980813227129359,0.007965443694703688,0.015930887389407306,-0.0066300635838334775,-0.0021594368259099665,-0.005893042535932679
baseline_pred_bin,3,102,5.261084595461093,5.256721246591435,-0.0043633488696575495,-0.008726697739315248,-0.007813174625217755,-0.004051090405087617,0.005756713106250523
baseline_pred_bin,4,103,5.668350986354189,5.660644353139223,-0.007706633214965926,-0.015413266429931937,0.011757072736919356,-0.0037333702697338977,0.008437698370206992
nn_train_bin,0,103,4.666180548509249,4.6733323326927385,0.0071517841834890464,0.01430356836697807,-0.008694532105772569,0.0012019382788202135,-0.007486851653260368
nn_train_bin,1,107,4.6124798990028095,4.6177786139989925,0.005298714996183263,0.010597429992366368,0.00034241328507920624,0.0013953184237119108,-0.002653680548968199
nn_train_bin,2,100,4.7538514361263005,4.755011377099193,0.0011599409728924037,0.0023198819457848074,-0.01158723773117742,0.00635011113237351,-0.0036811951568722413
nn_train_bin,3,100,4.723652802808731,4.728770521584133,0.005117718775400912,0.010235437550801727,-0.00962480842243052,0.005381317632868626,-0.0037738845213567407
nn_train_bin,4,103,5.210637163519578,5.211953890399291,0.0013167268797136967,0.0026334537594272984,0.007313940963924627,0.003519327283896528,0.0007794952811975292
logp_bin,0,103,4.014341398657327,4.020475712856222,0.0061343141988949015,0.012268628397789765,-0.006578139239446968,0.014521997017134854,-0.007834591936530149
logp_bin,1,102,4.612166112543321,4.623069789109708,0.010903676566387783,0.021807353132775497,-0.005467082556732594,0.004158774815876689,-0.010838031432698405
logp_bin,2,103,4.888511932735703,4.892092057286294,0.003580124550590547,0.007160249101181103,-0.003435141473242725,0.004934828690399777,-0.0024530464820746983
logp_bin,3,102,5.056700153760354,5.059796610598054,0.0030964568376999403,0.006192913675399832,-0.01280334778977627,-0.0038526288484867096,-0.0011767359911910252
logp_bin,4,103,5.392036360478796,5.388525528639153,-0.0035108318396419977,-0.007021663679284224,0.006487228420226074,-0.002199491609015849,0.005483723703573332
scaffold_size_bin,singleton,310,4.714604518410602,4.718213576265333,0.003609057854731061,0.007218115709462026,-0.006588067333189441,0.003295738655388219,-0.0036826280426752954
scaffold_size_bin,pair,50,4.790113092214803,4.792220480394833,0.002107388180029286,0.004214776360058563,0.013676908104947323,0.010508184775971428,-0.004857596845643082
scaffold_size_bin,3-5,106,4.757944931595485,4.766307111567698,0.008362179972212065,0.01672435994442408,-0.009459931603515758,0.0013015393930444737,-0.005347386498342487
scaffold_size_bin,6+,47,5.387718709757975,5.38679140545815,-0.0009273042998244441,-0.001854608599648945,0.0028604454584334874,0.002631508578501679,0.004915064073421947
