name,MAE,RAE,R2,Spearman_R,delta_mae_vs_anchor,oof_abs_delta_mean,oof_abs_delta_p95,test_delta_mean,test_delta_std,test_abs_delta_mean,test_abs_delta_p95,test_abs_delta_max,test_pred_mean,test_pred_std,note,l2_anchor,max_weight,mean_weight_l1_from_anchor,fold_weight_l1_std,calibrator
simplex_mae_anchor_l2_0p0,0.3816491610005999,0.4194270693132985,0.7697998394883774,0.8571382245853961,-0.009794833586889373,0.08183299259203168,0.23640918028771776,0.0019416069777898198,0.10971874803829006,0.08771064080161813,0.2109465635715752,0.34673444039330636,4.739454589658197,0.7738663332650241,,0.0,none,1.1506027867923534,0.03176480009428721,
simplex_mae_anchor_l2_0p001,0.3817038521384162,0.419487174105856,0.7697586723327328,0.8571191945184969,-0.00974014244907312,0.07972493299382188,0.22812930475418364,0.0019841371269510894,0.10694032901729784,0.08541560683766708,0.20498274147415824,0.3397543884411367,4.739497119807358,0.7719498466783755,,0.001,none,1.12517215486257,0.05050226262015366,
simplex_mae_anchor_l2_0p003,0.38197324462480703,0.4197832326659369,0.7696334559017398,0.8569050023866479,-0.009470749962682268,0.07429178761968526,0.21411509489230793,0.0009369649848099883,0.09852376814322503,0.07866677046870692,0.18919019904975354,0.31466420232895764,4.738449947665217,0.7663005903750711,,0.003,none,0.9517329196157478,0.07479101402010759,
stack_positive_linear,0.3825090650733487,0.4203720918155831,0.7686515531424373,0.8564497404174896,-0.0089349295141406,0.08687639835885935,0.2445340143906144,0.0005329706261549537,0.11264417404849594,0.09049662724637751,0.21455731835735867,0.36624140946196126,4.738045953306561,0.7848506214743514,,,,,,
stack_huber,0.3826168555047087,0.4204905519861932,0.7682602301054542,0.8563499660407269,-0.0088271390827806,0.09634332719962349,0.26971487182112314,0.015363401189128465,0.12627049108895141,0.10102452449402798,0.24002385520934713,0.49495766175379696,4.752876383869535,0.7943413494446119,,,,,,
simplex_mae_anchor_l2_0p01,0.3827084804622687,0.4205912465280719,0.7692848810958097,0.8562702296596159,-0.008735514125220611,0.06524908716131697,0.1863175967731756,-0.00010794664149052475,0.08495782941681101,0.06745567350960241,0.16454628753958886,0.28510659927388504,4.737405036038916,0.7565862584086889,,0.01,none,0.7235783780120163,0.03995544271794767,
stack_ridge,0.38323521761893287,0.42117012326748055,0.7681841966524076,0.8559543554429018,-0.00820877696855643,0.08836191707686746,0.24826694555945533,-0.0024336424166876537,0.11305367590803517,0.08890155545343954,0.21318860154015046,0.4728339969051407,4.735079340263719,0.7812971404089809,,,,,,
simplex_mae_anchor_l2_0p03,0.38406576188881025,0.422082879758642,0.7680021145440172,0.8551806334800789,-0.007378232698679044,0.04978211264491733,0.13989012015525001,-0.0005398165220394072,0.06261624560759774,0.05016036682787977,0.12279931014556754,0.1984424974882102,4.736973166158368,0.744281405022844,,0.03,none,0.4632993068681432,0.031189443057834693,
simplex_mae_anchor_l2_0p1,0.38634464866398166,0.42458734432736006,0.7653935078726946,0.8532494636373191,-0.005099345923507637,0.03055857379232701,0.08544773998305578,0.00017050334449895136,0.03972521381822619,0.03194490424436942,0.07471736793952921,0.13056953982588748,4.737683486024906,0.7320591324047531,,0.1,none,0.30353916327763464,0.018396365145979924,
simplex_mae_anchor_l2_0p03_cap_0p35,0.3885597337154924,0.4270216916975968,0.7629958063660289,0.8514981296771017,-0.002884260871996891,0.018733842666817664,0.05273977624109525,0.000874454323147355,0.024564397315307285,0.01919687527112983,0.050813900449338215,0.0923806428001237,4.738387437003555,0.7221491197915881,,0.03,0.35,0.2058252427184465,0.009963277093523302,
simplex_mae_anchor_l2_0p3,0.38871420943078333,0.4271914583397523,0.762534134744135,0.8513460831174593,-0.002729785156705966,0.015106340974906768,0.04313787275432451,-0.0006597563867803529,0.019621053452600158,0.015638171547239822,0.03929171331983515,0.06842104381720793,4.736853226293626,0.7220032650897823,,0.3,none,0.14460303871582625,0.008082173658899251,
simplex_mae_anchor_l2_1p0,0.3904323073598908,0.4290796238405214,0.7603602537226809,0.8499282774320809,-0.001011687227598479,0.005491908064001166,0.015916514165302906,-0.00033879324042103946,0.007149415639349261,0.0056592962134672875,0.014480035378188294,0.026490513433134577,4.737174189439986,0.7157034591541773,,1.0,none,0.05086525515456175,0.0030040398758280225,
simplex_mae_anchor_l2_3p0,0.3910712613695804,0.42978182532580034,0.7595240919977344,0.8493303511810129,-0.0003727332179088716,0.0020366748141364835,0.005922294726153056,-4.564088663043631e-05,0.00264961811158494,0.0020900919767334485,0.00527255715833812,0.009927751047810851,4.737467341793776,0.7134703643772864,,3.0,none,0.018482256666243535,0.0013981996040776422,
anchor_current_caruana,0.3914439945874893,0.430191453898842,0.7590252020776732,0.8490307288007375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.737512982680407,0.7122160301036345,stored ens_caruana_bag20 weights,,,,,
simplex_mae_anchor_l2_0p03_cap_0p3,0.3915860336521059,0.430347552836526,0.7591525692109147,0.8489448185177869,0.00014203906461662807,0.008753608502762555,0.026968149523180857,0.0012762692463745688,0.011945123480193486,0.008583364758696631,0.02799485749704738,0.04843285717553458,4.738789251926781,0.7141077145589698,,0.03,0.3,0.1259155610031072,0.013928561158289221,
simplex_mae_anchor_l2_0p03_cap_0p25,0.3954127730947971,0.43455308575389306,0.7541709583152867,0.845783306068617,0.003968778507307813,0.019350688800746613,0.056084139369220375,0.0016420574094210031,0.022352279221483373,0.01732867011108363,0.04464006478108952,0.09778795027681975,4.739155040089827,0.705996977845702,,0.03,0.25,0.24449098283761228,0.005446657629713314,
rank_anchor_isotonic,0.3961415901813573,0.43535404549891116,0.756168488132851,0.8461338945500062,0.004697595593868009,0.0667529568941305,0.1903156749106189,0.02608998708250166,0.11170071559484751,0.07580779239506595,0.2295933010730266,0.6863027686407763,4.763602969762908,0.796064819445507,,,,,,isotonic
rank_uniform_isotonic,0.42205433168701073,0.4638317845802561,0.7213621794286236,0.8242550094007359,0.030610337099521434,0.10986282312244033,0.3077801625180746,0.01750002758380607,0.14988961632627432,0.11357547801044773,0.30308898691040786,0.7540452833980575,4.755013010264213,0.7622465186559237,,,,,,isotonic
rank_anchor_linear,0.4641770632465191,0.5101240751309685,0.7007639183347156,0.8488226929827094,0.07273306865902979,0.24886082943940213,0.47387202401181877,-0.009483878439061916,0.2914933524443882,0.25682142653235046,0.47384559689979433,0.5263344316773315,4.728029104241345,0.8978931540349724,,,,,,linear
rank_uniform_linear,0.4796462461767348,0.5271244899729166,0.6787084913217081,0.8282448329180278,0.0882022515892455,0.24958616512409368,0.5036412516648824,0.003908099551375464,0.2687237650114402,0.2284777094258204,0.4880000798364608,0.6746280697763738,4.741421082231783,0.8655756319622341,,,,,,linear
