slice,n_true,n_false,mae_true,mae_false,delta_mae_true_minus_false,mean_residual_true,mean_residual_false
high_abs_error_top10,414,3726,1.3012032188621576,0.2966318944582298,1.0045713244039278,-0.2887764518762232,0.017181248179909275
overpredicted_bottom10,414,3726,1.086443595609132,0.3204940748196771,0.7659495207894549,-1.086443595609132,0.10581093081689914
underpredicted_top10,414,3726,0.9119250116905288,0.3398850285884108,0.5720399831021179,0.9119250116905288,-0.11623002554972985
near_potent46_t04,73,4067,0.7912680298360301,0.3900137706373905,0.40125425919863955,0.7380629457170493,-0.02690305271594764
high_member_std_top10,414,3726,0.6738368552670202,0.3663392681910229,0.3074975870759973,-0.05220619306544862,-0.009104336132399013
high_family_gap_top10,414,3726,0.6680087386008012,0.36698683670949167,0.30102190189130956,-0.013412165555568714,-0.013414783633496784
chemprop_family_low_vs_non_bottom10,414,3726,0.6612459819515126,0.3677382541149681,0.29350772783654455,-0.1808461606078162,0.005188993594530714
counter_above_main,391,3749,0.62376350316855,0.373448130600532,0.250315372568018,-0.3629121153811021,0.02303614744080993
single_lo_low,108,4032,0.6372757192802103,0.3906554547812587,0.24662026449895164,-0.13710218575844352,-0.010101459398934164
single_hi_low,216,3924,0.6192408623524125,0.3848604854974966,0.23438037685491592,-0.2088148555946152,-0.0026585401503510645
near_potent46_t03,223,3917,0.5046427667173659,0.3909658499827227,0.11367691673464314,0.25270174549341046,-0.028564873526536885
high_tpsa_top10,415,3725,0.47542344954825655,0.3883618361873211,0.08706161336093543,-0.02189137409935071,-0.012470120834143335
high_mw_top10,414,3726,0.47213130153437377,0.3887509963835391,0.08338030515083467,-0.01263883512891267,-0.013500709236458568
high_logp_top10,414,3726,0.45144744032230555,0.39104920318488007,0.06039823713742548,-0.04323790522549777,-0.010100812559060224
chemprop_family_high_vs_non_top10,414,3726,0.4460430873499865,0.39164968684847107,0.05439340050151542,0.15119826946253642,-0.0317048319688418
has_counter,2648,1492,0.37063052492780657,0.4440475478226983,-0.07341702289489171,0.028814847006774655,-0.08836316034340065
has_single_conc_hi,2374,1766,0.3331828176673768,0.48299692084821344,-0.14981410318083666,0.04865234211050069,-0.09684981909894852
has_single_conc_lo,2321,1819,0.31920928643713714,0.4964616918854878,-0.17725240544835064,0.060159266947680874,-0.1072928966157129
