alpha_potent,alpha_noaux,mae,d_mae,sp,d_sp,mean_shift
0.8,0.7,0.3895851451655726,-0.007503881733050055,0.8523884616400474,0.007298733330963425,-0.009716960793474816
0.8,0.5,0.38970141569925315,-0.0073876111993694815,0.8519416332948744,0.006851904985790358,-0.0034187738846525404
0.8,0.3,0.39002938550158456,-0.0070596413970380745,0.8512079848711787,0.006118256562094637,0.002879413024169737
0.5,0.7,0.3901592686878693,-0.006929758210753312,0.8513559877931646,0.00626625948408055,-0.014339470813750999
0.5,0.5,0.3902537516047164,-0.006835275293906207,0.850915371231717,0.00582564292263299,-0.00804128390492872
0.5,0.3,0.39057385879800716,-0.006515168100615476,0.8501705605044356,0.005080832195351603,-0.0017430969961064464
0.8,0.0,0.3909864731739951,-0.006102553724627535,0.8494972127712754,0.004407484462191413,0.012326693387403153
0.5,0.0,0.39151986524889215,-0.005569161649730481,0.8484825552488997,0.003392826939815685,0.007704183367126969
0.3,0.7,0.39203098222002286,-0.005058044678599771,0.8503366400197794,0.005246911710695357,-0.01742114416060179
0.3,0.5,0.3921227124632308,-0.004966314435391805,0.8498874988501737,0.004797770541089652,-0.011122957251779511
0.3,0.3,0.3924319818155563,-0.004657045083066358,0.8491559176105561,0.004066189301472067,-0.004824770342957236
0.3,0.0,0.39336542849553635,-0.003723598403086281,0.8474454446760826,0.002355716366998606,0.00462251002027618
0.0,0.7,0.39578186532047044,-0.001307161578152194,0.8480821390632511,0.0029924107541671185,-0.022043654180877968
0.0,0.5,0.39586946655321953,-0.0012195603454031034,0.8476052205779505,0.0025154922688664927,-0.015745467272055693
0.0,0.3,0.3961774986809638,-0.0009115282176588302,0.8468365259980113,0.0017467976889272707,-0.009447280363233416
0.0,0.0,0.39708902689862263,0.0,0.845089728309084,0.0,0.0
