feature,alpha,n_nonzero,beta_mean,beta_std,mean_shift_nonzero,mae,d_mae,sp,d_sp
nn_relu_03,0.8,219,1.5005852048296309,0.19667028727001695,0.23302516266597742,0.3909864731739951,-0.006102553724627535,0.8494972127712754,0.004407484462191413
nn_relu_04,0.8,73,1.7811286905612824,0.2265247790493275,0.5973500279816015,0.39108972960305455,-0.0059992972955680846,0.8495321498479812,0.004442421538897179
nn_relu_03,0.5,219,1.5005852048296309,0.19667028727001695,0.1456407266662359,0.39151986524889215,-0.005569161649730481,0.8484825552488997,0.003392826939815685
nn_relu_04,0.5,73,1.7811286905612824,0.2265247790493275,0.373343767488501,0.3915699380238822,-0.005519088874740452,0.8484568205109684,0.0033670922018843585
nn_relu_03,1.0,219,1.5005852048296309,0.19667028727001695,0.2912814533324718,0.39166965717493357,-0.00541936972368906,0.8499318096642767,0.004842081355192707
nn_relu_04,1.0,73,1.7811286905612824,0.2265247790493275,0.746687534977002,0.39181234882420046,-0.00527667807442217,0.8500389990819917,0.004949270772907632
near_t04,0.8,73,0.7452924376856044,0.10674423346171714,0.6193683244478593,0.3927214899320662,-0.004367536966556451,0.8478997171500849,0.002809988841000921
near_t04,0.5,73,0.7452924376856044,0.10674423346171714,0.38710520277991206,0.3931068487505279,-0.003982178148094706,0.8474806213049829,0.0023908929958988967
near_t04,1.0,73,0.7452924376856044,0.10674423346171714,0.7742104055598241,0.3933584030046725,-0.0037306238939501246,0.8481390571888635,0.0030493288797794893
nn_relu_03,0.3,219,1.5005852048296309,0.19667028727001695,0.08738443599974152,0.39336542849553635,-0.003723598403086281,0.8474454446760826,0.002355716366998606
nn_relu_04,0.3,73,1.7811286905612824,0.2265247790493275,0.22400626049310055,0.39339199079342047,-0.003697036105202167,0.8474364999003098,0.0023467715912257603
near_t04,0.3,73,0.7452924376856044,0.10674423346171714,0.2322631216679472,0.39434101009328415,-0.0027480168053384824,0.8468882368863394,0.0017985085772553866
nn_relu_03,0.2,219,1.5005852048296309,0.19667028727001695,0.058256290666494355,0.39459396339588926,-0.0024950635027333745,0.8467969791693033,0.0017072508602192782
nn_relu_04,0.2,73,1.7811286905612824,0.2265247790493275,0.14933750699540038,0.39461351777692694,-0.002475509121695696,0.8467909930702961,0.001701264761212129
near_t04,0.2,73,0.7452924376856044,0.10674423346171714,0.15484208111196482,0.3951927916189452,-0.0018962352796774162,0.8464291746368188,0.0013394463277347501
near_t03,0.8,223,0.2547646661173347,0.03849857765673111,0.21041307889042551,0.3956930551890013,-0.0013959717096213575,0.8454685282280944,0.00037879991901035304
near_t03,0.5,223,0.2547646661173347,0.03849857765673111,0.13150817430651596,0.39582325743623464,-0.001265769462387989,0.8457721954298354,0.0006824671207513733
nn_relu_03,0.1,219,1.5005852048296309,0.19667028727001695,0.029128145333247178,0.39584110405220596,-0.0012479228464166714,0.8460156221461813,0.0009258938370972913
nn_relu_04,0.1,73,1.7811286905612824,0.2265247790493275,0.07466875349770019,0.39585127233777473,-0.0012377545608479035,0.8460164678931092,0.0009267395840252268
near_t03,1.0,223,0.2547646661173347,0.03849857765673111,0.2630163486130319,0.39588883422751225,-0.0012001926711103783,0.8450593313933263,-3.039691575768e-05
near_t04,0.1,73,0.7452924376856044,0.10674423346171714,0.07742104055598241,0.3961407413955749,-0.0009482855030477078,0.8458382194983518,0.0007484911892677859
near_t03,0.3,223,0.2547646661173347,0.03849857765673111,0.07890490458390957,0.3961721926700229,-0.0009168342285997277,0.8457081269291257,0.0006183986200416491
near_t03,0.2,223,0.2547646661173347,0.03849857765673111,0.05260326972260638,0.3964369750830886,-0.000652051815534016,0.8455737705337807,0.000484042224696668
near_t03,0.1,223,0.2547646661173347,0.03849857765673111,0.02630163486130319,0.39673385167212477,-0.0003551752264978614,0.8453861094204891,0.00029638111140506407
