feature,base_beta,alpha,n_nonzero,mean_shift_nonzero,mae,d_mae,sp,d_sp
nn_relu_03,1.4894701454165538,0.8,219,0.22385958818086082,0.39005615521205794,-0.00703287168656469,0.8499538206466377,0.004864092337553694
nn_relu_04,1.7692968561260531,0.8,73,0.5766093752443006,0.39021565329121805,-0.006873373607404587,0.8499083511372584,0.004818622828174357
nn_relu_03,1.4894701454165538,1.0,219,0.279824485226076,0.3903993401388522,-0.006689686759770441,0.8503967450436088,0.005307016734524828
nn_relu_04,1.7692968561260531,1.0,73,0.7207617190553757,0.39060667522662257,-0.006482351672000064,0.8503978338096001,0.00530810550051608
nn_relu_03,1.4894701454165538,0.5,219,0.139912242613038,0.3913184870036305,-0.005770539894992155,0.8488609764336078,0.003771248124523785
nn_relu_04,1.7692968561260531,0.5,73,0.36038085952768784,0.3913866403409143,-0.005702386557708328,0.8487915722523443,0.00370184394326023
near_t04,0.7380629457170492,0.8,73,0.5904503565736395,0.39215536061956563,-0.004933666279057003,0.8483833165456813,0.0032935882365973113
near_t04,0.7380629457170492,1.0,73,0.7380629457170491,0.3924093345583307,-0.004679692340291919,0.848579266097248,0.0034895377881639655
near_t04,0.7380629457170492,0.5,73,0.36903147285852456,0.3930110064779562,-0.004078020420666406,0.8479034195125364,0.0028136912034524286
nn_relu_03,1.4894701454165538,0.3,219,0.08394734556782278,0.39344126026939896,-0.00364776662922367,0.8477332294743313,0.002643501165247253
nn_relu_04,1.7692968561260531,0.3,73,0.2162285157166127,0.39347914628202124,-0.003609880616601391,0.8476916827695392,0.0026019544604551914
near_t04,0.7380629457170492,0.3,73,0.22141888371511473,0.3943530398731626,-0.0027359870254600183,0.8471851157048448,0.0020953873957607616
nn_relu_03,1.4894701454165538,0.2,219,0.055964897045215206,0.39465429368994825,-0.002434733208674378,0.8469944895729538,0.0019047612638697364
nn_relu_04,1.7692968561260531,0.2,73,0.14415234381107514,0.39468243982088835,-0.002406587077734279,0.8469863391329778,0.0018966108238938073
near_t04,0.7380629457170492,0.2,73,0.14761258914340988,0.3952096488701263,-0.001879378028496359,0.8466196259877758,0.0015298976786918272
near_t03,0.25270174549341046,0.8,223,0.2021613963947284,0.395528572714783,-0.0015604541838396546,0.8459803080263288,0.0008905797172448215
near_t03,0.25270174549341046,1.0,223,0.25270174549341057,0.3956335361486324,-0.0014554907499902403,0.8456638584784713,0.0005741301693872325
near_t03,0.25270174549341046,0.5,223,0.12635087274670528,0.395747100694209,-0.001341926204413646,0.846085230365371,0.0009955020562869565
nn_relu_03,1.4894701454165538,0.1,219,0.027982448522607603,0.3958711259285784,-0.0012179009700442056,0.8461066756561757,0.001016947347091679
nn_relu_04,1.7692968561260531,0.1,73,0.07207617190553757,0.3958857333597554,-0.0012032935388672228,0.8461000872520926,0.0010103589430086046
near_t03,0.25270174549341046,0.3,223,0.07581052364802313,0.396129169119839,-0.0009598577787836571,0.8458865139140866,0.0007967856050026256
near_t04,0.7380629457170492,0.1,73,0.07380629457170494,0.3961441637072457,-0.0009448631913769323,0.8459287617720008,0.000839033462916805
near_t03,0.25270174549341046,0.2,223,0.0505403490986821,0.3964073437266376,-0.0006816831719850258,0.8456925213678091,0.0006027930587251262
near_t03,0.25270174549341046,0.1,223,0.02527017454934105,0.3967170612057743,-0.0003719656928483084,0.8454450055217202,0.0003552772126361736
