variable,bin,n,value_min,value_max,mae,mean_residual,mean_pec50,mean_pred,mean_member_std
pec50,Q1,831,1.61,3.25,0.6158895725453674,-0.4751745777406558,2.442719614921781,2.917894192662436,0.21195615600050915
pec50,Q2,842,3.26,4.41,0.4358022049819978,-0.10024900857280548,3.945445368171021,4.0456943767438265,0.2597837632636572
pec50,Q3,820,4.42,4.85,0.264511322165817,-0.017202982747241292,4.653115853658537,4.6703188364057775,0.1985760906903789
pec50,Q4,842,4.859999999999999,5.22,0.24842617481698845,0.13471362072487955,5.04189429928741,4.907180678562532,0.1790938502526069
pec50,Q5,805,5.23,7.54855421686747,0.42127298957562853,0.40300769709908324,5.55947025368555,5.156462556586466,0.17616909015599774
pred,Q1,828,2.176777957018139,3.296968847339593,0.5135947681645796,-0.07624410474341192,2.6841243961352657,2.760368500878678,0.1942753670235841
pred,Q2,828,3.299713557206311,4.501520176072722,0.562169195663319,-0.05236155533031852,3.931074879227053,3.9834364345573725,0.32109401490182715
pred,Q3,828,4.501764721777833,4.811319617391789,0.3259038636042663,-0.012211473706369918,4.6622041062801935,4.674415579986563,0.19822367110746036
pred,Q4,828,4.811649284779447,5.094707119349137,0.2966687550214748,0.0027309901880048664,4.953490338164251,4.950759347976247,0.16051997406712742
pred,Q5,828,5.094728628177087,5.883200209349105,0.2871085520394733,0.07101353446357561,5.37317458238752,5.3021610479239465,0.15284232091788305
logp,Q1,828,-5.397200107574463,1.8942999839782715,0.43004709606009406,-0.030703715987391255,3.206642512077295,3.2373462280646854,0.18805786254760543
logp,Q2,828,1.8956999778747559,2.643399953842163,0.4031043142051234,-0.01862546545600603,4.245869565217391,4.264495030673397,0.22678564661900452
logp,Q3,828,2.6435000896453857,3.176340103149414,0.36768606545989885,0.013902967845983908,4.639927536231884,4.6260245683859,0.19419478741025087
logp,Q4,828,3.177000045776367,3.7203800678253174,0.37631466101570765,0.002860093116452899,4.737041062801932,4.73418096968548,0.19571412382302877
logp,Q5,828,3.723299980163574,10.812700271606445,0.4082929977522891,-0.0345064886475594,4.774587625865782,4.809094114513341,0.22220292761799246
tpsa,Q1,831,0.0,50.79999923706055,0.40515981056773415,-0.03875037787449247,4.038784596871239,4.077534974745731,0.1967655664920717
tpsa,Q2,825,50.939998626708984,60.560001373291016,0.33746372430817795,0.006682771063287348,4.6843800657174155,4.677697294654128,0.1837116202813876
tpsa,Q3,829,60.619998931884766,72.18000030517578,0.3644750393564615,0.0006179137555046077,4.559113389626056,4.558495475870551,0.1953851117446132
tpsa,Q4,827,72.19000244140625,87.58000183105469,0.40777727253440044,-0.018054247312541925,4.350024183796856,4.3680784311093985,0.20962174245072318
tpsa,Q5,828,87.62000274658203,340.1199951171875,0.4703763094345505,-0.01742660682097153,3.973852657004831,3.9912792638258026,0.24144120414096323
exactmw,Q1,828,61.052764892578125,306.1368408203125,0.4360699923437356,-0.02637056662191958,3.355954106280193,3.382324672902113,0.19130192885672934
exactmw,Q2,828,306.1379699707031,334.1560363769531,0.3778913527152355,0.008361319894247573,4.466346618357488,4.457985298463241,0.19702456840085628
exactmw,Q3,831,334.1605224609375,355.09906005859375,0.34960205790625887,-0.003549626788181669,4.649771359807461,4.653320986595643,0.18864527223004401
exactmw,Q4,825,355.11322021484375,384.2161560058594,0.4047975337101453,-0.0214418409458921,4.484854545454546,4.506296386400438,0.2121520098617768
exactmw,Q5,828,384.2213134765625,1735.0001220703125,0.41728418142572277,-0.024136721529664357,4.646544147604912,4.670680869134577,0.23791673800772112
fractioncsp3,Q1,877,0.0,0.2222222238779068,0.4442626447839988,-0.0183921847929546,3.9845267958950967,4.002918980688052,0.20799994718108855
fractioncsp3,Q2,824,0.22727273404598236,0.31578946113586426,0.3881368043300739,-0.0067341152976283175,4.458487323078723,4.465221438376351,0.20263897953525173
