train_id,compound_id,molecule_name,smiles,pec50,counter_pec50,counter_emax,counter_emax_vs_pos_ctrl,log2fc_8_25e_6,log2fc_3_30e_5,logp,tpsa,exactmw,fractioncsp3,hba,hbd,num_heavy_atoms,num_heteroatoms,num_rotatable_bonds,num_rings,num_aromatic_rings,num_bridgehead_atoms,murcko_scaffold,pred,residual,abs_error,member_std,member_range,chemprop_family_mean,non_chemprop_mean,family_gap,abs_family_gap,nn_potent46_tanimoto,is_potent46,high_member_std_top10,high_family_gap_top10,chemprop_family_high_vs_non_top10,chemprop_family_low_vs_non_bottom10,high_abs_error_top10,underpredicted_top10,overpredicted_bottom10,has_counter,counter_above_main,has_single_conc_hi,has_single_conc_lo,single_hi_low,single_lo_low,near_potent46_t04,near_potent46_t03,high_logp_top10,high_mw_top10,high_tpsa_top10
1,1,OADMET-0006089,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,5.27,2.26,1.58,0.942,0.5068829713742037,1.179786135551948,3.1221001148223877,32.34000015258789,316.1950988769531,0.6315789222717285,3,1,23,4,1,4,1,0,O=C(c1cccc2c1CNCC2)N1CC2CCCCC2C1,4.8786804939936665,0.39131950600633303,0.39131950600633303,0.1437133687468988,0.47181081771850586,4.85831880569458,4.862352689107259,-0.00403388341267874,0.00403388341267874,0.20689655172413793,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
2,2,OADMET-0006088,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,5.08,3.14,1.73,0.968,0.3619029113373966,1.0317780335174265,2.8018999099731445,52.650001525878906,395.166748046875,0.3636363744735718,5,1,28,6,5,4,2,0,O=C(NC1CCNC1)c1ccccc1SCC(=O)N1CCc2ccccc21,4.499548512986562,0.5804514870134376,0.5804514870134376,0.2032435682449087,0.5897665023803711,4.435484091440837,4.701314210891724,-0.26583011945088675,0.26583011945088675,0.24705882352941178,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
3,3,OADMET-0006087,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1,5.12,4.98,0.821,0.355,0.7219549743334992,1.1455730224731542,2.1410999298095703,66.4800033569336,384.1319274902344,0.6111111044883728,5,1,26,8,5,4,1,0,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2ccccc2)C1,5.102359206005207,0.01764079399479268,0.01764079399479268,0.08512727147417586,0.30760669708251953,5.108477592468262,5.139134407043457,-0.030656814575195312,0.030656814575195312,0.189873417721519,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
4,4,OADMET-0006086,CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12,5.23,1.94,1.57,0.932,0.7086440665378128,1.1419242884751548,3.4203999042510986,66.62999725341797,434.1666564941406,0.21739129722118378,7,0,32,9,3,5,4,0,O=C(c1cccc(-c2ccccc2)c1)N1CCN(c2nccn3cnnc23)CC1,4.542726265342489,0.6872737346575111,0.6872737346575111,0.3219177867811775,0.9611549377441406,4.428371906280518,4.738021930058797,-0.3096500237782793,0.3096500237782793,0.24742268041237114,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,False,True,False
5,5,OADMET-0006085,CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1,5.28,1.85,1.57,0.934,0.8231828685227939,1.400393638875089,3.177000045776367,71.58999633789062,342.1492004394531,0.4444444477558136,6,0,25,7,4,4,2,0,O=C1CCC(c2nc(C3CCC3)no2)=NN1Cc1ccccc1,4.982235862213431,0.2977641377865696,0.2977641377865696,0.13615598027212278,0.513096809387207,4.963225364685059,4.95052695274353,0.01269841194152832,0.01269841194152832,0.2235294117647059,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
6,6,OADMET-0006084,COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1,4.5,1.83,1.56,0.922,0.5688220981118736,1.1578609110273863,2.3376998901367188,64.55000305175781,345.14886474609375,0.3888888955116272,6,0,25,7,5,3,2,0,O=C(c1cncnc1)N1CCC(Cc2ccccc2)C1,4.371018732404246,0.128981267595754,0.128981267595754,0.2889494490105923,0.9617190361022949,4.259027004241943,4.506453116734822,-0.24742611249287894,0.24742611249287894,0.2625,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
7,7,OADMET-0006083,CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1,4.66,2.15,1.58,0.902,0.8821222933077013,1.423858809543875,3.2574000358581543,102.33000183105469,442.16748046875,0.5,8,0,31,9,7,5,3,0,c1ccc(C2(c3nc(Cc4cnc(C5CC5)o4)no3)CCNCC2)cc1,5.188708260452863,-0.5287082604528628,0.5287082604528628,0.10584312950813234,0.31763124465942383,5.166727701822917,5.14225967725118,0.024468024571737246,0.024468024571737246,0.25287356321839083,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True
8,8,OADMET-0006082,Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F,5.18,1.86,1.56,0.926,0.6474783613029096,1.2044746684163088,3.532099962234497,42.7400016784668,332.1812438964844,0.5555555820465088,4,1,24,6,3,4,2,0,c1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1,4.170579633782211,1.009420366217789,1.009420366217789,0.20365710845610685,0.6267440319061279,4.1877366701761884,3.944761792818705,0.24297487735748335,0.24297487735748335,0.18181818181818182,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False
9,9,OADMET-0006081,CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1,4.31,1.94,1.57,0.93,0.4613723910260878,0.9972364368874737,1.8335000276565552,87.30000305175781,351.1616516113281,0.5882353186607361,6,3,24,7,5,3,1,0,O=C(NCc1ccccc1)NCC1CC2(CC2)S(=O)(=O)N1,4.449026929753498,-0.1390269297534985,0.1390269297534985,0.25486957959866435,0.8092951774597168,4.390371799468994,4.527983109156291,-0.13761130968729685,0.13761130968729685,0.2602739726027397,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
10,10,OADMET-0006080,Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12,4.24,6.14,0.838,0.325,0.913145259885848,1.7872669186980257,3.7807199954986572,78.33999633789062,361.15386962890625,0.30000001192092896,7,0,27,7,2,5,4,0,c1ccc2c(c1)OCCC2c1nc(-c2ccc3nncn3c2)no1,4.9737269038135565,-0.7337269038135563,0.7337269038135563,0.14009580294461824,0.48194217681884766,4.987284819285075,4.818425258000691,0.16885956128438373,0.16885956128438373,0.18518518518518517,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False
