candidate,fit_mask,mae,spearman,mean_pred,mean_residual,n_fit_total,delta_mae_vs_raw,delta_spearman_vs_raw
affine_fit_all_train_eval_all,all_train,0.39619286535932857,0.8445920036206894,4.320629437538905,0.00018422289995307777,4140.0,-0.0008961615392940603,-0.0004977246883945963
affine_fit_all_train_eval_same_mask,all_train,0.39619286535932857,0.8445920036206894,4.320629437538905,0.00018422289995307777,4140.0,-0.0008961615392940603,-0.0004977246883945963
raw,none,0.39708902689862263,0.845089728309084,4.33422818226456,-0.01341452182570398,,,
affine_fit_family_gap_top10_eval_all,family_gap_top10,0.40993188130661673,0.843622830320747,4.383727411775899,-0.06291375133704208,414.0,0.012842854407994098,-0.0014668979883369904
affine_fit_no_counter_eval_all,no_counter,0.4117186720391794,0.8444383284781803,4.238611971372808,0.08220168906604845,1492.0,0.014629645140556757,-0.0006513998309036761
affine_fit_no_single_hi_eval_all,no_single_hi,0.4119283675034719,0.8445023541926526,4.234249889623758,0.08656377081509944,1766.0,0.01483934060484926,-0.0005873741164313939
affine_fit_no_single_lo_eval_all,no_single_lo,0.41319893328827695,0.8446257730389943,4.225803714363263,0.09500994607559456,1819.0,0.016109906389654316,-0.00046395527008968873
affine_fit_member_std_top10_eval_all,member_std_top10,0.41944008461691334,0.843818304319352,4.375188871804044,-0.05437521136518752,414.0,0.022351057718290712,-0.0012714239897320123
affine_fit_no_aux_all_eval_all,no_aux_all,0.43919286197426366,0.8440957623294512,4.174458127093318,0.14635553334553963,1294.0,0.04210383507564103,-0.0009939659796328604
affine_fit_no_counter_eval_same_mask,no_counter,0.4449667547779287,0.8419652647590576,3.5818496121942505,-0.0013479002526504522,1492.0,0.0009192069552304005,-0.0022278294124468134
affine_fit_no_aux_all_eval_same_mask,no_aux_all,0.45481589480891593,0.7897729390806444,3.3788587465604634,-0.0020553816324358322,1294.0,-0.0024795592718537263,-0.00364179809951104
affine_fit_no_single_hi_eval_same_mask,no_single_hi,0.4851476193207978,0.8171134549108174,3.6355413707718216,0.0009017516612856707,1766.0,0.002150698472584367,-0.0027534977266158167
affine_fit_no_single_lo_eval_same_mask,no_single_lo,0.49829565396263353,0.8082873056808515,3.6166335050495038,0.0011254582362944627,1819.0,0.0018339620771457565,-0.0026598001168860463
affine_fit_family_gap_top10_eval_same_mask,family_gap_top10,0.6689769582046794,0.7356743700942822,3.9248659037554194,0.0020302315102809177,414.0,0.0009682196038781621,-0.0054603867024834996
affine_fit_member_std_top10_eval_same_mask,member_std_top10,0.6712169143222897,0.7035826501690764,3.84045996449296,0.0034772335746730914,414.0,-0.0026199409447305033,-0.0036774573137979827
