corr_cap,bag_frac,n_bags,init_top_n,blend_lambda,pool_size,nonzero_weights,candidate_raw_mae,candidate_cal_mae,candidate_cal_sp,candidate_resid_r_vs_id48,id48_proxy_mae,id48_proxy_sp,blend_proxy_mae,blend_proxy_sp,delta_proxy_mae,delta_proxy_sp,test_mean_shift_vs_id48,test_mean_abs_shift_vs_id48,test_p90_abs_shift_vs_id48,test_max_abs_shift_vs_id48,test_pearson_vs_id48,top_weights_json
1.01,0.7,40,1,0.4,51,11,0.38749903389848495,0.3856884015636218,0.8561529883510983,0.9770413872192295,0.3990535282803186,0.8425250499626794,0.39085633442655504,0.8500202900809879,-0.008197193853763551,0.007495240118308488,-0.05089076181210312,0.06024744800742542,0.11865196247487175,0.1774061713031836,0.9977925931621533,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.371900826446281], [""tabpfn_chemprop_family_meta_umap"", 0.2956611570247934], [""lgbm_mordred_singleconc_umap_default"", 0.24256198347107438], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.03347107438016529], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.03161157024793389], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.011983471074380166], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.005785123966942148], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003925619834710744]]"
1.01,0.7,40,3,0.4,51,13,0.38757488464876944,0.38573827254300375,0.8561402339936072,0.9769505365735385,0.3990535282803186,0.8425250499626794,0.3908754917675626,0.850037106086943,-0.008178036512756004,0.007512056124263644,-0.05127513747309852,0.06064616788764175,0.11870992344637764,0.17872309590231783,0.9977755475210538,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.3642276422764228], [""tabpfn_chemprop_family_meta_umap"", 0.2910569105691057], [""lgbm_mordred_singleconc_umap_default"", 0.24451219512195121], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.034552845528455285], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.030894308943089432], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.01402439024390244], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.011178861788617886], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003658536585365854]]"
1.01,0.7,20,1,0.4,51,8,0.387382723874321,0.3856584312138605,0.8560143658465743,0.9779886464942527,0.3990535282803186,0.8425250499626794,0.3909335639511827,0.8498789671391622,-0.008119964329135865,0.007353917176482816,-0.04885798900728208,0.05802392217140863,0.11496381176772524,0.1724442374055517,0.9979151477299997,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.38925619834710745], [""tabpfn_chemprop_family_meta_umap"", 0.31694214876033056], [""lgbm_mordred_singleconc_umap_default"", 0.2322314049586777], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.030578512396694214], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.024793388429752067], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.004132231404958678], [""tabpfn_kermt_pretrain_embed_seed5ens_umap_default"", 0.001652892561983471], [""tabpfn_chemprop_pretrain_embed_umap_default"", 0.00041322314049586776]]"
1.01,0.7,20,3,0.4,51,13,0.38745462498922645,0.38570364979569277,0.8560239952021439,0.9779333890748,0.3990535282803186,0.8425250499626794,0.39095501799287635,0.8498944003717206,-0.00809851028744224,0.0073693504090411865,-0.049150606352280614,0.05831813556529785,0.11564861170011798,0.172747451304482,0.9979042865781688,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.3821138211382114], [""tabpfn_chemprop_family_meta_umap"", 0.31178861788617884], [""lgbm_mordred_singleconc_umap_default"", 0.23373983739837398], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.02967479674796748], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.026829268292682926], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.006097560975609756], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003658536585365854], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.0020325203252032522]]"
1.01,0.7,40,1,0.3,51,11,0.38749903389848495,0.3856884015636218,0.8561529883510983,0.9770413872192295,0.3990535282803186,0.8425250499626794,0.3925357960905326,0.8484369733622292,-0.0065177321897860185,0.005911923399549823,-0.038168071359077606,0.04518558600556926,0.08898897185615412,0.13305462847738792,0.998766188097555,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.371900826446281], [""tabpfn_chemprop_family_meta_umap"", 0.2956611570247934], [""lgbm_mordred_singleconc_umap_default"", 0.24256198347107438], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.03347107438016529], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.03161157024793389], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.011983471074380166], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.005785123966942148], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003925619834710744]]"
1.01,0.7,40,3,0.3,51,13,0.38757488464876944,0.38573827254300375,0.8561402339936072,0.9769505365735385,0.3990535282803186,0.8425250499626794,0.3925485311627984,0.848451549517117,-0.006504997117520173,0.005926499554437581,-0.03845635310482415,0.0454846259157315,0.08903244258478403,0.1340423219267386,0.9987568053739283,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.3642276422764228], [""tabpfn_chemprop_family_meta_umap"", 0.2910569105691057], [""lgbm_mordred_singleconc_umap_default"", 0.24451219512195121], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.034552845528455285], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.030894308943089432], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.01402439024390244], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.011178861788617886], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003658536585365854]]"
1.01,0.7,20,1,0.3,51,8,0.387382723874321,0.3856584312138605,0.8560143658465743,0.9779886464942527,0.3990535282803186,0.8425250499626794,0.39261261949900045,0.84832821852631,-0.006440908781318144,0.005803168563630612,-0.0366434917554618,0.04351794162855664,0.08622285882579438,0.12933317805416333,0.9988340751820213,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.38925619834710745], [""tabpfn_chemprop_family_meta_umap"", 0.31694214876033056], [""lgbm_mordred_singleconc_umap_default"", 0.2322314049586777], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.030578512396694214], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.024793388429752067], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.004132231404958678], [""tabpfn_kermt_pretrain_embed_seed5ens_umap_default"", 0.001652892561983471], [""tabpfn_chemprop_pretrain_embed_umap_default"", 0.00041322314049586776]]"
1.01,0.7,20,3,0.3,51,13,0.38745462498922645,0.38570364979569277,0.8560239952021439,0.9779333890748,0.3990535282803186,0.8425250499626794,0.3926273682927166,0.8483281668615058,-0.006426159987601987,0.005803116898826399,-0.03686295476421072,0.04373860167397356,0.0867364587750883,0.12956058847836127,0.9988281171180795,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.3821138211382114], [""tabpfn_chemprop_family_meta_umap"", 0.31178861788617884], [""lgbm_mordred_singleconc_umap_default"", 0.23373983739837398], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.02967479674796748], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.026829268292682926], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.006097560975609756], [""chemprop_pretrain_finetune_frozen_ultrlowlr_umap"", 0.003658536585365854], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.0020325203252032522]]"
1.01,0.5,40,1,0.4,51,18,0.3905172003047975,0.38883730114171916,0.8535556769584111,0.9842041850102184,0.3990535282803186,0.8425250499626794,0.39307323211154926,0.8483045987476031,-0.005980296168769328,0.005779548784923705,-0.03849043333203905,0.04733223410564836,0.09061473481807276,0.15864198547686348,0.9985417777510819,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.2762396694214876], [""tabpfn_chemprop_family_meta_umap"", 0.1847107438016529], [""lgbm_mordred_singleconc_umap_default"", 0.18388429752066116], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.11921487603305785], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.08574380165289257], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.07995867768595041], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.042355371900826444], [""tabpfn_kermt_pretrain_embed_umap_default"", 0.00743801652892562]]"
1.01,0.5,40,3,0.4,51,23,0.3906076547089877,0.3889218501468979,0.8535308305845293,0.9840994863317764,0.3990535282803186,0.8425250499626794,0.3930998768362168,0.848302676157331,-0.005953651444101815,0.005777626194651608,-0.038738155607032636,0.047647715326574726,0.09068709973617502,0.15883623532143343,0.9985251135595188,"[[""tabpfn_cheme_2d_full_boltz_log2fc_pred_optuna_trial10_seed5ens_umap_default"", 0.27215447154471545], [""lgbm_mordred_singleconc_umap_default"", 0.18495934959349594], [""tabpfn_chemprop_family_meta_umap"", 0.18170731707317073], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed10ens_umap_default"", 0.12052845528455285], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed5ens_umap_default"", 0.08617886178861789], [""tabpfn_cheme_2d_full_boltz_log2fc_pred_seed15ens_umap_default"", 0.08048780487804878], [""tabpfn_chemprop_pretrain_optuna_trial10_embed_umap"", 0.041463414634146344], [""tabpfn_kermt_pretrain_embed_umap_default"", 0.007520325203252033]]"
