split,fold,n_val,pec50_mean,pec50_std,pec50_top20_frac,potent46_count,test_nn_mean,test_nn_ge_025_frac,potent_nn_ge_025_frac,adv_p_test_mean,adv_top20_frac,log2fc33_mean,log2fc33_top20_frac,chembl_nn_ge_030_count
umap_canonical,0,831,4.37887484957882,1.1427520802206497,0.22021660649819494,16,0.2926525680462152,0.7256317689530686,0.2743682310469314,0.05875946344870143,0.23826714801444043,1.0233624308705151,0.26714801444043323,34
umap_canonical,1,830,4.210558499056467,1.1831260652720574,0.1963855421686747,4,0.2916413325067806,0.7397590361445783,0.22409638554216868,0.048909842360036156,0.23012048192771084,0.9082754352296905,0.20843373493975903,36
umap_canonical,2,829,4.289704463208685,1.0387053283635725,0.17611580217129072,7,0.2770775123837962,0.6779252110977081,0.218335343787696,0.029870035210306563,0.16284680337756333,0.8700958747137001,0.14837153196622438,17
umap_canonical,3,818,4.459578239608802,1.007055786939412,0.20537897310513448,9,0.2753453247735484,0.6919315403422983,0.1491442542787286,0.02666731654240799,0.1271393643031785,1.0065971292739775,0.20537897310513448,38
umap_canonical,4,832,4.267379807692308,1.2060684843348903,0.21033653846153846,10,0.2860704607551012,0.6670673076923077,0.21394230769230768,0.05587427773118144,0.2403846153846154,0.8876282457321605,0.17067307692307693,36
mixed_analog_t20,0,829,4.31111580217129,1.1351994668642293,0.19903498190591074,10,0.2840930136987009,0.7008443908323281,0.22074788902291917,0.04503893803677473,0.20386007237635706,0.925840723051648,0.1942098914354644,34
mixed_analog_t20,1,828,4.376678743961353,1.1276025205863818,0.22946859903381642,9,0.28796786261895035,0.7306763285024155,0.20169082125603865,0.04418087450561983,0.2041062801932367,0.9457351558606685,0.19444444444444445,28
mixed_analog_t20,2,828,4.353762077294686,1.0844947982854203,0.19806763285024154,9,0.2849720484002767,0.7041062801932367,0.23429951690821257,0.04870306828023137,0.23067632850241546,0.9746968692166063,0.2318840579710145,35
mixed_analog_t20,3,828,4.308603326348874,1.1045259715423859,0.19927536231884058,9,0.2850666378814643,0.6835748792270532,0.20531400966183574,0.04544905558264132,0.1932367149758454,0.930374420628712,0.18840579710144928,34
mixed_analog_t20,4,827,4.2538391777509075,1.153626918602904,0.1825876662636034,9,0.28083968072576915,0.6831922611850061,0.218863361547763,0.03701427351448569,0.16807738814993953,0.9183866108495724,0.19105199516324062,30
mixed_analog_t25,0,829,4.358841978287093,1.1129732822181075,0.1942098914354644,10,0.28559638053141523,0.7358262967430639,0.21712907117008443,0.04083734348144821,0.18938480096501809,0.945441581861007,0.19782870928829915,29
mixed_analog_t25,1,828,4.355851449275362,1.1179068066928182,0.2318840579710145,9,0.28837778580683493,0.6968599033816425,0.21618357487922704,0.051356962434176506,0.21014492753623187,0.9591277828766258,0.2318840579710145,30
mixed_analog_t25,2,828,4.327739799778826,1.1118127193279552,0.1956521739130435,9,0.28480866133696775,0.7053140096618358,0.21618357487922704,0.04514814311254711,0.21618357487922704,0.9422755651417805,0.19202898550724637,31
mixed_analog_t25,3,828,4.2618417874396135,1.1445375056779272,0.18840579710144928,9,0.28318015987322126,0.6751207729468599,0.21618357487922704,0.04202126850969316,0.18719806763285024,0.9196787536859058,0.1678743961352657,42
