split,n_val_mean,n_val_min,n_val_max,pec50_mean,pec50_std_mean,pec50_top20_frac,pec50_top20_frac_std,potent46_count_mean,test_nn_ge_025_frac,test_nn_ge_025_frac_std,adv_p_test_mean,adv_top20_frac,adv_top20_frac_std,log2fc33_top20_frac,log2fc33_top20_frac_std,chembl_nn_ge_030_count_mean
public_adv_top513,513.0,513,513,4.856907513093309,0.9610514086086744,0.36062378167641324,0.0,34.0,0.9571150097465887,0.0,0.27328375970716035,1.0,0.0,0.2884990253411306,0.0,26.0
public_adv_top849,849.0,849,849,4.769120794130586,0.9560059851793667,0.32273262661955243,0.0,36.0,0.9187279151943463,0.0,0.18343067707754246,0.9752650176678446,0.0,0.26148409893992935,0.0,35.0
public_hybrid_nolabel_top513,513.0,513,513,5.0868031189083815,0.6940627914156999,0.40545808966861596,0.0,34.0,1.0,0.0,0.2284574730219122,0.8187134502923976,0.0,0.4249512670565302,0.0,31.0
public_hybrid_with_y_top513,513.0,513,513,5.324139481904226,0.479544336297621,0.5555555555555556,0.0,35.0,1.0,0.0,0.21797253115172327,0.7738791423001949,0.0,0.4951267056530214,0.0,29.0
public_adv_top1200,1200.0,1200,1200,4.673332128514056,0.9988189650815654,0.2925,0.0,38.0,0.8841666666666667,0.0,0.13725840071384454,0.69,0.0,0.245,0.0,48.0
public_hybrid_nolabel_top849,849.0,849,849,4.942619027346134,0.7759908125862088,0.35335689045936397,0.0,35.0,1.0,0.0,0.16479127931199794,0.6819787985865724,0.0,0.36866902237926974,0.0,46.0
public_hybrid_with_y_top849,849.0,849,849,5.206099592717158,0.4974563480398701,0.4793875147232038,0.0,36.0,0.9976442873969376,0.0,0.15688364281276482,0.6230859835100118,0.0,0.42285041224970554,0.0,46.0
public_testnn_top513,513.0,513,513,4.717582846003898,1.0707597630532797,0.34307992202729043,0.0,35.0,1.0,0.0,0.19932251931747413,0.571150097465887,0.0,0.2787524366471735,0.0,29.0
public_hybrid_nolabel_top1200,1200.0,1200,1200,4.84332796184739,0.8390707609669317,0.325,0.0,36.0,0.9975,0.0,0.12709757932257615,0.5608333333333333,0.0,0.3275,0.0,64.0
public_hybrid_with_y_top1200,1200.0,1200,1200,5.11519046184739,0.5557420841088853,0.425,0.0,38.0,0.98,0.0,0.12303723017812071,0.53,0.0,0.38,0.0,66.0
public_testnn_top849,849.0,849,849,4.612444051825677,1.042724402114334,0.2791519434628975,0.0,35.0,1.0,0.0,0.1394089529515715,0.4817432273262662,0.0,0.2497055359246172,0.0,37.0
public_testnn_top1200,1200.0,1200,1200,4.539204166666667,1.0479071302413434,0.24666666666666667,0.0,35.0,1.0,0.0,0.10960009390170114,0.42083333333333334,0.0,0.23333333333333334,0.0,58.0
public_log2fc_top513,513.0,513,513,5.1860331384015605,0.46507791357639905,0.46393762183235865,0.0,13.0,0.7348927875243665,0.0,0.07475417384120006,0.2807017543859649,0.0,1.0,0.0,23.0
public_log2fc_top1200,1200.0,1200,1200,5.122661295180723,0.47194816688032576,0.42583333333333334,0.0,21.0,0.7408333333333333,0.0,0.06341554812128512,0.2625,0.0,0.69,0.0,47.0
public_log2fc_top849,849.0,849,849,5.159156129819633,0.47090102270391027,0.45229681978798586,0.0,18.0,0.7467608951707891,0.0,0.06891408984819508,0.25677267373380447,0.0,0.9752650176678446,0.0,41.0
test_nn_t30,828.0,827,829,4.32081392396028,1.1218983454613385,0.20169822741434756,0.013331191739541988,9.2,0.7004791313371495,0.016173476022422393,0.04407873181495332,0.20000945843327914,0.01776588184748216,0.19999981714494258,0.015191888435627443,32.2
mixed_analog_t25,828.0,827,829,4.32079938022341,1.1214874736945866,0.20169181092820881,0.017262693271098504,9.2,0.700471838626487,0.022667715696066147,0.044079227428551006,0.2000018630781189,0.012745798160123563,0.20000303630999028,0.023585159452991538,32.2
adversarial_top849,828.0,827,829,4.320823279902614,1.1215840792249208,0.20169561283365156,0.013219671769253469,9.2,0.700482042925193,0.010596931201379842,0.044079601201752486,0.20000128245165522,0.0028863249463793477,0.19999924074634148,0.0036279075481367184,32.2
adversarial_top1200,828.0,828,828,4.320813660438857,1.1208295919042215,0.20169082125603865,0.011489310139154859,9.2,0.7004830917874396,0.02086612625986837,0.04407918030871442,0.2,0.00918192164673827,0.2,0.019202518757827816,32.2
test_nn_t25,828.0,828,828,4.320813660438857,1.121402684881996,0.20169082125603865,0.013312444254256406,9.2,0.7004830917874396,0.0,0.044079180308714425,0.2,0.013024453830476228,0.2,0.011251994878117979,32.2
test_nn_t20,828.0,827,829,4.32079544249839,1.1213591634630127,0.2016878388512965,0.01773085269793893,9.2,0.7004780810656153,0.02767384700645249,0.044078542073456496,0.19999790438943812,0.009923727392340988,0.199996721292554,0.02336282551201137,32.2
adversarial_top513,828.0,827,829,4.3208006272367685,1.1216906414520842,0.20168551423151046,0.007842834582712625,9.2,0.7004891622934889,0.014652319790325451,0.044076856324230904,0.19999644542451936,0.013194028041793912,0.19999615194039058,0.018360553385020108,32.2
mixed_analog_t30,828.0,827,830,4.320747275553307,1.1206041016448254,0.20168399952417598,0.007687543206878265,9.2,0.7004687003791636,0.021192088594159074,0.04407637726783246,0.19999435429056783,0.011838912923864263,0.20000483732172789,0.007388348814073789,32.2
mixed_analog_t20,828.0,827,829,4.320799825505422,1.1210899351762642,0.20168684847448254,0.01704809966518646,9.2,0.700478827988008,0.019427750503851718,0.04407724198395059,0.19999135683955882,0.022569856137615574,0.19999923722312266,0.017996354046870677,32.2
umap_canonical,828.0,818,832,4.321219171829016,1.1155415490261162,0.20168669248096666,0.016686694632581402,9.2,0.7004629728459922,0.031119348420599144,0.04401618705852671,0.1997516826015017,0.0516992726115135,0.2000010662749256,0.045095687717846555,32.2
public_chembl_ext_nn_ge025,790.0,790,790,4.403922220527681,1.1116185521024968,0.21645569620253163,0.0,11.0,0.7708860759493671,0.0,0.05064893529982058,0.19746835443037974,0.0,0.2481012658227848,0.0,161.0
