tag,as2_count
tag_htchem_top500_lift_candidate,135
tag_htchem_vs_lf_high,98
tag_potent_neighbor_low_support,87
tag_htchem_pred_high_q80,70
tag_htchem_mixed_cluster,44
tag_high_lf_saturated,37
tag_htchem_pred_very_high_q90,30
tag_htchem_activity_top_as1_decile,30
tag_member_disagreement,24
tag_high_lf_but_not_high_pred,22
tag_htchem_active_neighbor,20
tag_htchem_near_ge_050,20
tag_htchem_near_ge_060,11
tag_low_lf_high_pred,0
tag_as1_mid_case_like,0
tag_as1_low_case_like,0
tag_as1_high_case_like,0
