slice,n,frac,mean_shift,mean_abs_shift,p90_abs_shift,max_abs_shift,n_abs_gt_005,n_abs_gt_010,candidate
all_test,513,1.0,-0.028547384894025054,0.20687042233397257,0.6159963077624417,2.875959352467861,224,202,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS1,253,0.49317738791423,-0.051590919662223914,0.4065659854303302,0.9012943444155697,2.875959352467861,221,202,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS2,260,0.50682261208577,-0.006124252984970005,0.012551278244055301,0.02510442660397003,0.06299366772535997,3,0,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS2_overall_risk_ge_0p80,26,0.050682261208576995,-0.006866295191596146,0.008798429162601488,0.015702982131731824,0.02956691582234683,0,0,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS2_tag_potent_neighbor_low_support,87,0.1695906432748538,-0.00464936606508397,0.010543183630417709,0.01925049171626414,0.06060194745444081,1,0,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS2_tag_high_lf_saturated,37,0.07212475633528265,-0.007082218959571888,0.01000688529612285,0.018936509001403756,0.021346057074575597,0,0,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS2_tag_high_lf_but_not_high_pred,22,0.042884990253411304,-0.006408526892020165,0.009648416024889327,0.015411126074938332,0.02956691582234683,0,0,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
AS2_tag_member_disagreement,24,0.04678362573099415,0.001221213250334326,0.023003960418272185,0.04650351436126043,0.06060194745444081,1,0,phase2_as1_aug_top500_id55blend_a0p1_labels_as1
all_test,513,1.0,-0.031651294788941645,0.21323169395864,0.6159963077624417,2.875959352467861,248,205,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS1,253,0.49317738791423,-0.051590919662223914,0.4065659854303302,0.9012943444155697,2.875959352467861,221,202,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS2,260,0.50682261208577,-0.012248505969940053,0.025102556488110633,0.0502088532079425,0.12598733545071994,27,3,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS2_overall_risk_ge_0p80,26,0.050682261208576995,-0.013732590383192292,0.017596858325202976,0.03140596426346365,0.059133831644694546,1,0,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS2_tag_potent_neighbor_low_support,87,0.1695906432748538,-0.009298732130167919,0.021086367260835327,0.03850098343252926,0.12120389490888117,6,1,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS2_tag_high_lf_saturated,37,0.07212475633528265,-0.014164437919143512,0.020013770592245628,0.03787301800280805,0.042692114149151195,0,0,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS2_tag_high_lf_but_not_high_pred,22,0.042884990253411304,-0.012817053784040532,0.019296832049778855,0.030822252149875863,0.059133831644694546,1,0,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
AS2_tag_member_disagreement,24,0.04678362573099415,0.002442426500668634,0.04600792083654424,0.09300702872252085,0.12120389490888117,11,1,phase2_as1_aug_top500_id55blend_a0p2_labels_as1
all_test,513,1.0,-0.03475520468385824,0.21959296558330743,0.6159963077624417,2.875959352467861,281,219,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS1,253,0.49317738791423,-0.051590919662223914,0.4065659854303302,0.9012943444155697,2.875959352467861,221,202,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS2,260,0.50682261208577,-0.018372758954910112,0.03765383473216601,0.07531327981191334,0.1889810031760799,60,17,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS2_overall_risk_ge_0p80,26,0.050682261208576995,-0.020598885574788436,0.02639528748780467,0.047108946395195916,0.08870074746704137,2,0,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS2_tag_potent_neighbor_low_support,87,0.1695906432748538,-0.013948098195251873,0.03162955089125312,0.05775147514879322,0.1818058423633211,12,4,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS2_tag_high_lf_saturated,37,0.07212475633528265,-0.02124665687871533,0.030020655888368452,0.05680952700421144,0.0640381712237259,6,0,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS2_tag_high_lf_but_not_high_pred,22,0.042884990253411304,-0.01922558067606094,0.028945248074668504,0.046233378224814284,0.08870074746704137,2,0,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
AS2_tag_member_disagreement,24,0.04678362573099415,0.003663639751002997,0.06901188125481635,0.13951054308378072,0.1818058423633211,13,9,phase2_as1_aug_top500_id55blend_a0p3_labels_as1
all_test,513,1.0,-0.03785911457877487,0.22595423720797483,0.6159963077624417,2.875959352467861,324,229,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS1,253,0.49317738791423,-0.051590919662223914,0.4065659854303302,0.9012943444155697,2.875959352467861,221,202,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS2,260,0.50682261208577,-0.02449701193988022,0.050205112976221336,0.10041770641588456,0.2519746709014403,103,27,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS2_overall_risk_ge_0p80,26,0.050682261208576995,-0.027465180766384687,0.035193716650406194,0.06281192852692774,0.11826766328938909,6,1,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS2_tag_potent_neighbor_low_support,87,0.1695906432748538,-0.018597464260335955,0.04217273452167077,0.07700196686505771,0.2424077898177619,24,6,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS2_tag_high_lf_saturated,37,0.07212475633528265,-0.02832887583828736,0.0400275411844914,0.07574603600561573,0.0853842282983015,13,0,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS2_tag_high_lf_but_not_high_pred,22,0.042884990253411304,-0.025634107568081307,0.03859366409955787,0.061644504299752614,0.11826766328938909,7,1,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
AS2_tag_member_disagreement,24,0.04678362573099415,0.004884853001337286,0.09201584167308846,0.1860140574450415,0.2424077898177619,15,11,phase2_as1_aug_top500_id55blend_a0p4_labels_as1
all_test,513,1.0,-0.04096302447369144,0.23231550883264226,0.6159963077624417,2.875959352467861,347,236,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS1,253,0.49317738791423,-0.051590919662223914,0.4065659854303302,0.9012943444155697,2.875959352467861,221,202,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS2,260,0.50682261208577,-0.030621264924850223,0.06275639122027664,0.1255221330198566,0.3149683386268003,126,34,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS2_overall_risk_ge_0p80,26,0.050682261208576995,-0.034331475957980695,0.04399214581300755,0.07851491065865956,0.14783457911173592,6,1,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS2_tag_potent_neighbor_low_support,87,0.1695906432748538,-0.023246830325419833,0.052715918152088495,0.09625245858132185,0.30300973727220315,33,8,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS2_tag_high_lf_saturated,37,0.07212475633528265,-0.035411094797859054,0.050034426480614104,0.09468254500701949,0.1067302853728771,16,1,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS2_tag_high_lf_but_not_high_pred,22,0.042884990253411304,-0.03204263446010139,0.048242080124447195,0.07705563037469015,0.14783457911173592,8,2,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
AS2_tag_member_disagreement,24,0.04678362573099415,0.006106066251671723,0.11501980209136076,0.23251757180630162,0.30300973727220315,17,11,phase2_as1_aug_top500_id55blend_a0p5_labels_as1
