setting,fold,n,mae,bias_pred_minus_true,spearman,pred_mean,true_mean
no_htchem,0,873,0.5188319839466379,0.04439071526635982,0.6230886405879892,4.5280046900659014,4.483613974799542
no_htchem,1,873,0.5837935075595521,0.05630148715958588,0.6000816704290858,4.484266612264817,4.427965125105232
no_htchem,2,879,0.5590272809551149,0.05532632588922173,0.7178666783970594,4.277851923158846,4.222525597269625
no_htchem,3,886,0.6206110673797907,0.17442037876039498,0.7121774010750438,4.282326699302156,4.107906320541761
no_htchem,4,882,0.593061011653091,0.0392747918336867,0.6593023976488739,4.503192025393777,4.463917233560091
htchem_w0p1,0,873,0.5245197691290688,0.016011953567405226,0.619334301455448,4.499625928366947,4.483613974799542
htchem_w0p1,1,873,0.5870681296712662,0.036586912743477716,0.6014869480474769,4.464552037848709,4.427965125105232
htchem_w0p1,2,879,0.5561824919647763,0.03870415794497235,0.7271329635353523,4.261229755214597,4.222525597269625
htchem_w0p1,3,886,0.6141985673949854,0.130172890638318,0.7051983899213591,4.238079211180079,4.107906320541761
htchem_w0p1,4,882,0.5998295632464359,0.0025791715727633835,0.6506688977473942,4.466496405132855,4.463917233560091
htchem_w0p3,0,873,0.5158835177648934,0.011189061143626873,0.6272469009470809,4.4948030359431685,4.483613974799542
htchem_w0p3,1,873,0.5847980960370457,0.03668527767267651,0.6024099029394048,4.464650402777909,4.427965125105232
htchem_w0p3,2,879,0.5503165029213429,0.047717616738561695,0.7263640132152734,4.270243214008186,4.222525597269625
htchem_w0p3,3,886,0.6204206835520967,0.15736391808671385,0.7060918170169952,4.265270238628474,4.107906320541761
htchem_w0p3,4,882,0.5953101726270447,0.002165473594806055,0.653905326664113,4.4660827071548965,4.463917233560091
htchem_w0p5,0,873,0.5206781883666298,0.011823182774679666,0.6170998839001354,4.495437157574221,4.483613974799542
htchem_w0p5,1,873,0.585756216943861,0.036290760343772085,0.6094968654415321,4.4642558854490035,4.427965125105232
htchem_w0p5,2,879,0.5500293808527235,0.047424268209751604,0.7291925237902718,4.269949865479376,4.222525597269625
htchem_w0p5,3,886,0.618755411539478,0.15736635888635125,0.7048537972395318,4.265272679428112,4.107906320541761
htchem_w0p5,4,882,0.5923086291144518,-1.1273042628056645e-05,0.6573247670193713,4.4639059605174625,4.463917233560091
htchem_w1p0,0,873,0.5290389214340134,0.01463947948997672,0.6135613121100021,4.498253454289518,4.483613974799542
htchem_w1p0,1,873,0.5897256722400042,0.038988807391752256,0.6011272350695178,4.466953932496984,4.427965125105232
htchem_w1p0,2,879,0.5506089168635088,0.0551021297338145,0.7250601336352114,4.2776277270034395,4.222525597269625
htchem_w1p0,3,886,0.620964944799145,0.15168177975112299,0.7038073980471059,4.259588100292884,4.107906320541761
htchem_w1p0,4,882,0.5961542781479405,0.007566521179371188,0.6558410608963469,4.471483754739462,4.463917233560091
