pool_idx,compound_id,molecule_name,smiles,pec50,source,true_bin,no_htchem_pred,htchem_w0p1_pred,htchem_w0p3_pred,htchem_w0p5_pred,htchem_w1p0_pred
0,1,OADMET-0006089,CC1C2CCCCC2CN1C(=O)c1cc(F)cc2c1CNCC2,5.27,train,5to6,5.2651323033207635,5.3349622525614215,5.207557357812316,5.222576102481152,5.186559338517692
1,2,OADMET-0006088,CN(C(=O)c1ccccc1SCC(=O)N1CCc2ccccc21)C1CCNC1,5.08,train,5to6,4.845618842213386,4.728055962145892,4.89199183813205,4.754728960197518,4.815916070958905
2,3,OADMET-0006087,O=C(C1CCCC1)N1CC(S(=O)(=O)NC2CC2c2c(F)cccc2F)C1,5.12,train,5to6,4.988643890573146,4.999560668290291,5.086181346263275,4.964996251447678,5.0398773277579805
3,4,OADMET-0006086,CC1CN(C(=O)c2cccc(-c3c(F)cccc3F)c2)CCN1c1nccn2cnnc12,5.23,train,5to6,4.686792060546177,4.544773083149838,4.6767045049820215,4.622699834185966,4.522351743091301
4,5,OADMET-0006085,CC1(c2noc(C3=NN(Cc4ccc(F)cc4)C(=O)CC3)n2)CCC1,5.28,train,5to6,5.039015832834457,4.883073086073642,5.0026461086648,5.042130107127537,4.943202606759966
5,6,OADMET-0006084,COc1ncnc(OC)c1C(=O)N1CCC(Cc2ccc(F)cc2)C1,4.5,train,4to5,4.156260406032086,4.248801708525976,4.222701221078026,4.191743223026415,4.037084154897872
6,7,OADMET-0006083,CCS(=O)(=O)N1CCC(c2ccccc2)(c2nc(Cc3cnc(C4CC4)o3)no2)CC1,4.66,train,4to5,4.963608605431861,4.930719838735204,4.706082516419387,4.9008872647854025,4.957761257160511
7,8,OADMET-0006082,Fc1ccc(C2CCC(n3cc(C4CCNCC4)nn3)C2)cc1F,5.18,train,5to6,4.450063028885466,4.4012851358254155,4.281095466773059,4.341675604192437,4.370590115488364
8,9,OADMET-0006081,CC(C)c1ccc(CNC(=O)NCC2CC3(CC3)S(=O)(=O)N2)cc1,4.31,train,4to5,4.641435715140845,4.434797380846182,4.745771459588039,4.591140814791558,4.73818698335272
9,10,OADMET-0006080,Cc1nnc2ccc(-c3noc(C4CC(C)(C)Oc5ccccc54)n3)cn12,4.24,train,4to5,4.268181174263492,4.1379296759983,4.4003965397859,4.126841470464107,4.347938153567965
10,11,OADMET-0006079,CN(CC1CCCCC1O)C(=O)NCC1CCN(CC(F)(F)F)CC1,5.3,train,5to6,3.910920344999451,3.89164106599782,3.8508629674142214,3.7310941138040814,3.937576906418114
11,12,OADMET-0006078,CCCOc1ccc(S(=O)(=O)Nc2noc(Cc3ccccc3)n2)cc1,4.19,train,4to5,5.068612156464729,4.927511612696857,4.965245616008114,4.958314874430386,5.121776425139745
12,13,OADMET-0006077,COCC(NC(=O)c1cc(S(=O)(=O)N(C)C)c[nH]1)c1cccc(Br)c1,5.07,train,5to6,5.049342913273366,5.10737832003272,5.0130735730448865,4.982973639630584,5.030229701974786
13,14,OADMET-0006076,Cc1ccc(NCc2cccc3ccccc23)cc1-n1cnnn1,5.12,train,5to6,4.856510256558632,4.939584171067038,5.0269892904115725,4.910736443492782,4.877903643532423
14,15,OADMET-0006075,O=C(Cc1cc2cc(Cl)ccc2[nH]1)N[C@H]1CCCc2cccnc21,5.03,train,5to6,4.984445767817494,4.983403937422449,5.046076791844943,4.955987500392097,4.96495613052947
15,16,OADMET-0006074,Cc1ccc(C)c(S(=O)(=O)NCC(=O)N2CCC(C3CCCO3)C2)c1,5.14,train,5to6,5.066836747361754,5.148175091761864,5.01270523614209,5.101411337705242,5.104850840945525
16,17,OADMET-0006073,O=C(CNS(=O)(=O)c1ccccc1F)N1C[C@H]2C[C@H](c3ccccc3)[C@H]2C1,5.07,train,5to6,5.168950773280029,5.303522172852808,5.188135241281847,5.323180375856775,5.216934027242266
17,18,OADMET-0006072,Cc1nocc1Cc1noc(-c2cccn(CC(C)C)c2=O)n1,5.44,train,5to6,4.540309288127273,4.519842356826807,4.508172915747707,4.398226181443223,4.500469139429088
18,19,OADMET-0006071,Cc1cc(F)ccc1Cc1noc(C2CCc3nccn3C2)n1,3.96,train,3to4,4.617122500537945,4.846179195227567,4.757707803693087,4.797441219489585,4.758195281950888
19,20,OADMET-0006070,COC(c1noc(Cc2cc(C)on2)n1)c1ccccc1Cl,4.36,train,4to5,4.939964841669212,4.980177166418918,4.9808998571632594,4.953958007988545,5.0352868803412285
20,21,OADMET-0006069,CC(C)Oc1ccccc1CC(=O)NC1CCN(Cc2ccccc2)C1=O,5.19,train,5to6,5.17979981001236,5.177466480651953,5.186328704700087,5.154619499499955,5.163581921240325
21,22,OADMET-0006068,O=C1CCCN1[C@H]1CCCC[C@H]1c1nc(-c2cnn(CCF)c2)no1,4.76,train,4to5,4.09772972866783,4.17762197140414,4.044206435519406,4.114703860433247,4.144773507427785
