test_id,Molecule Name,split,as1_pec50,pEC50,pairrank_chembl,pairrank_gate_flag,pairrank_gate_shift,gated_pEC50
1,OADMET-0006617,AS1,3.515,3.515,0.27544677,False,0.0,3.515
2,OADMET-0006616,AS2,,3.872467149732184,0.48469585,False,0.0,3.872467149732184
3,OADMET-0006615,AS1,5.335,5.335,0.23174965,False,0.0,5.335
4,OADMET-0006614,AS2,,5.627532283611881,0.39469236,False,0.0,5.627532283611881
5,OADMET-0006613,AS2,,4.687719922608579,0.47834298,False,0.0,4.687719922608579
6,OADMET-0006612,AS1,4.28,4.28,0.4445939,False,0.0,4.28
7,OADMET-0006611,AS2,,3.271441625109479,0.23315014,False,0.0,3.271441625109479
8,OADMET-0006610,AS1,4.949999999999999,4.949999999999999,0.45610636,False,0.0,4.949999999999999
9,OADMET-0006609,AS1,2.015,2.015,0.18814012,False,0.0,2.015
10,OADMET-0006608,AS2,,4.830700598682779,0.47746685,False,0.0,4.830700598682779
11,OADMET-0006607,AS2,,4.816896864490131,0.29605478,False,0.0,4.816896864490131
12,OADMET-0006606,AS1,5.49,5.49,0.51046616,False,0.0,5.49
13,OADMET-0006605,AS2,,5.142820376011743,0.16888604,False,0.0,5.142820376011743
14,OADMET-0006604,AS1,4.715,4.715,0.5377714,False,0.0,4.715
15,OADMET-0006603,AS1,2.275,2.275,0.27804357,False,0.0,2.275
16,OADMET-0006602,AS2,,5.894431683785056,0.4300668,False,0.0,5.894431683785056
17,OADMET-0006601,AS2,,5.131046131647838,0.590367,True,0.15,5.281046131647838
18,OADMET-0006600,AS1,3.99,3.99,0.23049363,False,0.0,3.99
19,OADMET-0006599,AS1,2.3600000000000003,2.3600000000000003,0.31008592,False,0.0,2.3600000000000003
20,OADMET-0006598,AS2,,5.259244401315515,0.5088271,False,0.0,5.259244401315515
21,OADMET-0006597,AS1,5.215,5.215,0.4000672,False,0.0,5.215
22,OADMET-0006596,AS1,4.89,4.89,0.43323445,False,0.0,4.89
23,OADMET-0006595,AS2,,4.680580888143892,0.3347166,False,0.0,4.680580888143892
24,OADMET-0006594,AS2,,5.644240370561813,0.6243283,True,0.15,5.7942403705618135
25,OADMET-0006593,AS1,4.46,4.46,0.32845393,False,0.0,4.46
26,OADMET-0006592,AS2,,4.212426999423275,0.40215343,False,0.0,4.212426999423275
27,OADMET-0006591,AS2,,5.52289206575967,0.42447722,False,0.0,5.52289206575967
28,OADMET-0006590,AS2,,5.828168767316609,0.74999166,True,0.15,5.9781687673166095
29,OADMET-0006589,AS1,3.42,3.42,0.29796016,False,0.0,3.42
30,OADMET-0006588,AS2,,5.498290571119153,0.30940336,False,0.0,5.498290571119153
31,OADMET-0006587,AS1,5.31,5.31,0.2057597,False,0.0,5.31
32,OADMET-0006586,AS2,,5.009320274524275,0.3783091,False,0.0,5.009320274524275
33,OADMET-0006585,AS1,4.215,4.215,0.24952139,False,0.0,4.215
34,OADMET-0006584,AS2,,4.632998507520699,0.36911252,False,0.0,4.632998507520699
35,OADMET-0006583,AS2,,5.284032633927713,0.39718625,False,0.0,5.284032633927713
36,OADMET-0006582,AS1,4.67,4.67,0.48318663,False,0.0,4.67
37,OADMET-0006581,AS1,5.395,5.395,0.42751136,False,0.0,5.395
38,OADMET-0006580,AS1,5.265,5.265,0.32386124,False,0.0,5.265
39,OADMET-0006579,AS1,5.15,5.15,0.5076121,False,0.0,5.15
40,OADMET-0006578,AS1,4.890000000000001,4.890000000000001,0.23264658,False,0.0,4.890000000000001
41,OADMET-0006577,AS2,,5.291443014971091,0.64649016,True,0.15,5.4414430149710915
42,OADMET-0006576,AS2,,5.792353818119485,0.42864648,False,0.0,5.792353818119485
43,OADMET-0006575,AS2,,4.932781011823539,0.65083313,True,0.15,5.082781011823539
44,OADMET-0006574,AS1,5.405,5.405,0.49202052,False,0.0,5.405
45,OADMET-0006573,AS1,4.775,4.775,0.5084945,False,0.0,4.775
46,OADMET-0006572,AS2,,3.615128503726888,0.3602324,False,0.0,3.615128503726888
47,OADMET-0006571,AS2,,4.533803625845705,0.46755126,False,0.0,4.533803625845705
48,OADMET-0006570,AS1,4.84,4.84,0.21271697,False,0.0,4.84
49,OADMET-0006568,AS1,5.105,5.105,0.46007615,False,0.0,5.105
50,OADMET-0006567,AS1,4.835,4.835,0.34807843,False,0.0,4.835
51,OADMET-0006566,AS1,1.945,1.945,0.3460575,False,0.0,1.945
52,OADMET-0006565,AS1,4.975,4.975,0.19428785,False,0.0,4.975
53,OADMET-0006564,AS1,5.13,5.13,0.15079975,False,0.0,5.13
54,OADMET-0006562,AS2,,4.916260710827486,0.2695142,False,0.0,4.916260710827486
55,OADMET-0006561,AS1,5.305,5.305,0.2004353,False,0.0,5.305
56,OADMET-0006560,AS2,,4.584208222324869,0.55795383,False,0.0,4.584208222324869
57,OADMET-0006559,AS1,4.245,4.245,0.21213791,False,0.0,4.245
58,OADMET-0006558,AS2,,5.186770608664153,0.20839508,False,0.0,5.186770608664153
59,OADMET-0006557,AS1,4.63,4.63,0.15979059,False,0.0,4.63
60,OADMET-0006556,AS2,,4.7750512352546055,0.38187027,False,0.0,4.7750512352546055
61,OADMET-0006555,AS1,5.335,5.335,0.23203498,False,0.0,5.335
62,OADMET-0006554,AS2,,5.746752121989714,0.50507957,False,0.0,5.746752121989714
63,OADMET-0006553,AS2,,4.478285189659011,0.26696873,False,0.0,4.478285189659011
64,OADMET-0006552,AS1,5.41,5.41,0.44277993,False,0.0,5.41
65,OADMET-0006551,AS2,,4.832654261232878,0.48106593,False,0.0,4.832654261232878
66,OADMET-0006550,AS2,,5.612681233875125,0.4992775,False,0.0,5.612681233875125
67,OADMET-0006549,AS2,,5.106403927059485,0.23717414,False,0.0,5.106403927059485
68,OADMET-0006548,AS1,4.065,4.065,0.19910447,False,0.0,4.065
69,OADMET-0006547,AS1,4.925000000000001,4.925000000000001,0.3038358,False,0.0,4.925000000000001
70,OADMET-0006546,AS1,6.72,6.72,0.67688054,False,0.0,6.72
71,OADMET-0006545,AS1,4.96,4.96,0.39953095,False,0.0,4.96
72,OADMET-0006544,AS1,4.87,4.87,0.30267033,False,0.0,4.87
73,OADMET-0006543,AS2,,5.371258266008207,0.4699424,False,0.0,5.371258266008207
74,OADMET-0006542,AS1,5.565,5.565,0.5101254,False,0.0,5.565
75,OADMET-0006541,AS2,,3.9985733318072607,0.45438096,False,0.0,3.9985733318072607
76,OADMET-0006540,AS1,5.805,5.805,0.6339511,False,0.0,5.805
77,OADMET-0006539,AS1,5.390000000000001,5.390000000000001,0.19046764,False,0.0,5.390000000000001
78,OADMET-0006537,AS2,,3.9315075442376,0.34212464,False,0.0,3.9315075442376
79,OADMET-0006536,AS1,4.605,4.605,0.19387145,False,0.0,4.605
80,OADMET-0006535,AS2,,5.0067494942082895,0.47880423,False,0.0,5.0067494942082895
81,OADMET-0006534,AS1,2.8200000000000003,2.8200000000000003,0.37922782,False,0.0,2.8200000000000003
82,OADMET-0006533,AS1,4.655,4.655,0.38404608,False,0.0,4.655
83,OADMET-0006532,AS1,5.25,5.25,0.24078918,False,0.0,5.25
84,OADMET-0006531,AS1,5.955,5.955,0.5922849,False,0.0,5.955
85,OADMET-0006530,AS1,5.445,5.445,0.42286754,False,0.0,5.445
86,OADMET-0006529,AS1,5.375,5.375,0.42497957,False,0.0,5.375
87,OADMET-0006528,AS2,,3.874001916964493,0.25776222,False,0.0,3.874001916964493
88,OADMET-0006526,AS2,,4.2284081372999385,0.40644422,False,0.0,4.2284081372999385
89,OADMET-0006525,AS1,4.415,4.415,0.17580365,False,0.0,4.415
90,OADMET-0006524,AS2,,5.590032241881082,0.33621356,False,0.0,5.590032241881082
91,OADMET-0006523,AS1,4.76,4.76,0.26333722,False,0.0,4.76
92,OADMET-0006522,AS1,5.625,5.625,0.34396163,False,0.0,5.625
93,OADMET-0006521,AS2,,2.769499162860368,0.43253183,False,0.0,2.769499162860368
94,OADMET-0006520,AS1,4.845000000000001,4.845000000000001,0.22764283,False,0.0,4.845000000000001
95,OADMET-0006519,AS2,,5.399379606543136,0.46074805,False,0.0,5.399379606543136
96,OADMET-0006518,AS2,,5.621774707646942,0.49584097,False,0.0,5.621774707646942
97,OADMET-0006517,AS1,4.244999999999999,4.244999999999999,0.5053261,False,0.0,4.244999999999999
98,OADMET-0006516,AS2,,4.955915546004558,0.603443,True,0.15,5.105915546004558
99,OADMET-0006515,AS1,5.23,5.23,0.1706827,False,0.0,5.23
100,OADMET-0006514,AS1,2.725,2.725,0.26024577,False,0.0,2.725
101,OADMET-0006513,AS2,,5.160804444261229,0.47880304,False,0.0,5.160804444261229
102,OADMET-0006512,AS2,,2.81609061732104,0.2214789,False,0.0,2.81609061732104
103,OADMET-0006511,AS1,3.655,3.655,0.22997785,False,0.0,3.655
104,OADMET-0006510,AS2,,4.047691778671021,0.33138135,False,0.0,4.047691778671021
105,OADMET-0006509,AS2,,4.123298544966369,0.3594716,False,0.0,4.123298544966369
106,OADMET-0006508,AS2,,5.802569186777753,0.45577332,False,0.0,5.802569186777753
107,OADMET-0006507,AS1,4.465,4.465,0.1428341,False,0.0,4.465
108,OADMET-0006506,AS1,2.2,2.2,0.07751204,False,0.0,2.2
109,OADMET-0006505,AS2,,3.2091601845346043,0.26233476,False,0.0,3.2091601845346043
110,OADMET-0006504,AS1,5.15,5.15,0.4375537,False,0.0,5.15
111,OADMET-0006503,AS2,,5.699236980851937,0.65003425,True,0.15,5.849236980851938
112,OADMET-0006502,AS2,,5.859415110410435,0.49890405,False,0.0,5.859415110410435
113,OADMET-0006501,AS1,4.27,4.27,0.23906983,False,0.0,4.27
114,OADMET-0006500,AS2,,5.521398284242599,0.4300672,False,0.0,5.521398284242599
115,OADMET-0006499,AS1,5.065,5.065,0.5010753,False,0.0,5.065
116,OADMET-0006498,AS2,,5.02663730322153,0.32538518,False,0.0,5.02663730322153
117,OADMET-0006497,AS2,,4.147982446001165,0.2781021,False,0.0,4.147982446001165
118,OADMET-0006496,AS2,,4.634978979638436,0.39995366,False,0.0,4.634978979638436
119,OADMET-0006495,AS2,,5.055247565014735,0.3285851,False,0.0,5.055247565014735
120,OADMET-0006494,AS1,4.295,4.295,0.17282408,False,0.0,4.295
121,OADMET-0006493,AS2,,5.756542138265504,0.37172285,False,0.0,5.756542138265504
122,OADMET-0006492,AS2,,5.31695490068121,0.60602355,True,0.15,5.46695490068121
123,OADMET-0006491,AS2,,5.881535841659908,0.48613244,False,0.0,5.881535841659908
124,OADMET-0006490,AS1,3.245,3.245,0.29182673,False,0.0,3.245
125,OADMET-0006489,AS2,,5.332615856056179,0.41466466,False,0.0,5.332615856056179
126,OADMET-0006488,AS2,,5.140497747400215,0.55455005,False,0.0,5.140497747400215
127,OADMET-0006487,AS2,,5.005079555898281,0.4031788,False,0.0,5.005079555898281
