global_feature_idx,feature,family,lgbm_gain
2101,log2fc_8p25_pred,log2fc_pred,30835.23519056922
2102,log2fc_33_pred,log2fc_pred,8510.753542844861
67,chemeleon_67,chemeleon,188.8010531249456
175,chemeleon_175,chemeleon,174.56806412985316
6,chemeleon_6,chemeleon,137.17623540188652
2,chemeleon_2,chemeleon,124.27214011354954
131,chemeleon_131,chemeleon,119.82434599137923
570,mordred_270,mordred,99.08416062351898
1817,pose_jazzy_2,pose_jazzy,92.34529782755999
173,chemeleon_173,chemeleon,76.2239392666379
298,chemeleon_298,chemeleon,73.62818372336915
1967,rdkit_146,rdkit,72.43616971353185
240,chemeleon_240,chemeleon,71.53261488839053
55,chemeleon_55,chemeleon,65.77939781881287
1242,mordred_942,mordred,64.0794516003225
1292,mordred_992,mordred,63.830647163442336
1107,mordred_807,mordred,62.21123138375697
1820,pose_jazzy_5,pose_jazzy,60.85771378641948
1824,rdkit_3,rdkit,60.19149965321412
1730,mordred_1430,mordred,59.83213946101023
1011,mordred_711,mordred,58.603135138808284
2042,boltz_tier0_4,boltz_tier0,56.80839886769536
231,chemeleon_231,chemeleon,54.04866544037941
36,chemeleon_36,chemeleon,51.63842201206717
46,chemeleon_46,chemeleon,50.44021854872699
219,chemeleon_219,chemeleon,49.18152057264524
2082,boltz_tier1_25,boltz_tier1,48.3100376916118
42,chemeleon_42,chemeleon,47.718348559661536
1747,mordred_1447,mordred,46.32583458197769
1464,mordred_1164,mordred,45.271363735955674
143,chemeleon_143,chemeleon,45.22535807819804
861,mordred_561,mordred,44.63862948527094
632,mordred_332,mordred,44.009313662187196
114,chemeleon_114,chemeleon,43.516349242738215
15,chemeleon_15,chemeleon,43.42513677084935
682,mordred_382,mordred,43.22091705730418
274,chemeleon_274,chemeleon,43.029984254884766
2054,boltz_tier0_16,boltz_tier0,42.840036603360204
99,chemeleon_99,chemeleon,42.794072521908674
2038,boltz_tier0_0,boltz_tier0,42.65855045011267
69,chemeleon_69,chemeleon,40.96091496635927
66,chemeleon_66,chemeleon,40.72574779903516
213,chemeleon_213,chemeleon,40.63280019213562
533,mordred_233,mordred,40.56169857259374
809,mordred_509,mordred,39.30142403408536
