rank,global_feature_idx,feature,family,lgbm_gain,gain_share_pct
1,2101,log2fc_pred__log2fc_8p25_pred,log2fc_pred,37727.550247958236,70.64836532984482
2,2102,log2fc_pred__log2fc_33_pred,log2fc_pred,2118.789875691582,3.9676321470975005
3,67,chemeleon_067,chemeleon,190.5602526536677,0.35684189029878594
4,307,mordred__Si,mordred,140.3150593972823,0.26275306804778703
5,1163,mordred__ATSC7dv,mordred,136.61011269286973,0.25581520893473453
6,2,chemeleon_002,chemeleon,99.60687737475382,0.18652319103378567
7,2042,boltz_tier0__affinity_probability_binary_1,boltz_tier0,80.81446320944815,0.15133263843616196
8,87,chemeleon_087,chemeleon,76.12513398958254,0.14255143102408221
9,2056,boltz_tier0__ensemble_diff_prob,boltz_tier0,74.34197460378346,0.13921229835044427
10,1730,mordred__TopoPSA(NO),mordred,74.26991413207725,0.1390773583795879
11,175,chemeleon_175,chemeleon,71.5173612148501,0.1339229456809654
12,2054,boltz_tier0__ligand_to_pocket_distance_a,boltz_tier0,67.28673614401487,0.12600070467635252
13,575,mordred__SRW06,mordred,65.40936881443486,0.12248515881963043
14,570,mordred__SLogP,mordred,65.22283202639665,0.12213585124301427
15,376,mordred__JGI7,mordred,61.41586010690662,0.11500694037546734
16,692,mordred__AATS6i,mordred,60.59688772325171,0.11347333801392422
17,858,mordred__GATS5i,mordred,60.22589705089922,0.11277862329266446
18,1817,pose_jazzy__sa,pose_jazzy,59.87137280887691,0.11211474350179375
19,628,mordred__Xp-7d,mordred,58.90361438621767,0.11030252537086001
20,46,chemeleon_046,chemeleon,55.30017209853395,0.10355474276869994
21,1824,rdkit__qed,rdkit_full,54.884967056364985,0.10277723250595677
22,756,mordred__ATSC1p,mordred,52.283214442111785,0.09790520747433984
23,1820,pose_jazzy__dgtot,pose_jazzy,51.322449922852684,0.09610608608144623
24,327,mordred__IC4,mordred,51.15338725975016,0.09578950043758641
25,1672,mordred__SlogP_VSA3,mordred,49.79436551967228,0.09324460516203326
26,780,mordred__ATSC4p,mordred,49.38423469837289,0.09247659685230324
27,535,mordred__MPC10,mordred,48.248690871638246,0.09035018486446046
28,877,mordred__GATS7s,mordred,46.69019431370543,0.08743175434176566
29,1243,mordred__MINaasC,mordred,46.26352692357614,0.08663277976074799
30,9,chemeleon_009,chemeleon,46.016431396172266,0.0861700702824843
31,6,chemeleon_006,chemeleon,45.44902968691895,0.08510755753038012
32,298,chemeleon_298,chemeleon,44.134217919941875,0.08264544956304921
33,55,chemeleon_055,chemeleon,43.6953527823498,0.08182363355942954
34,1714,mordred__EState_VSA7,mordred,42.95129023154732,0.08043030686390167
35,208,chemeleon_208,chemeleon,42.89311112406722,0.08032136104545322
36,42,chemeleon_042,chemeleon,42.75372798889293,0.08006035309264703
37,2038,boltz_tier0__affinity_pred_value,boltz_tier0,41.829444086615695,0.07832954506595544
38,1654,mordred__AETA_eta_L,mordred,41.50379265326774,0.07771973230890797
39,166,chemeleon_166,chemeleon,41.26935065363068,0.07728071774448061
40,230,chemeleon_230,chemeleon,40.72186018564389,0.07625549065333039
41,69,chemeleon_069,chemeleon,40.43062707816716,0.07571012942955797
42,2041,boltz_tier0__affinity_probability_binary,boltz_tier0,40.05876352090854,0.07501378014969758
43,94,chemeleon_094,chemeleon,39.830162789381575,0.07458570390595946
44,83,chemeleon_083,chemeleon,39.61888286093017,0.07419006248545916
45,470,mordred__ATS3i,mordred,39.32829407812096,0.07364590781987043
46,155,chemeleon_155,chemeleon,39.13134277204517,0.07327709808448123
47,2077,boltz_tier1__pae_pocket_ligand_std,boltz_tier1_conf,39.12246139807394,0.07326046688131996
48,351,mordred__BIC2,mordred,37.836459086451214,0.07085230731279711
49,942,mordred__MATS7v,mordred,37.808100196532905,0.07079920263989548
50,794,mordred__ATSC6i,mordred,37.370917813444976,0.0699805377514208
51,367,mordred__GGI7,mordred,37.30982993339421,0.06986614498436627
52,3,chemeleon_003,chemeleon,36.78596264519729,0.06888515450611771
53,2039,boltz_tier0__affinity_pred_value_1,boltz_tier0,36.75214085675543,0.06882182004495485
54,92,chemeleon_092,chemeleon,36.44561556905683,0.06824782278391248
55,2040,boltz_tier0__affinity_pred_value_2,boltz_tier0,36.40697170884232,0.06817545854249614
56,4,chemeleon_004,chemeleon,35.199122200894635,0.0659136474060686
57,1967,rdkit__BCUT2D_MRLOW,rdkit_full,34.7510435411823,0.06507457822082306
58,865,mordred__GATS6d,mordred,34.6861109356978,0.06495298584591566
59,2082,boltz_tier1__pde_pocket_ligand_min,boltz_tier1_conf,33.97714115388226,0.06362537364145679
60,797,mordred__ATSC6s,mordred,33.75129866541829,0.06320246246574729
61,173,chemeleon_173,chemeleon,33.60926935268799,0.06293649929805234
62,131,chemeleon_131,chemeleon,32.95559429706191,0.06171243163838824
63,60,chemeleon_060,chemeleon,32.7543355016096,0.0613355557263953
64,809,mordred__ATSC8d,mordred,32.660651042097015,0.06116012281654892
65,1549,mordred__nBondsKD,mordred,32.02304521203041,0.05996614628420246
66,1667,mordred__PEOE_VSA11,mordred,31.871597348712385,0.05968254599990636
67,113,chemeleon_113,chemeleon,31.68615034967661,0.059335279155091486
68,925,mordred__MATS5s,mordred,31.45110488345381,0.05889513454305878
69,224,chemeleon_224,chemeleon,31.370721287559718,0.05874460874395631
70,90,chemeleon_090,chemeleon,31.277922453911742,0.058570834251346626
71,1747,mordred__FilterItLogS,mordred,31.089099025761243,0.05821724472732148
72,305,mordred__Mv,mordred,31.064627079293132,0.058171418719455914
73,1147,mordred__ATSC1se,mordred,30.87226200517034,0.05781119713220708
74,1242,mordred__MINaaCH,mordred,30.745061537600122,0.057573002363557495
75,28,chemeleon_028,chemeleon,30.741137760531274,0.057565654724126614
76,196,chemeleon_196,chemeleon,30.682054267643252,0.057455015359442654
77,205,chemeleon_205,chemeleon,30.592255660361843,0.0572868590712227
78,118,chemeleon_118,chemeleon,30.51210103460471,0.05713676204011019
79,2075,boltz_tier1__pae_protein_ligand_max,boltz_tier1_conf,30.291831799782813,0.056724287302939436
80,143,chemeleon_143,chemeleon,30.18373441172298,0.056521864836793057
81,293,chemeleon_293,chemeleon,30.045691800201894,0.056263367139865184
82,267,chemeleon_267,chemeleon,29.929607113910606,0.05604598771097552
83,219,chemeleon_219,chemeleon,29.657406132726464,0.05553626592317192
84,129,chemeleon_129,chemeleon,29.35002165354672,0.05496065974574751
85,240,chemeleon_240,chemeleon,29.32437900500372,0.05491264148878717
86,96,chemeleon_096,chemeleon,29.2447868885356,0.05476359780891241
87,235,chemeleon_235,chemeleon,29.19970093277516,0.054679170141256436
88,141,chemeleon_141,chemeleon,28.794938389619347,0.05392121443427925
89,2011,rdkit__MinAbsEStateIndex,rdkit_full,28.770878607901977,0.05387616024344645
90,989,mordred__TMPC10,mordred,28.648199595860206,0.05364643232302574
91,63,chemeleon_063,chemeleon,28.33910100691719,0.05306761631480195
92,325,mordred__IC2,mordred,28.17306888283929,0.05275670563861829
93,44,chemeleon_044,chemeleon,28.165239404072054,0.05274204420757773
94,577,mordred__SRW08,mordred,28.095429986715317,0.05261131954646222
95,752,mordred__ATSC1c,mordred,28.040835752239218,0.05250908673789604
