target,fold,n_train,n_valid,mae,r2,spearman,best_iteration
top500_residual,0,3309,831,0.2443023309145482,0.6541522341968133,0.8054680468611463,334
top500_residual,1,3310,830,0.21968412114482277,0.6238036591816385,0.79880180732598,223
top500_residual,2,3311,829,0.24230560467025372,0.6169266647342235,0.7778971553071257,268
top500_residual,3,3322,818,0.20865074687602908,0.6481795355837877,0.7977453222745051,303
top500_residual,4,3308,832,0.22409995154289541,0.6984161118798875,0.8070180168707304,314
top500_abs_error_minus_ensemble,0,3309,831,0.0761142469581575,0.1767207241667531,0.3567934665821388,58
top500_abs_error_minus_ensemble,1,3310,830,0.07575512787856939,0.15974739464211607,0.4141260184729547,141
top500_abs_error_minus_ensemble,2,3311,829,0.08327229747619029,0.16998764556110368,0.3490343816130942,89
top500_abs_error_minus_ensemble,3,3322,818,0.07030750387936423,0.24984626281771827,0.38178381996034394,142
top500_abs_error_minus_ensemble,4,3308,832,0.07829098755521227,0.21457938662563036,0.35825628501886736,105
top500_pred_minus_ensemble,0,3309,831,0.06649637236583643,0.4241782977817532,0.6031092225051273,94
top500_pred_minus_ensemble,1,3310,830,0.06869940441646306,0.3578555287961308,0.606897494251553,120
top500_pred_minus_ensemble,2,3311,829,0.07440597757167378,0.4217343555567946,0.5987460199006546,118
top500_pred_minus_ensemble,3,3322,818,0.06511896152922418,0.4404585226023201,0.588576934310711,101
top500_pred_minus_ensemble,4,3308,832,0.06982863625820644,0.4092250633199622,0.6244484533607945,139
