feature,gain_sum,gain_mean,rank
affinity_pred_value,28295.513342950493,5659.102668590099,1
affinity_probability_binary_2,8170.4671348351985,1634.0934269670397,3
complex_ipde,3421.8392514176667,684.3678502835334,5
affinity_pred_value_2,2947.390893794596,589.4781787589193,8
affinity_probability_binary,2849.3537990171462,569.8707598034292,9
ligand_to_pocket_distance_a,1727.9369999803603,345.58739999607207,12
iptm,602.9873392283916,120.59746784567832,32
affinity_probability_binary_1,403.0877529717982,80.61755059435964,52
affinity_pred_value_1,375.5611156653613,75.11222313307226,59
ensemble_diff_prob,205.5748037621379,41.11496075242758,116
confidence_score,204.4107897747308,40.88215795494616,117
complex_pde,175.03588395752013,35.00717679150402,148
complex_iplddt,170.2502564061433,34.05005128122866,159
ptm,145.81029974855483,29.162059949710965,184
ligand_atom_count,124.21939849853516,24.84387969970703,231
ensemble_diff_affinity,117.74801319092512,23.549602638185025,254
complex_plddt,63.69638477265835,12.73927695453167,542
ligand_iptm,49.10646536946297,9.821293073892594,691
num_passed,13.11301138997078,2.622602277994156,1057
protein_iptm,0.0,0.0,1454
aromatic_ring_flatness,0.0,0.0,1459
internal_steric_clash,0.0,0.0,1460
bond_angles,0.0,0.0,1461
bond_lengths,0.0,0.0,1462
intermol_passed,0.0,0.0,1463
intramol_passed,0.0,0.0,1464
all_passed,0.0,0.0,1465
volume_overlap_with_protein,0.0,0.0,1469
protein_ligand_maximum_distance,0.0,0.0,1470
minimum_distance_to_protein,0.0,0.0,1471
internal_energy,0.0,0.0,1472
double_bond_flatness,0.0,0.0,1473
non_aromatic_ring_non_flatness,0.0,0.0,1474
