feature,gain_sum,gain_mean,rank
affinity_pred_value,29551.63094142638,5910.326188285277,1
affinity_probability_binary_2,8065.993777418509,1613.198755483702,3
complex_ipde,3382.5076584639028,676.5015316927805,4
affinity_pred_value_2,2816.0579458400607,563.2115891680121,8
affinity_probability_binary,2803.334184076637,560.6668368153274,9
ligand_to_pocket_distance_a,1827.060973867774,365.4121947735548,13
iptm,503.278282629326,100.6556565258652,38
affinity_probability_binary_1,438.18745918013155,87.63749183602631,42
affinity_pred_value_1,401.10457460954785,80.22091492190957,48
confidence_score,187.5787002928555,37.5157400585711,136
complex_iplddt,152.79021049290895,30.55804209858179,181
ligand_iptm,150.45763510465622,30.091527020931245,185
complex_pde,141.23055296950042,28.246110593900084,200
ensemble_diff_affinity,122.113456370309,24.422691274061798,247
ptm,121.3674581721425,24.273491634428503,249
ensemble_diff_prob,119.30764743871987,23.861529487743972,255
complex_plddt,69.5859593655914,13.91719187311828,490
num_passed,13.92307996749878,2.784615993499756,1049
ligand_atom_count,0.0,0.0,1373
protein_iptm,0.0,0.0,1460
