feature,gain_sum,gain_mean,rank
affinity_pred_value,30261.135904248804,6052.227180849761,1
affinity_probability_binary_2,8999.291683994234,1799.8583367988467,4
complex_ipde,4587.082033120096,917.4164066240191,5
affinity_probability_binary,3945.711263142526,789.1422526285053,6
affinity_pred_value_2,3612.8730604574084,722.5746120914816,8
ligand_to_pocket_distance_a,2856.168766710907,571.2337533421814,12
ligand_atom_count,1724.0359468609095,344.8071893721819,20
iptm,1566.0064283944666,313.2012856788933,22
affinity_probability_binary_1,1139.8666957505047,227.97333915010094,34
affinity_pred_value_1,973.7028358876705,194.7405671775341,48
complex_pde,790.2537635341287,158.05075270682573,58
ensemble_diff_prob,769.571096226573,153.9142192453146,63
complex_iplddt,758.943815022707,151.7887630045414,65
confidence_score,720.1428181380033,144.02856362760068,68
ensemble_diff_affinity,607.6717244759202,121.53434489518403,79
ptm,535.748311098665,107.149662219733,88
complex_plddt,506.4892935939133,101.29785871878266,90
ligand_iptm,140.39347994327545,28.07869598865509,132
num_passed,51.65621542930603,10.331243085861207,151
protein_iptm,0.0,0.0,237
