feature,gain_sum,gain_mean
affinity_pred_value,40065.593344926834,8013.118668985367
ligand_atom_count,28439.644123375416,5687.928824675083
affinity_probability_binary_2,14290.014168977737,2858.0028337955473
complex_ipde,9764.112486839294,1952.822497367859
affinity_probability_binary,9586.558114349842,1917.3116228699685
affinity_pred_value_2,9367.472546100616,1873.4945092201233
ligand_to_pocket_distance_a,7451.728559017181,1490.3457118034362
complex_pde,4189.740001261234,837.9480002522469
iptm,4180.494367837906,836.0988735675812
affinity_pred_value_1,4123.538272917271,824.7076545834541
complex_iplddt,3770.8347209692,754.16694419384
complex_plddt,3592.137261390686,718.4274522781373
ensemble_diff_prob,3328.129874199629,665.6259748399258
confidence_score,3266.0279406905174,653.2055881381035
ptm,3195.1454661488533,639.0290932297706
ensemble_diff_affinity,3006.653518795967,601.3307037591934
affinity_probability_binary_1,2947.650147497654,589.5300294995308
num_passed,1053.2575604319572,210.65151208639145
ligand_iptm,611.1524775624275,122.2304955124855
protein_iptm,0.0,0.0
