feature,gain_sum,gain_mean
SLogP,33921.774819072336,6784.354963814467
MINdO,5152.03686222434,1030.407372444868
FilterItLogS,3907.7165036164224,781.5433007232845
VR1_Dzm,3813.2460327148438,762.6492065429687
ABCGG,3610.469246841967,722.0938493683934
Vabc,3491.9401235356927,698.3880247071386
VE2_Dzse,3419.2231978923082,683.8446395784616
VE1_Dzse,3365.6361290812492,673.1272258162498
VE1_DzZ,2446.0583009421825,489.2116601884365
VR3_DzZ,2396.2345747351646,479.2469149470329
VR1_Dzp,2188.2898947298527,437.6579789459705
TopoPSA(NO),2095.452632945031,419.0905265890062
ATS7m,2091.0680835545063,418.21361671090125
VE2_Dzi,1954.7739907205105,390.9547981441021
ATSC0d,1952.457676589489,390.4915353178978
VR3_Dt,1941.0606073141098,388.212121462822
ETA_shape_x,1790.794428318739,358.1588856637478
Xpc-6dv,1592.5618367679417,318.51236735358833
ATS0d,1313.3356367647648,262.66712735295295
SMR_VSA5,1296.0664174742997,259.2132834948599
PEOE_VSA6,1238.1192441433668,247.62384882867337
ATS4Z,1199.8851253427565,239.9770250685513
VSA_EState2,1065.6932592466474,213.13865184932948
BCUTd-1h,980.6851673871279,196.13703347742558
Xpc-5dv,946.594294205308,189.3188588410616
VR3_D,902.031005859375,180.406201171875
Xc-5dv,884.2931735031307,176.85863470062614
AATSC0p,783.5435138195753,156.70870276391506
ATS5Z,763.1832242459059,152.63664484918118
GATS4d,755.6418884657323,151.12837769314646
ATS7Z,724.2796588614583,144.85593177229165
PEOE_VSA2,719.8693599738181,143.9738719947636
MINdssC,613.3946239463985,122.6789247892797
GATS1se,602.7369914501905,120.5473982900381
AETA_beta_s,599.625599309802,119.92511986196041
Diameter,598.500408153981,119.70008163079619
AMID_N,578.0370149500668,115.60740299001336
GATS7s,566.6043764948845,113.3208752989769
SlogP_VSA2,566.319475453347,113.2638950906694
MAXsssN,562.9767131656408,112.59534263312817
SdsCH,535.3727726787329,107.07455453574657
MAXaaaC,530.1558441370726,106.03116882741452
SpMAD_D,526.6192842572927,105.32385685145854
MID_N,526.2178977653384,105.24357955306769
ATS2v,524.7672720365226,104.95345440730452
VSA_EState1,523.1964402832091,104.63928805664182
ATS4m,518.9727659672499,103.79455319344997
MINdsCH,515.9602111242712,103.19204222485423
PEOE_VSA8,502.0784696266055,100.41569392532111
NdCH2,498.8496688604355,99.7699337720871
GATS5c,473.0945161357522,94.61890322715044
ATSC5d,461.8591381460428,92.37182762920857
MAXdO,455.02421129122376,91.00484225824475
JGI3,432.32646596059203,86.46529319211841
AATS5s,395.4771099872887,79.09542199745775
GATS6s,388.30089373886585,77.66017874777317
GGI3,387.7912240102887,77.55824480205774
BalabanJ,387.1618645787239,77.43237291574478
AATSC0v,383.4242483340204,76.68484966680407
MWC06,381.342822521925,76.268564504385
Xpc-5d,376.94021989032626,75.38804397806526
PEOE_VSA10,371.2013865150511,74.24027730301023
JGI7,370.02256168052554,74.00451233610511
MATS3d,362.95439498499036,72.59087899699807
RPCG,362.7886726334691,72.55773452669382
ATSC2dv,361.40145019441843,72.28029003888369
ATS6m,360.3141355738044,72.06282711476088
AATSC3dv,357.66355630010366,71.53271126002073
Xp-4d,351.05856681615114,70.21171336323023
ATS6Z,346.93766598030925,69.38753319606185
SlogP_VSA8,345.56016333401203,69.1120326668024
Xc-3dv,344.5784799195826,68.91569598391652
ATSC2s,343.3386270329356,68.66772540658712
IC2,342.6981125548482,68.53962251096964
NdsCH,341.54617631435394,68.30923526287079
Radius,337.485936768353,67.4971873536706
GATS4c,333.30366561561823,66.66073312312365
SlogP_VSA5,327.87996420636773,65.57599284127355
ATSC3dv,326.47003976628184,65.29400795325637
SMR_VSA6,322.2635204717517,64.45270409435034
MATS3dv,320.88846177607775,64.17769235521556
MINaaCH,315.7733796425164,63.15467592850327
MAXdssC,309.24943789839745,61.84988757967949
BCUTd-1l,307.17407375201583,61.43481475040316
piPC10,302.67548044770956,60.53509608954191
MATS1se,301.2852974124253,60.257059482485055
ATS5m,299.8970869705081,59.97941739410162
ZMIC2,297.00173995643854,59.40034799128771
SsssN,292.96528112888336,58.59305622577667
GATS7se,288.07128588855267,57.614257177710535
C1SP2,286.2570390701294,57.25140781402588
PEOE_VSA7,285.7249186486006,57.14498372972012
GATS8d,285.2260347865522,57.04520695731044
Xc-6d,280.3371683359146,56.067433667182925
MINssCH2,275.25351183861494,55.05070236772299
ETA_dEpsilon_D,272.3181463740766,54.46362927481532
nBase,271.8412008360028,54.36824016720057
PEOE_VSA1,265.94456301257014,53.18891260251403
BIC5,262.79967764019966,52.55993552803993
ATS6i,262.1030794531107,52.42061589062214
ETA_eta,252.34070759639144,50.46814151927829
TopoPSA,251.95102996006608,50.390205992013215
ATSC1se,251.84001510590315,50.36800302118063
EState_VSA3,248.65591111034155,49.73118222206831
SaaaC,243.09932070598006,48.61986414119601
ATSC2d,241.07380792871118,48.21476158574224
SIC2,240.0348945632577,48.00697891265154
SpDiam_A,238.74060639739037,47.74812127947807
GATS1are,234.291771620512,46.8583543241024
ATSC2pe,233.3094612956047,46.66189225912094
SaaNH,231.85390640050173,46.370781280100346
AATS6s,227.7707603983581,45.554152079671624
VSA_EState6,226.53612882643938,45.307225765287875
ATSC3d,226.40129513666034,45.280259027332065
AATSC3d,224.61834375560284,44.923668751120566
SMR_VSA3,223.83131458610296,44.766262917220594
MAXaaCH,222.47331136465073,44.49466227293014
AATSC2s,221.65274389833212,44.33054877966642
EState_VSA1,221.32201540470123,44.26440308094025
MATS8dv,220.70897602289915,44.14179520457983
AATSC1i,219.6907116174698,43.938142323493956
GATS7c,218.49778759106994,43.699557518213986
IC1,218.33636555075645,43.66727311015129
SpMAD_Dzv,216.98643912374973,43.397287824749945
GATS6c,215.32741067558527,43.06548213511705
ATSC1i,214.30613088980317,42.86122617796063
Xp-2dv,213.5827369503677,42.716547390073536
VSA_EState5,212.66802563890815,42.53360512778163
AATSC4s,212.26186718419194,42.452373436838386
VSA_EState3,212.0083488225937,42.401669764518736
MATS1i,209.5588170364499,41.91176340728998
AXp-3d,207.89731930941343,41.57946386188269
JGI8,207.8589632511139,41.571792650222775
ZMIC4,207.7617050409317,41.55234100818634
MAXssCH2,207.66755590587854,41.53351118117571
ATSC8d,207.58647369593382,41.51729473918677
GATS8c,205.598753541708,41.1197507083416
VSA_EState4,204.21089283376932,40.842178566753866
BIC2,203.27573755383492,40.65514751076698
VR2_A,201.02248039096594,40.20449607819319
AATSC0c,198.65940069034696,39.73188013806939
MDEC-23,198.38969258591533,39.677938517183065
MATS2pe,194.26102481782436,38.85220496356487
BCUTs-1l,193.4930998198688,38.69861996397376
GGI8,192.68494454026222,38.53698890805244
MAXaasC,192.20474968105555,38.44094993621111
SpMAD_DzZ,191.82828664034605,38.36565732806921
Xc-4dv,190.66971578076482,38.13394315615297
GATS5d,189.40991405397654,37.88198281079531
MINaasC,189.09024475887418,37.818048951774834
Xpc-6d,187.37096974253654,37.474193948507306
GATS7dv,185.76277397572994,37.15255479514599
ATSC2i,185.7349534444511,37.14699068889022
GATS3c,185.706235319376,37.1412470638752
ATSC4i,183.11555855348706,36.623111710697415
SdCH2,181.9957973845303,36.399159476906064
SpMAD_Dt,180.52077011018991,36.10415402203798
