feature,gain_sum,gain_mean
affinity_pred_value,29551.63094142638,5910.326188285277
SLogP,20517.29669765383,4103.459339530766
affinity_probability_binary_2,8065.993777418509,1613.198755483702
complex_ipde,3382.5076584639028,676.5015316927805
MINdO,3253.4206445403397,650.6841289080679
VE1_DzZ,3196.5429132282734,639.3085826456547
ATSC0d,3092.9366748817265,618.5873349763453
affinity_pred_value_2,2816.0579458400607,563.2115891680121
affinity_probability_binary,2803.334184076637,560.6668368153274
ABCGG,2653.0831114277244,530.6166222855448
VE2_Dzi,2208.465438723564,441.69308774471284
VR3_DzZ,2068.6669063568115,413.7333812713623
ligand_to_pocket_distance_a,1827.060973867774,365.4121947735548
MID_C,1751.5086956992745,350.30173913985493
SMR_VSA5,1492.237393507734,298.4474787015468
ATS7m,1424.6408110782504,284.9281622156501
Vabc,1232.8817142713815,246.5763428542763
ATS7p,1139.3479847684503,227.86959695369006
Xpc-5dv,1098.237340465188,219.64746809303762
Xpc-6dv,1064.224805843085,212.844961168617
ATS6m,1057.0627708435059,211.41255416870118
FilterItLogS,1054.317628145218,210.86352562904358
TopoPSA(NO),975.9232731405646,195.18465462811292
VSA_EState2,725.3608340285718,145.07216680571437
ATS4Z,711.5482205152512,142.30964410305023
Xc-5dv,657.3573741409928,131.47147482819855
PEOE_VSA6,645.7980320584029,129.15960641168058
VR1_Dzp,641.8792709708214,128.37585419416428
SdsCH,624.6087676733732,124.92175353467465
BCUTd-1l,609.5585798583925,121.91171597167849
MAXaaaC,598.415794365108,119.6831588730216
GATS1se,589.6784715242684,117.93569430485368
MINdssC,574.7802186328918,114.95604372657836
Xc-3dv,569.5124171394855,113.9024834278971
NdsCH,568.2324338555336,113.64648677110672
SpMAD_D,538.0602077301592,107.61204154603183
AETA_beta_s,506.7091994378716,101.34183988757431
iptm,503.278282629326,100.6556565258652
VSA_EState1,483.2905886769295,96.6581177353859
GATS7s,476.38447367958724,95.27689473591745
GATS5c,447.99431021884084,89.59886204376816
affinity_probability_binary_1,438.18745918013155,87.63749183602631
MATS1se,427.09884400479496,85.41976880095899
PEOE_VSA8,417.88383791409433,83.57676758281886
VE1_Dzpe,413.97900390625,82.79580078125
PEOE_VSA2,411.15018268860877,82.23003653772176
Xp-5d,406.513561218977,81.3027122437954
affinity_pred_value_1,401.10457460954785,80.22091492190957
ATS7v,392.86028399690986,78.57205679938197
MAXdO,388.63036141730845,77.72607228346169
JGI7,386.9762031584978,77.39524063169956
SlogP_VSA5,386.9577932488173,77.39155864976347
ATS5Z,382.2264810819179,76.44529621638358
GATS6s,368.9662831062451,73.79325662124901
MAXsssN,364.7567526586354,72.95135053172707
PEOE_VSA10,358.30579344742,71.661158689484
MINdsCH,357.26521408744156,71.45304281748831
SsssN,355.0169261917472,71.00338523834944
ATSC5d,354.7958587370813,70.95917174741626
piPC10,353.19983526133,70.639967052266
ATS7Z,349.6447045505047,69.92894091010093
ZMIC2,347.6161665227264,69.52323330454529
BCUTd-1h,337.21962002664804,67.4439240053296
RPCG,334.71989498101175,66.94397899620235
ETA_eta,334.37193316593766,66.87438663318753
MINaaCH,332.16249221377075,66.43249844275415
GATS7se,330.96121755987406,66.19224351197481
AATSC0p,326.4880764707923,65.29761529415846
GATS4d,317.56540152430534,63.51308030486107
AATSC0v,316.94668011553586,63.38933602310717
IC3,313.5530074611306,62.710601492226125
ATS0d,310.70843255519867,62.14168651103974
ATS2v,309.4568024277687,61.89136048555374
GGI3,304.3190220631659,60.86380441263318
ATS6s,303.745462147519,60.7490924295038
NdCH2,298.5151860713959,59.70303721427918
ATS1v,292.9827899336815,58.5965579867363
IC2,288.15808170475066,57.63161634095013
SaaaC,286.0699662268162,57.213993245363234
PEOE_VSA7,284.3202628009021,56.864052560180426
BCUTs-1l,273.36056900024414,54.67211380004883
ATS5m,269.63549374602735,53.92709874920547
MINssCH2,268.47566889226437,53.69513377845287
JGI3,261.5063628582284,52.301272571645676
GATS8d,260.938293652609,52.1876587305218
ATS6Z,253.67049740627408,50.734099481254816
ATSC1se,246.41693416424096,49.283386832848194
ETA_dEpsilon_D,245.86418935097754,49.17283787019551
AMID_N,245.78114307299256,49.15622861459851
EState_VSA3,241.32441051490605,48.26488210298121
Radius,240.96879347413778,48.19375869482756
MID_N,240.70004409365356,48.14000881873071
SdssC,239.22812723182142,47.84562544636428
VSA_EState3,236.4735391587019,47.29470783174038
GATS7c,235.94260136783123,47.18852027356625
GATS6c,231.97171622514725,46.39434324502945
MAXdssC,229.7438916899264,45.948778337985274
BalabanJ,227.81560931168497,45.56312186233699
Xc-5d,226.3637408427894,45.27274816855788
PEOE_VSA1,225.545938719064,45.1091877438128
VR2_A,225.01001141779125,45.00200228355825
MATS3d,224.69109358265996,44.93821871653199
ETA_shape_x,222.21162577345967,44.442325154691936
BIC5,218.73019074182957,43.74603814836591
ATS8i,218.5491425767541,43.70982851535082
AATS6s,218.1565818823874,43.63131637647748
ATSC8d,216.83882368728518,43.36776473745704
VSA_EState4,215.70356571301818,43.14071314260364
SIC2,214.01215295121074,42.802430590242146
RNCG,213.5983901936561,42.71967803873122
PEOE_VSA9,212.64898137003183,42.529796274006365
SdCH2,212.38471250608563,42.476942501217124
ATSC2dv,212.21554712951183,42.443109425902364
BIC3,208.94970548339188,41.789941096678376
MAXaaCH,208.1870249826461,41.63740499652922
AATSC1se,207.75393471866846,41.55078694373369
BIC2,205.2774039953947,41.05548079907894
ATSC3dv,201.8901823759079,40.37803647518158
VSA_EState8,201.47240966558456,40.29448193311691
MATS5d,200.90896472614259,40.181792945228516
GATS1s,200.0795212611556,40.015904252231124
Xp-7d,199.12666378170252,39.8253327563405
GATS5d,198.84094641543925,39.76818928308785
GGI5,198.4421044997871,39.68842089995742
VSA_EState6,198.40142447687685,39.68028489537537
Xc-4dv,196.89065977185965,39.37813195437193
AETA_eta,196.71394568681717,39.34278913736343
AXp-3d,193.88393023237586,38.77678604647517
GATS4c,192.28302012756467,38.45660402551293
VSA_EState7,191.78589288331568,38.35717857666314
ATSC0c,191.6623523682356,38.33247047364712
AATS5s,189.1661641187966,37.83323282375932
ATS5s,188.4335253033787,37.68670506067574
piPC9,188.0537206120789,37.61074412241578
MINaaN,187.7928806822747,37.55857613645494
confidence_score,187.5787002928555,37.5157400585711
MAXaasC,187.2366913370788,37.44733826741576
ATSC4d,186.9486321285367,37.38972642570734
SlogP_VSA2,186.4698516614735,37.293970332294705
AATSC1i,185.6067637372762,37.12135274745524
SlogP_VSA8,185.59741650894284,37.11948330178857
ATSC3d,184.9317215103656,36.98634430207312
AATSC3d,183.66218733228743,36.73243746645748
GATS8s,182.60842246562243,36.52168449312448
MATS4s,182.3197004571557,36.46394009143114
Xp-2dv,181.94494825601578,36.388989651203154
